,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP/GAME,PTS/GAME,TRB/GAME,AST/GAME,WS,WS/48,BPM,VORP
0,1,CLE,Andrew Wiggins,University of Kansas,3,245,8862,4995,993,523,.450,.329,.760,36.2,20.4,4.1,2.1,10.3,.056,-2.4,-0.8
2,3,PHI,Joel Embiid,University of Kansas,1,31,786,627,243,66,.466,.367,.783,25.4,20.2,7.8,2.1,1.9,.117,3.1,1.0
1,2,MIL,Jabari Parker,Duke University,3,152,4874,2403,847,314,.491,.341,.748,32.1,15.8,5.6,2.1,9.0,.088,-1.3,0.9
47,46,WAS,Jordan Clarkson,University of Missouri,3,220,6425,3133,750,611,.441,.334,.809,29.2,14.2,3.4,2.8,5.7,.042,-1.7,0.6
12,13,MIN,Zach LaVine,"University of California, Los Angeles",3,206,5945,2817,602,666,.445,.378,.821,28.9,13.7,2.9,3.2,4.9,.039,-2.0,-0.1
42,41,DEN,Nikola Jokic,,2,153,3771,2017,1278,548,.551,.327,.818,24.6,13.2,8.4,3.6,16.4,.208,6.7,8.3
11,12,ORL,Dario Saric,,1,81,2129,1040,513,182,.411,.311,.782,26.3,12.8,6.3,2.2,1.0,.023,-2.2,-0.1
22,23,UTA,Rodney Hood,Duke University,3,188,5198,2330,586,392,.415,.364,.818,27.6,12.4,3.1,2.1,10.7,.099,-0.2,2.3
6,7,LAL,Julius Randle,University of Kentucky,3,156,4432,1896,1465,408,.457,.273,.717,28.4,12.2,9.4,2.6,5.1,.055,-1.9,0.1
13,14,PHO,T.J. Warren,North Carolina State University,3,153,3732,1711,571,144,.502,.312,.751,24.4,11.2,3.7,0.9,7.4,.095,-0.8,1.1
9,10,PHI,Elfrid Payton,University of Louisiana at Lafayette,3,237,7046,2555,997,1530,.446,.289,.611,29.7,10.8,4.2,6.5,8.9,.061,-0.4,2.9
18,19,CHI,Gary Harris,Michigan State University,3,188,4940,1971,462,340,.460,.356,.790,26.3,10.5,2.5,1.8,7.9,.077,0.0,2.5
3,4,ORL,Aaron Gordon,University of Arizona,3,205,4958,1981,1081,311,.460,.289,.699,24.2,9.7,5.3,1.5,10.1,.098,-0.1,2.4
5,6,BOS,Marcus Smart,Oklahoma State University,3,207,5874,1916,782,757,.358,.291,.762,28.4,9.3,3.8,3.7,9.0,.073,0.4,3.6
24,25,HOU,Clint Capela,,3,154,3112,1392,1056,112,.614,.000,.433,20.2,9.0,6.9,0.7,10.4,.160,0.5,1.9
15,16,CHI,Jusuf Nurkic,,3,159,3041,1351,1024,213,.469,.000,.601,19.1,8.5,6.4,1.3,3.9,.062,-0.5,1.1
10,11,DEN,Doug McDermott,Creighton University,3,183,3690,1465,417,123,.446,.394,.836,20.2,8.0,2.3,0.7,5.4,.070,-3.7,-1.6
7,8,SAC,Nik Stauskas,University of Michigan,3,226,5124,1692,497,393,.386,.343,.807,22.7,7.5,2.2,1.7,2.4,.022,-3.2,-1.5
40,39,PHI,Jerami Grant,Syracuse University,3,222,4974,1597,764,260,.412,.304,.628,22.4,7.2,3.4,1.2,5.6,.054,-2.1,-0.1
39,38,DET,Spencer Dinwiddie,University of Colorado,3,105,1948,635,229,311,.389,.290,.779,18.6,6.0,2.2,3.0,3.0,.074,-2.0,0.0
25,26,MIA,P.J. Hairston,University of North Carolina,2,111,2000,664,266,59,.343,.295,.810,18.0,6.0,2.4,0.5,0.9,.021,-3.9,-1.0
46,45,CHH,Dwight Powell,Stanford University,3,175,2561,1005,629,102,.501,.257,.750,14.6,5.7,3.6,0.6,8.3,.156,0.5,1.6
4,5,UTA,Dante Exum,,2,148,3045,805,263,309,.385,.308,.743,20.6,5.4,1.8,2.1,1.1,.017,-3.3,-1.0
45,44,MIN,Markel Brown,Oklahoma State University,2,109,1763,579,229,130,.382,.297,.781,16.2,5.3,2.1,1.2,1.1,.031,-2.7,-0.3
33,32,PHI,K.J. McDaniels,Clemson University,3,148,2092,782,324,95,.412,.290,.776,14.1,5.3,2.2,0.6,1.3,.030,-3.3,-0.7
34,33,CLE,Joe Harris,University of Virginia,3,108,1646,567,191,82,.418,.379,.688,15.2,5.3,1.8,0.8,0.9,.027,-3.5,-0.6
59,58,SAS,Jordan McRae,University of Tennessee,2,59,579,260,61,44,.404,.384,.774,9.8,4.4,1.0,0.7,0.5,.043,-5.7,-0.5
20,21,OKC,Mitch McGary,University of Michigan,2,52,557,227,183,17,.527,.000,.580,10.7,4.4,3.5,0.3,1.3,.108,-3.1,-0.2
41,40,MIN,Glenn Robinson III,University of Michigan,3,149,2196,663,353,84,.448,.376,.698,14.7,4.4,2.4,0.6,3.4,.075,-2.3,-0.2
23,24,CHH,Shabazz Napier,University of Connecticut,3,159,2124,682,229,294,.373,.354,.767,13.4,4.3,1.4,1.8,1.2,.027,-3.2,-0.6
35,34,NYK,Cleanthony Early,Wichita State University,2,56,801,241,123,42,.346,.263,.750,14.3,4.3,2.2,0.8,-0.6,-.039,-5.7,-0.8
17,18,PHO,Tyler Ennis,Syracuse University,3,132,1653,555,155,254,.419,.342,.773,12.5,4.2,1.2,1.9,0.4,.013,-5.3,-1.4
28,29,OKC,Josh Huestis,Stanford University,2,7,86,28,19,3,.478,.600,.000,12.3,4.0,2.7,0.4,0.2,.102,-2.7,0.0
14,15,ATL,Adreian Payne,Michigan State University,3,102,1360,408,306,66,.399,.232,.670,13.3,4.0,3.0,0.6,-0.7,-.026,-5.5,-1.2
8,9,CHH,Noah Vonleh,Indiana University,3,177,2698,693,778,65,.444,.291,.678,15.2,3.9,4.4,0.4,3.4,.061,-4.1,-1.4
29,30,SAS,Kyle Anderson,"University of California, Los Angeles",3,183,2623,670,524,242,.442,.341,.753,14.3,3.7,2.9,1.3,6.5,.119,1.1,2.1
61,60,SAS,Cory Jefferson,Baylor University,2,58,581,205,161,16,.444,.125,.583,10.0,3.5,2.8,0.3,0.9,.071,-4.6,-0.4
21,22,MEM,Jordan Adams,"University of California, Los Angeles",2,32,263,101,30,19,.402,.385,.607,8.2,3.2,0.9,0.6,0.4,.070,-0.5,0.1
37,36,MIL,Johnny O'Bryant III,Louisiana State University,3,111,1305,338,259,55,.404,.571,.603,11.8,3.0,2.3,0.5,-0.1,-.003,-6.7,-1.5
52,51,NYK,Thanasis Antetokounmpo,,1,2,6,6,1,0,.750,.000,,3.0,3.0,0.5,0.0,0.0,.291,-4.1,0.0
56,55,MIA,Semaj Christon,Xavier University,1,64,973,183,87,130,.345,.190,.548,15.2,2.9,1.4,2.0,0.1,.006,-6.3,-1.1
43,42,HOU,Nick Johnson,University of Arizona,1,28,262,74,39,11,.347,.238,.680,9.4,2.6,1.4,0.4,-0.1,-.020,-7.3,-0.3
44,43,ATL,Walter Tavares,,2,13,101,33,32,4,.625,,.273,7.8,2.5,2.5,0.3,0.2,.118,-0.6,0.0
36,35,UTA,Jarnell Stokes,University of Tennessee,3,28,151,67,40,7,.581,,.531,5.4,2.4,1.4,0.3,0.6,.202,1.0,0.1
49,48,MIL,Lamar Patterson,University of Pittsburgh,2,40,435,93,57,45,.326,.236,.720,10.9,2.3,1.4,1.1,0.1,.006,-5.5,-0.4
16,17,BOS,James Young,University of Kentucky,3,89,751,202,94,26,.367,.276,.548,8.4,2.3,1.1,0.3,0.7,.047,-3.8,-0.3
57,56,DEN,Roy Devyn Marble,University of Iowa,2,44,457,97,69,29,.304,.222,.375,10.4,2.2,1.6,0.7,-0.3,-.028,-5.0,-0.3
48,47,PHI,Russ Smith,University of Louisville,2,27,131,53,15,19,.319,.188,.769,4.9,2.0,0.6,0.7,-0.2,-.068,-6.4,-0.1
27,28,LAC,C.J. Wilcox,University of Washington,3,66,376,132,31,30,.370,.333,.813,5.7,2.0,0.5,0.5,0.1,.007,-5.2,-0.3
32,31,MIL,Damien Inglis,,1,20,156,36,31,10,.351,.231,.875,7.8,1.8,1.6,0.5,-0.1,-.024,-6.4,-0.2
19,20,TOR,Bruno Caboclo,,3,23,106,27,14,5,.275,.313,,4.6,1.2,0.6,0.2,-0.3,-.143,-8.5,-0.2
50,49,CHI,Cameron Bairstow,University of New Mexico,2,36,167,44,36,7,.296,.200,.846,4.6,1.2,1.0,0.2,-0.1,-.021,-7.7,-0.2
26,27,PHO,Bogdan Bogdanovic,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,
38,37,TOR,DeAndre Daniels,University of Connecticut,,,,,,,,,,,,,,,,,
51,50,PHO,Alec Brown,University of Wisconsin-Green Bay,,,,,,,,,,,,,,,,,
53,52,PHI,Vasilije Micic,,,,,,,,,,,,,,,,,,
54,53,MIN,Alessandro Gentile,,,,,,,,,,,,,,,,,,
55,54,PHI,Nemanja Dangubic,,,,,,,,,,,,,,,,,,
58,57,IND,Louis Labeyrie,,,,,,,,,,,,,,,,,,
60,59,TOR,Xavier Thames,San Diego State University,,,,,,,,,,,,,,,,,
