,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,19.0,ORL,NBA,PF,82.0,82.0,32.6,4.3,8.3,0.52,0.0,0.0,0.0,4.3,8.2,0.521,0.52,3.4,5.0,0.6709999999999999,3.5,6.5,10.0,0.9,0.9,1.7,2.0,2.8,12.0,15.3,9.1,24.4
1,20.0,ORL,NBA,PF,82.0,81.0,36.8,5.7,10.7,0.531,0.0,0.0,0.0,5.7,10.7,0.532,0.531,4.3,7.3,0.595,3.5,9.0,12.5,1.5,0.8,1.4,2.6,3.4,15.8,19.7,11.200000000000001,30.9
2,21.0,ORL,NBA,C,82.0,82.0,36.9,6.4,10.6,0.603,0.0,0.0,0.5,6.4,10.6,0.603,0.603,4.8,8.1,0.586,3.5,8.8,12.3,1.9,0.9,1.9,3.9,3.0,17.6,21.000000000000004,11.600000000000001,32.60000000000001
3,22.0,ORL,NBA,C,82.0,82.0,37.7,7.1,11.9,0.599,0.0,0.0,0.0,7.1,11.8,0.601,0.599,6.5,10.9,0.59,3.4,10.8,14.2,1.3,0.9,2.1,3.2,3.3,20.7,23.5,13.8,37.3
4,23.0,ORL,NBA,C,79.0,79.0,35.7,7.1,12.4,0.5720000000000001,0.0,0.0,0.0,7.1,12.4,0.573,0.5720000000000001,6.4,10.7,0.594,4.3,9.6,13.8,1.4,1.0,2.9,3.0,3.4,20.6,24.700000000000003,13.5,38.2
5,24.0,ORL,NBA,C,82.0,82.0,34.7,6.2,10.2,0.612,0.0,0.1,0.0,6.2,10.1,0.617,0.612,5.9,10.0,0.5920000000000001,3.5,9.7,13.2,1.8,0.9,2.8,3.3,3.5,18.3,22.099999999999998,13.399999999999999,35.5
6,25.0,ORL,NBA,C,78.0,78.0,37.6,7.9,13.4,0.593,0.0,0.1,0.0,7.9,13.3,0.597,0.593,7.0,11.7,0.596,4.0,10.1,14.1,1.4,1.4,2.4,3.6,3.3,22.9,26.099999999999998,13.9,40.0
7,26.0,ORL,NBA,C,54.0,54.0,38.3,7.7,13.4,0.573,0.0,0.1,0.0,7.7,13.3,0.579,0.573,5.2,10.6,0.491,3.7,10.8,14.5,1.9,1.5,2.1,3.2,2.9,20.6,24.900000000000002,14.4,39.300000000000004
8,27.0,LAL,NBA,C,76.0,76.0,35.8,6.2,10.7,0.578,0.0,0.1,0.16699999999999998,6.2,10.6,0.581,0.579,4.7,9.5,0.49200000000000005,3.3,9.1,12.4,1.4,1.1,2.4,3.0,3.8,17.1,20.200000000000003,12.6,32.800000000000004
9,28.0,HOU,NBA,C,71.0,71.0,33.7,6.7,11.3,0.591,0.0,0.1,0.28600000000000003,6.6,11.2,0.594,0.593,4.9,9.0,0.547,3.3,8.9,12.2,1.8,0.8,1.8,3.2,3.4,18.3,22.000000000000004,11.500000000000002,33.50000000000001
10,29.0,HOU,NBA,C,41.0,41.0,29.8,6.1,10.3,0.593,0.0,0.0,0.5,6.1,10.3,0.594,0.595,3.5,6.6,0.528,2.7,7.8,10.5,1.2,0.7,1.3,2.8,3.3,15.8,18.099999999999998,9.8,27.9
11,30.0,HOU,NBA,C,71.0,71.0,32.1,5.2,8.5,0.62,0.0,0.1,0.0,5.2,8.4,0.626,0.62,3.3,6.7,0.489,3.4,8.4,11.8,1.4,1.0,1.6,2.3,3.1,13.7,17.599999999999998,11.0,28.599999999999998
12,31.0,ATL,NBA,C,74.0,74.0,29.7,5.2,8.3,0.633,0.0,0.0,0.0,5.2,8.3,0.635,0.633,3.1,5.7,0.5329999999999999,4.0,8.7,12.7,1.4,0.9,1.2,2.3,2.7,13.5,18.0,10.799999999999999,28.799999999999997
13,,,NBA,,954.0,953.0,34.9,6.3,10.7,0.585,0.0,0.1,0.08900000000000001,6.3,10.7,0.588,0.585,4.9,8.7,0.5660000000000001,3.6,9.1,12.7,1.5,1.0,2.0,3.0,3.2,17.5,21.1,12.1,33.2
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,ORL,NBA,,621.0,620.0,36.2,6.5,11.3,0.5770000000000001,0.0,0.1,0.03,6.5,11.2,0.58,0.5770000000000001,5.4,9.2,0.588,3.6,9.3,13.0,1.5,1.0,2.2,3.1,3.2,18.4,21.9,12.5,34.4
16,,HOU,NBA,,183.0,183.0,32.2,6.0,10.0,0.601,0.0,0.1,0.2,6.0,9.9,0.605,0.602,4.0,7.6,0.523,3.2,8.5,11.7,1.5,0.9,1.6,2.8,3.3,16.0,19.4,11.0,30.4
17,,LAL,NBA,,76.0,76.0,35.8,6.2,10.7,0.578,0.0,0.1,0.16699999999999998,6.2,10.6,0.581,0.579,4.7,9.5,0.49200000000000005,3.3,9.1,12.4,1.4,1.1,2.4,3.0,3.8,17.1,20.200000000000003,12.6,32.800000000000004
18,,ATL,NBA,,74.0,74.0,29.7,5.2,8.3,0.633,0.0,0.0,0.0,5.2,8.3,0.635,0.633,3.1,5.7,0.5329999999999999,4.0,8.7,12.7,1.4,0.9,1.2,2.3,2.7,13.5,18.0,10.799999999999999,28.799999999999997
