,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,26.0,SAS,NBA,SG,80.0,1.0,21.1,3.6,7.9,0.451,1.6,3.9,0.419,2.0,4.1,0.48100000000000004,0.5529999999999999,1.1,1.3,0.8079999999999999,0.3,2.2,2.5,1.2,0.3,0.1,1.0,1.9,9.8,11.5,2.6,14.1
1,27.0,SAS,NBA,SG,56.0,7.0,21.5,3.8,8.7,0.436,1.5,3.5,0.419,2.3,5.1,0.44799999999999995,0.522,0.9,1.1,0.7809999999999999,0.2,1.9,2.1,2.1,0.5,0.0,1.1,1.3,9.9,13.200000000000001,2.4,15.600000000000001
2,28.0,SAS,NBA,SG,68.0,17.0,21.8,3.6,8.8,0.41200000000000003,1.3,3.7,0.355,2.3,5.1,0.45399999999999996,0.48700000000000004,0.9,1.1,0.865,0.2,1.9,2.1,1.9,0.4,0.0,1.0,1.4,9.5,12.5,2.3,14.8
3,29.0,TOT,NBA,SG,52.0,3.0,21.4,3.7,9.1,0.41,1.3,3.5,0.37799999999999995,2.4,5.6,0.43,0.48200000000000004,1.8,2.0,0.895,0.2,1.5,1.7,1.6,0.3,0.0,1.2,1.3,10.5,12.700000000000001,1.8,14.500000000000002
4,29.0,MIL,NBA,SG,30.0,2.0,20.2,3.6,9.2,0.39,1.3,3.7,0.36,2.3,5.5,0.41,0.462,1.5,1.8,0.833,0.3,1.4,1.7,1.5,0.2,0.0,1.3,0.9,10.0,12.0,1.5999999999999999,13.6
5,29.0,CHA,NBA,SG,22.0,1.0,23.0,3.9,8.8,0.43799999999999994,1.3,3.1,0.406,2.6,5.7,0.456,0.51,2.2,2.3,0.961,0.1,1.7,1.8,1.7,0.5,0.0,1.1,1.8,11.2,13.6,2.2,15.8
6,30.0,TOT,NBA,SG,54.0,1.0,22.1,3.5,9.3,0.374,0.9,3.0,0.305,2.6,6.3,0.40700000000000003,0.423,2.2,2.5,0.867,0.3,2.1,2.4,1.9,0.4,0.0,1.2,1.6,10.1,13.0,2.5,15.5
7,30.0,CHO,NBA,SG,43.0,0.0,21.7,3.3,9.3,0.359,0.9,3.1,0.293,2.4,6.2,0.392,0.408,2.0,2.4,0.863,0.3,1.9,2.2,1.9,0.4,0.0,1.3,1.6,9.6,12.399999999999999,2.3,14.7
8,30.0,MIN,NBA,SG,11.0,1.0,23.8,4.1,9.5,0.429,1.0,2.8,0.355,3.1,6.7,0.45899999999999996,0.48100000000000004,2.6,3.0,0.879,0.0,3.2,3.2,1.8,0.6,0.0,0.9,1.6,11.8,14.5,3.8000000000000003,18.3
9,31.0,WAS,NBA,SG,40.0,2.0,20.2,3.8,8.1,0.465,1.0,2.5,0.41,2.8,5.6,0.489,0.528,1.2,1.4,0.855,0.3,1.8,2.1,1.2,0.5,0.0,0.7,1.4,9.8,11.8,2.3,14.100000000000001
10,32.0,ATL,NBA,SG,2.0,0.0,9.0,0.0,3.5,0.0,0.0,1.0,0.0,0.0,2.5,0.0,0.0,2.0,2.0,1.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,2.0,3.0,0.5,3.5
11,,,NBA,,352.0,31.0,21.3,3.6,8.6,0.42200000000000004,1.3,3.4,0.382,2.3,5.2,0.44799999999999995,0.498,1.3,1.5,0.85,0.2,1.9,2.2,1.6,0.4,0.0,1.0,1.5,9.9,12.3,2.3,14.600000000000001
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,SAS,NBA,,204.0,25.0,21.4,3.6,8.4,0.433,1.5,3.7,0.39799999999999996,2.2,4.7,0.461,0.521,1.0,1.2,0.818,0.2,2.0,2.2,1.7,0.4,0.0,1.0,1.5,9.7,12.299999999999999,2.4,14.7
14,,"CHA,CHO",NBA,,65.0,1.0,22.1,3.5,9.1,0.385,1.0,3.1,0.332,2.5,6.0,0.413,0.442,2.1,2.4,0.895,0.2,1.8,2.1,1.8,0.4,0.0,1.2,1.7,10.2,12.8,2.2,15.0
15,,WAS,NBA,,40.0,2.0,20.2,3.8,8.1,0.465,1.0,2.5,0.41,2.8,5.6,0.489,0.528,1.2,1.4,0.855,0.3,1.8,2.1,1.2,0.5,0.0,0.7,1.4,9.8,11.8,2.3,14.100000000000001
16,,MIL,NBA,,30.0,2.0,20.2,3.6,9.2,0.39,1.3,3.7,0.36,2.3,5.5,0.41,0.462,1.5,1.8,0.833,0.3,1.4,1.7,1.5,0.2,0.0,1.3,0.9,10.0,12.0,1.5999999999999999,13.6
17,,MIN,NBA,,11.0,1.0,23.8,4.1,9.5,0.429,1.0,2.8,0.355,3.1,6.7,0.45899999999999996,0.48100000000000004,2.6,3.0,0.879,0.0,3.2,3.2,1.8,0.6,0.0,0.9,1.6,11.8,14.5,3.8000000000000003,18.3
18,,ATL,NBA,,2.0,0.0,9.0,0.0,3.5,0.0,0.0,1.0,0.0,0.0,2.5,0.0,0.0,2.0,2.0,1.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.5,2.0,3.0,0.5,3.5
