,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,23.0,,NBA,PG,79.0,78.0,33.7,5.9,12.5,0.47100000000000003,0.3,1.1,0.27399999999999997,5.6,11.4,0.489,0.483,2.7,3.5,0.764,0.7,3.2,3.9,8.7,2.1,0.2,3.3,2.9,14.7,29.499999999999996,5.500000000000001,35.0
1,24.0,,NBA,PG,82.0,82.0,39.2,9.0,18.9,0.47600000000000003,1.2,3.1,0.385,7.8,15.8,0.494,0.508,3.7,4.6,0.8029999999999999,1.1,3.0,4.0,9.7,2.6,0.1,3.3,2.8,22.9,40.1,5.699999999999999,45.8
2,25.0,,NBA,PG,81.0,81.0,41.1,9.1,19.7,0.461,1.6,4.6,0.33799999999999997,7.5,15.0,0.499,0.501,3.7,4.8,0.7659999999999999,1.0,2.8,3.8,10.0,2.0,0.2,3.3,2.6,23.4,41.1,5.0,46.1
3,26.0,,NBA,PG,66.0,66.0,39.5,7.9,17.7,0.447,1.5,4.7,0.33,6.4,13.0,0.489,0.491,4.1,5.6,0.7440000000000001,0.9,3.1,4.0,10.6,1.8,0.2,3.3,2.3,21.5,40.3,5.1000000000000005,45.4
4,,27.0,Did Not Play (injury—knee),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,28.0,,NBA,PG,62.0,62.0,37.4,6.9,16.2,0.42700000000000005,2.7,7.2,0.37799999999999995,4.2,9.1,0.465,0.51,3.5,4.6,0.76,0.7,2.3,3.1,9.3,1.4,0.2,3.5,2.5,20.1,35.900000000000006,3.9,39.800000000000004
6,29.0,,NBA,PG,80.0,46.0,31.7,5.2,12.4,0.42200000000000004,1.7,4.7,0.364,3.5,7.7,0.45799999999999996,0.49200000000000005,3.0,3.8,0.79,0.4,2.4,2.9,8.0,1.7,0.2,2.9,2.5,15.2,28.7,4.3,33.0
7,29.0,,NBA,PG,52.0,18.0,28.6,4.9,11.7,0.42100000000000004,1.6,4.5,0.366,3.3,7.2,0.455,0.491,2.7,3.5,0.769,0.4,2.1,2.5,6.9,1.4,0.2,2.4,2.5,14.1,25.900000000000002,3.7,29.6
8,29.0,,NBA,PG,28.0,28.0,37.4,5.9,13.8,0.425,1.9,5.3,0.361,4.0,8.5,0.46399999999999997,0.494,3.6,4.4,0.821,0.5,3.0,3.5,10.0,2.1,0.2,3.9,2.5,17.2,33.800000000000004,5.3,39.1
9,30.0,,NBA,PG,81.0,81.0,38.7,7.1,17.1,0.415,2.5,7.3,0.344,4.6,9.8,0.469,0.489,3.6,4.5,0.799,0.6,2.8,3.4,8.6,1.9,0.1,2.8,2.0,20.3,35.300000000000004,4.799999999999999,40.1
10,31.0,,NBA,PG,81.0,81.0,37.4,6.9,16.0,0.431,1.9,5.5,0.35100000000000003,5.0,10.5,0.47200000000000003,0.49,3.2,4.1,0.7809999999999999,0.6,3.1,3.7,8.3,1.7,0.2,2.8,2.5,18.9,33.300000000000004,5.0,38.300000000000004
11,32.0,,NBA,PG,48.0,48.0,36.9,6.3,15.7,0.4,2.3,6.5,0.36,3.9,9.2,0.429,0.475,2.5,3.1,0.812,0.3,2.9,3.2,7.3,1.2,0.1,2.7,2.1,17.4,29.599999999999998,4.199999999999999,33.8
12,33.0,,NBA,PG,52.0,52.0,32.2,4.7,12.3,0.386,1.8,4.9,0.36700000000000005,2.9,7.3,0.39799999999999996,0.45899999999999996,2.1,2.6,0.8270000000000001,0.5,2.4,2.9,7.4,0.9,0.1,2.3,2.2,13.4,26.400000000000002,3.4,29.8
13,34.0,,NBA,PG,77.0,77.0,33.9,5.3,13.5,0.392,2.5,6.7,0.366,2.8,6.8,0.41700000000000004,0.48200000000000004,1.9,2.4,0.8009999999999999,0.3,2.3,2.6,6.3,1.2,0.1,2.5,2.0,14.9,25.3,3.6,28.900000000000002
14,35.0,,NBA,PG,68.0,16.0,23.5,3.3,9.1,0.365,1.8,5.2,0.34700000000000003,1.5,3.9,0.387,0.46399999999999997,1.1,1.4,0.794,0.2,1.6,1.8,4.1,0.8,0.1,1.6,1.6,9.6,16.4,2.5000000000000004,18.9
15,35.0,,NBA,PG,54.0,2.0,23.6,3.3,9.1,0.36200000000000004,1.8,5.2,0.341,1.6,4.0,0.391,0.45899999999999996,1.2,1.4,0.833,0.2,1.6,1.8,3.7,0.7,0.1,1.4,1.6,9.6,15.799999999999999,2.4,18.2
16,35.0,,NBA,PG,14.0,14.0,23.2,3.4,9.0,0.373,2.0,5.4,0.373,1.4,3.6,0.373,0.484,0.9,1.4,0.632,0.1,1.9,1.9,5.5,1.2,0.1,2.7,1.8,9.6,18.0,3.1999999999999997,21.2
