,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,21.0,ATL,NBA,C,81.0,77.0,31.4,4.1,8.2,0.499,0.0,0.1,0.0,4.1,8.2,0.502,0.499,1.9,2.6,0.731,3.1,6.6,9.7,1.5,0.7,0.9,1.7,3.3,10.1,14.5,8.2,22.7
1,22.0,ATL,NBA,C,67.0,67.0,33.5,4.7,8.9,0.525,0.0,0.0,0.0,4.7,8.9,0.526,0.525,2.2,3.1,0.727,2.2,7.1,9.3,2.4,0.8,1.4,1.5,2.8,11.5,17.0,9.299999999999999,26.299999999999997
2,23.0,ATL,NBA,C,81.0,81.0,35.1,5.8,10.5,0.551,0.0,0.0,1.0,5.8,10.4,0.551,0.552,2.6,3.3,0.789,2.9,7.0,9.9,2.3,0.7,1.1,1.5,2.8,14.2,20.2,8.8,29.0
3,24.0,ATL,NBA,C,77.0,77.0,35.1,6.7,12.0,0.557,0.0,0.1,0.5,6.6,11.9,0.557,0.5579999999999999,1.9,2.4,0.7979999999999999,2.4,7.0,9.3,3.5,0.8,1.0,1.5,2.5,15.3,23.200000000000003,8.8,32.0
4,25.0,ATL,NBA,C,11.0,11.0,31.6,5.2,9.4,0.5529999999999999,0.0,0.1,0.0,5.2,9.3,0.5589999999999999,0.5529999999999999,2.0,2.7,0.733,2.4,4.6,7.0,2.2,0.9,1.3,1.5,1.9,12.4,17.700000000000003,6.8,24.500000000000004
5,26.0,ATL,NBA,C,74.0,74.0,37.2,7.8,14.3,0.5429999999999999,0.0,0.1,0.5,7.7,14.2,0.544,0.545,1.8,2.8,0.644,2.6,7.6,10.2,3.2,1.1,1.1,2.0,2.2,17.4,24.4,9.799999999999999,34.199999999999996
6,27.0,ATL,NBA,C,29.0,29.0,33.0,8.2,14.5,0.5670000000000001,0.1,0.4,0.364,8.1,14.1,0.5720000000000001,0.5710000000000001,2.0,2.9,0.682,2.3,6.1,8.4,2.6,0.9,1.5,2.2,1.9,18.6,23.900000000000002,8.5,32.400000000000006
7,28.0,ATL,NBA,C,76.0,76.0,30.5,6.8,12.7,0.5379999999999999,0.1,0.5,0.306,6.7,12.2,0.547,0.544,1.4,1.9,0.759,1.7,5.4,7.2,3.2,0.9,1.3,1.3,1.6,15.2,21.999999999999996,7.6000000000000005,29.599999999999998
8,29.0,ATL,NBA,C,82.0,82.0,32.1,6.5,12.8,0.505,1.1,3.1,0.344,5.4,9.7,0.557,0.547,1.3,1.6,0.7979999999999999,1.8,5.5,7.3,3.2,0.8,1.5,1.3,2.0,15.2,22.099999999999998,7.8,29.9
9,30.0,BOS,NBA,C,68.0,68.0,32.3,5.6,11.8,0.473,1.3,3.6,0.355,4.3,8.2,0.524,0.527,1.6,2.0,0.8,1.4,5.4,6.8,5.0,0.8,1.3,1.7,2.0,14.0,23.7,7.5,31.2
10,,,NBA,,646.0,642.0,33.3,6.1,11.5,0.528,0.3,0.9,0.34600000000000003,5.8,10.6,0.5429999999999999,0.541,1.9,2.5,0.748,2.3,6.4,8.7,3.0,0.8,1.2,1.6,2.4,14.3,21.0,8.4,29.4
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,ATL,NBA,,578.0,574.0,33.5,6.1,11.5,0.535,0.2,0.6,0.34,5.9,10.9,0.545,0.5429999999999999,1.9,2.5,0.743,2.4,6.5,8.9,2.7,0.8,1.2,1.6,2.4,14.3,20.5,8.5,29.0
13,,BOS,NBA,,68.0,68.0,32.3,5.6,11.8,0.473,1.3,3.6,0.355,4.3,8.2,0.524,0.527,1.6,2.0,0.8,1.4,5.4,6.8,5.0,0.8,1.3,1.7,2.0,14.0,23.7,7.5,31.2
