,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,18.0,DET,NBA,SF,3.0,0.0,13.0,2.3,3.3,0.7,0.7,1.0,0.667,1.7,2.3,0.7140000000000001,0.8,1.3,1.3,1.0,1.0,0.3,1.3,1.0,0.0,0.7,1.3,2.3,6.7,8.399999999999999,1.0,9.399999999999999
1,19.0,DET,NBA,PF,8.0,0.0,15.5,2.3,4.1,0.545,0.0,0.4,0.0,2.3,3.8,0.6,0.545,1.4,1.8,0.7859999999999999,1.9,2.8,4.6,0.4,0.6,1.6,1.1,2.4,5.9,7.500000000000002,5.0,12.500000000000002
2,20.0,DET,NBA,PF,62.0,0.0,12.3,1.5,2.7,0.5579999999999999,0.0,0.0,,1.5,2.7,0.5579999999999999,0.5579999999999999,0.6,0.9,0.6729999999999999,1.4,2.4,3.8,0.5,0.4,1.3,0.6,2.3,3.6,5.4,4.1,9.5
3,21.0,DET,NBA,PF,62.0,24.0,14.7,1.6,2.6,0.595,0.0,0.0,,1.6,2.6,0.595,0.595,0.4,0.6,0.657,1.6,2.1,3.7,0.3,0.3,1.0,0.5,2.8,3.5,5.2,3.4,8.6
4,22.0,TOR,NBA,PF,82.0,5.0,17.7,2.5,4.1,0.623,0.0,0.0,0.0,2.5,4.0,0.63,0.623,1.2,1.8,0.638,1.9,2.9,4.8,0.6,0.5,0.8,0.8,3.1,6.2,8.5,4.2,12.7
5,23.0,TOR,NBA,PF,72.0,54.0,25.7,3.9,6.9,0.568,0.0,0.0,0.0,3.9,6.9,0.569,0.568,1.8,2.2,0.7879999999999999,2.6,3.8,6.4,1.1,0.7,1.2,1.0,3.7,9.6,13.4,5.7,19.1
6,24.0,TOR,NBA,PF,64.0,43.0,24.3,3.1,5.3,0.5760000000000001,0.0,0.1,0.4,3.0,5.2,0.579,0.579,0.9,1.3,0.69,2.3,4.0,6.4,1.2,0.5,1.1,1.5,3.3,7.1,10.299999999999999,5.6,15.899999999999999
7,25.0,TOR,NBA,PF,81.0,38.0,28.7,4.1,7.5,0.5539999999999999,0.1,0.2,0.385,4.1,7.3,0.5579999999999999,0.5589999999999999,1.7,2.3,0.727,2.8,4.7,7.5,1.5,1.0,1.4,1.4,3.7,10.0,14.4,7.1,21.5
8,26.0,TOR,NBA,PF,77.0,72.0,28.8,4.5,7.9,0.562,0.3,0.9,0.303,4.2,7.1,0.593,0.578,1.2,1.9,0.636,2.2,4.3,6.6,1.5,0.7,1.1,1.6,3.5,10.4,14.000000000000002,6.1,20.1
9,27.0,TOR,NBA,PF,75.0,72.0,26.4,4.0,6.9,0.574,0.3,0.6,0.413,3.7,6.3,0.59,0.5920000000000001,1.1,1.7,0.612,2.1,4.0,6.1,1.6,0.6,0.8,1.5,3.0,9.3,13.100000000000001,5.3999999999999995,18.5
10,28.0,BOS,NBA,PF,79.0,76.0,22.8,3.2,5.4,0.585,0.1,0.5,0.233,3.0,4.8,0.624,0.596,0.9,1.5,0.57,2.3,4.1,6.4,1.7,0.7,1.1,1.2,2.7,7.3,11.8,5.9,17.700000000000003
11,29.0,BOS,NBA,PF,80.0,77.0,20.1,2.7,4.6,0.5760000000000001,0.3,0.8,0.409,2.3,3.8,0.612,0.612,0.8,1.3,0.67,1.5,3.1,4.6,1.8,0.6,0.8,1.0,2.6,6.5,10.6,4.5,15.1
12,,,NBA,,745.0,461.0,22.3,3.1,5.5,0.574,0.1,0.3,0.34,3.0,5.1,0.59,0.585,1.1,1.6,0.674,2.1,3.6,5.7,1.2,0.6,1.0,1.1,3.1,7.5,10.9,5.2,16.1
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,TOR,NBA,,451.0,284.0,25.2,3.7,6.4,0.5720000000000001,0.1,0.3,0.341,3.6,6.1,0.584,0.58,1.3,1.9,0.687,2.3,4.0,6.3,1.2,0.7,1.1,1.3,3.4,8.8,12.2,5.800000000000001,18.0
15,,BOS,NBA,,159.0,153.0,21.4,2.9,5.0,0.58,0.2,0.7,0.33899999999999997,2.7,4.3,0.619,0.604,0.9,1.4,0.615,1.9,3.6,5.5,1.7,0.6,0.9,1.1,2.7,6.9,11.1,5.1000000000000005,16.2
16,,DET,NBA,,135.0,24.0,13.6,1.6,2.7,0.5770000000000001,0.0,0.0,0.33299999999999996,1.6,2.7,0.581,0.58,0.6,0.8,0.6940000000000001,1.5,2.2,3.8,0.4,0.4,1.2,0.6,2.5,3.7,5.4,3.8,9.2
