,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,24.0,MEM,NBA,SG,70.0,1.0,12.3,1.4,3.3,0.408,0.4,1.2,0.29100000000000004,1.0,2.1,0.47600000000000003,0.461,0.5,0.6,0.773,0.2,0.9,1.0,2.2,0.3,0.1,1.0,1.2,3.6,7.200000000000001,1.3,8.500000000000002
1,25.0,NOH,NBA,SG,66.0,26.0,25.8,3.4,7.9,0.43,0.7,2.0,0.319,2.8,5.9,0.469,0.47100000000000003,1.5,1.8,0.821,0.3,2.3,2.6,5.4,0.9,0.1,2.2,1.9,8.9,17.8,3.3,21.1
2,26.0,NOH,NBA,PG,78.0,78.0,34.4,5.6,13.0,0.433,1.1,3.1,0.342,4.6,9.9,0.462,0.474,1.6,2.0,0.805,0.6,3.8,4.3,9.0,0.8,0.1,3.2,2.4,13.9,29.3,4.699999999999999,34.0
3,27.0,TOT,NBA,SG-PG,79.0,23.0,22.5,3.5,8.3,0.42100000000000004,1.4,3.7,0.377,2.1,4.7,0.455,0.504,1.2,1.4,0.88,0.3,1.9,2.2,4.1,0.4,0.1,1.6,1.8,9.6,16.5,2.4,18.9
4,27.0,SAC,NBA,PG,18.0,18.0,25.8,3.6,8.3,0.433,0.9,2.8,0.32,2.7,5.6,0.49,0.48700000000000004,1.7,1.8,0.938,0.3,1.6,1.9,5.3,0.3,0.1,1.5,2.1,9.8,19.200000000000003,2.0,21.200000000000003
5,27.0,TOR,NBA,SG,61.0,5.0,21.5,3.5,8.3,0.41700000000000004,1.5,3.9,0.389,2.0,4.4,0.442,0.509,1.1,1.2,0.855,0.2,2.0,2.3,3.7,0.4,0.1,1.7,1.7,9.5,15.400000000000002,2.5,17.900000000000002
6,28.0,TOR,NBA,PG,82.0,29.0,24.3,3.6,8.8,0.408,1.6,4.3,0.379,2.0,4.6,0.436,0.5,0.6,0.8,0.758,0.3,2.4,2.6,3.7,0.6,0.1,1.5,2.2,9.5,15.7,3.1,18.8
7,29.0,MIL,NBA,PG,23.0,0.0,20.0,2.0,6.0,0.326,0.8,3.2,0.247,1.2,2.8,0.415,0.391,1.0,1.1,0.846,0.2,1.8,2.0,4.0,0.4,0.0,1.7,1.8,5.7,12.2,2.2,14.399999999999999
8,30.0,BRK,NBA,PG,3.0,0.0,13.0,0.7,2.7,0.25,0.3,1.0,0.33299999999999996,0.3,1.7,0.2,0.313,0.7,1.0,0.667,0.0,0.7,0.7,1.7,0.3,0.3,0.3,2.0,2.3,5.3999999999999995,1.3,6.699999999999999
9,,,NBA,,401.0,157.0,23.7,3.4,8.2,0.418,1.0,2.9,0.349,2.4,5.3,0.456,0.48,1.1,1.3,0.8170000000000001,0.3,2.2,2.5,4.8,0.6,0.1,1.9,1.9,9.0,17.0,2.9000000000000004,19.9
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,NOH,NBA,,144.0,104.0,30.5,4.6,10.7,0.43200000000000005,0.9,2.6,0.33299999999999996,3.7,8.0,0.46399999999999997,0.473,1.5,1.9,0.812,0.5,3.1,3.5,7.4,0.9,0.1,2.7,2.2,11.6,24.2,4.1,28.299999999999997
12,,TOR,NBA,,143.0,34.0,23.1,3.6,8.6,0.41200000000000003,1.6,4.1,0.38299999999999995,2.0,4.5,0.439,0.504,0.8,1.0,0.81,0.3,2.2,2.5,3.7,0.5,0.1,1.5,2.0,9.5,15.7,2.8000000000000003,18.5
13,,MEM,NBA,,70.0,1.0,12.3,1.4,3.3,0.408,0.4,1.2,0.29100000000000004,1.0,2.1,0.47600000000000003,0.461,0.5,0.6,0.773,0.2,0.9,1.0,2.2,0.3,0.1,1.0,1.2,3.6,7.200000000000001,1.3,8.500000000000002
14,,MIL,NBA,,23.0,0.0,20.0,2.0,6.0,0.326,0.8,3.2,0.247,1.2,2.8,0.415,0.391,1.0,1.1,0.846,0.2,1.8,2.0,4.0,0.4,0.0,1.7,1.8,5.7,12.2,2.2,14.399999999999999
15,,SAC,NBA,,18.0,18.0,25.8,3.6,8.3,0.433,0.9,2.8,0.32,2.7,5.6,0.49,0.48700000000000004,1.7,1.8,0.938,0.3,1.6,1.9,5.3,0.3,0.1,1.5,2.1,9.8,19.200000000000003,2.0,21.200000000000003
16,,BRK,NBA,,3.0,0.0,13.0,0.7,2.7,0.25,0.3,1.0,0.33299999999999996,0.3,1.7,0.2,0.313,0.7,1.0,0.667,0.0,0.7,0.7,1.7,0.3,0.3,0.3,2.0,2.3,5.3999999999999995,1.3,6.699999999999999
