,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,23.0,,NBA,C,8.0,0.0,9.0,1.1,2.5,0.45,0.4,1.1,0.33299999999999996,0.8,1.4,0.545,0.525,0.6,0.6,1.0,0.5,0.4,0.9,0.0,0.6,0.0,0.5,1.0,3.3,3.3,1.0,4.3
1,23.0,,NBA,C,1.0,0.0,4.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,1.0,0.0
2,23.0,,NBA,C,7.0,0.0,9.7,1.3,2.9,0.45,0.4,1.3,0.33299999999999996,0.9,1.6,0.545,0.525,0.7,0.7,1.0,0.6,0.4,1.0,0.0,0.6,0.0,0.4,1.1,3.7,3.9,1.0,4.9
3,24.0,,NBA,C,41.0,14.0,17.4,2.1,4.3,0.478,0.2,0.8,0.32299999999999995,1.8,3.6,0.51,0.506,1.0,1.1,0.83,1.4,1.9,3.3,0.9,0.7,0.7,0.6,1.7,5.3,7.9,3.3,11.2
4,24.0,,NBA,C,24.0,5.0,12.0,1.1,2.7,0.415,0.3,0.8,0.316,0.9,1.9,0.457,0.462,0.3,0.3,0.857,1.0,1.0,2.0,0.5,0.3,0.2,0.3,1.4,2.8,4.5,1.5,6.0
5,24.0,,NBA,C,17.0,9.0,24.9,3.4,6.6,0.513,0.2,0.7,0.33299999999999996,3.2,5.9,0.535,0.531,1.9,2.4,0.825,1.9,3.1,5.1,1.4,1.1,1.5,1.1,2.2,9.0,12.6,5.7,18.3
6,,25.0,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,26.0,,NBA,C,64.0,7.0,18.4,2.7,5.9,0.45899999999999996,0.9,2.8,0.306,1.9,3.1,0.598,0.532,0.6,0.8,0.75,1.1,3.0,4.1,0.9,0.5,0.7,0.7,1.4,6.9,9.100000000000001,4.2,13.3
8,,,NBA,,113.0,21.0,17.4,2.4,5.1,0.46399999999999997,0.6,1.9,0.309,1.8,3.2,0.56,0.523,0.7,0.9,0.7979999999999999,1.2,2.4,3.6,0.8,0.5,0.6,0.6,1.5,6.1,8.299999999999999,3.5,11.799999999999999
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,NBA,,64.0,7.0,18.4,2.7,5.9,0.45899999999999996,0.9,2.8,0.306,1.9,3.1,0.598,0.532,0.6,0.8,0.75,1.1,3.0,4.1,0.9,0.5,0.7,0.7,1.4,6.9,9.100000000000001,4.2,13.3
11,,,NBA,,31.0,5.0,11.5,1.2,2.7,0.424,0.3,0.9,0.321,0.9,1.8,0.474,0.47600000000000003,0.4,0.4,0.917,0.9,0.9,1.8,0.4,0.4,0.2,0.4,1.3,3.0,4.3,1.5,5.8
12,,,NBA,,17.0,9.0,24.9,3.4,6.6,0.513,0.2,0.7,0.33299999999999996,3.2,5.9,0.535,0.531,1.9,2.4,0.825,1.9,3.1,5.1,1.4,1.1,1.5,1.1,2.2,9.0,12.6,5.7,18.3
13,,,NBA,,1.0,0.0,4.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0,1.0,0.0
