,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,21.0,TOT,NBA,SG,62.0,15.0,21.8,2.8,7.0,0.396,0.7,2.4,0.287,2.1,4.6,0.45399999999999996,0.446,1.6,2.1,0.752,1.0,2.2,3.2,1.2,0.7,1.1,1.7,2.0,7.9,9.600000000000001,4.0,13.600000000000001
1,21.0,PHI,NBA,SG,52.0,15.0,25.4,3.2,8.1,0.39899999999999997,0.8,2.8,0.293,2.4,5.2,0.456,0.45,1.9,2.5,0.7559999999999999,1.2,2.5,3.8,1.3,0.8,1.3,2.0,2.3,9.2,11.0,4.6,15.6
2,21.0,HOU,NBA,SG,10.0,0.0,3.3,0.5,1.5,0.33299999999999996,0.0,0.3,0.0,0.5,1.2,0.41700000000000004,0.33299999999999996,0.1,0.2,0.5,0.1,0.4,0.5,0.2,0.0,0.2,0.1,0.5,1.1,1.5,0.6000000000000001,2.1
3,22.0,HOU,NBA,SF,37.0,1.0,6.4,0.8,1.9,0.40299999999999997,0.2,0.7,0.28,0.6,1.3,0.46799999999999997,0.451,0.6,0.8,0.8,0.4,0.7,1.1,0.3,0.2,0.2,0.5,0.8,2.4,2.9,1.0999999999999999,4.0
4,23.0,TOT,NBA,SF,49.0,0.0,10.3,1.6,3.4,0.456,0.4,1.3,0.303,1.2,2.1,0.5529999999999999,0.515,0.7,0.8,0.8420000000000001,0.3,1.4,1.7,0.3,0.4,0.4,0.6,1.0,4.2,4.5,2.1999999999999997,6.699999999999999
5,23.0,HOU,NBA,SF,29.0,0.0,7.3,1.1,2.3,0.456,0.3,0.9,0.33299999999999996,0.8,1.4,0.537,0.522,0.3,0.3,0.9,0.2,0.8,1.0,0.1,0.2,0.3,0.3,0.8,2.8,2.9,1.3,4.2
6,23.0,BRK,NBA,SF,20.0,0.0,14.7,2.3,5.1,0.455,0.6,2.0,0.282,1.8,3.1,0.565,0.51,1.2,1.4,0.821,0.5,2.2,2.6,0.5,0.6,0.5,1.0,1.3,6.3,6.8,3.3000000000000003,10.1
7,,,NBA,,148.0,16.0,14.1,1.9,4.6,0.41200000000000003,0.5,1.6,0.29,1.4,2.9,0.479,0.46399999999999997,1.1,1.4,0.7759999999999999,0.6,1.5,2.2,0.6,0.5,0.6,1.0,1.4,5.3,6.1,2.6,8.7
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,HOU,NBA,,76.0,1.0,6.3,0.9,2.0,0.419,0.2,0.7,0.29100000000000004,0.6,1.3,0.49,0.47100000000000003,0.4,0.6,0.81,0.3,0.7,1.0,0.2,0.2,0.2,0.4,0.8,2.4,2.6999999999999997,1.0999999999999999,3.8
10,,PHI,NBA,,52.0,15.0,25.4,3.2,8.1,0.39899999999999997,0.8,2.8,0.293,2.4,5.2,0.456,0.45,1.9,2.5,0.7559999999999999,1.2,2.5,3.8,1.3,0.8,1.3,2.0,2.3,9.2,11.0,4.6,15.6
11,,BRK,NBA,,20.0,0.0,14.7,2.3,5.1,0.455,0.6,2.0,0.282,1.8,3.1,0.565,0.51,1.2,1.4,0.821,0.5,2.2,2.6,0.5,0.6,0.5,1.0,1.3,6.3,6.8,3.3000000000000003,10.1
