,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,23.0,MIN,NBA,PG,82.0,12.0,22.9,3.7,8.4,0.434,0.8,2.3,0.368,2.8,6.2,0.45799999999999996,0.483,2.0,2.3,0.8540000000000001,0.6,2.1,2.7,2.8,0.6,0.3,1.9,2.2,10.1,14.399999999999997,3.0,17.4
1,24.0,MIN,NBA,PG,39.0,31.0,32.3,5.1,11.8,0.429,1.6,3.8,0.41200000000000003,3.5,8.1,0.436,0.495,1.4,1.7,0.815,0.3,2.9,3.3,4.2,0.9,0.1,2.0,2.6,13.1,19.8,3.9,23.7
2,25.0,MIN,NBA,SG,70.0,61.0,35.6,5.7,14.0,0.40700000000000003,1.6,4.4,0.36,4.1,9.6,0.428,0.46299999999999997,3.3,3.9,0.846,0.5,2.6,3.1,4.3,1.0,0.4,2.1,2.9,16.3,23.299999999999997,4.0,27.299999999999997
3,26.0,WAS,NBA,PG,70.0,38.0,23.8,3.7,8.8,0.414,0.9,2.6,0.34600000000000003,2.8,6.2,0.442,0.46399999999999997,1.8,2.1,0.89,0.2,1.6,1.9,3.3,0.5,0.1,1.3,1.8,10.1,15.599999999999998,2.2,17.799999999999997
4,27.0,LAC,NBA,SG,63.0,24.0,24.6,3.3,8.4,0.38799999999999996,1.1,3.4,0.327,2.1,5.0,0.43,0.455,2.1,2.4,0.893,0.2,1.4,1.6,2.7,0.7,0.3,1.5,1.9,9.8,13.900000000000002,2.3999999999999995,16.3
5,28.0,LAC,NBA,SG,65.0,48.0,25.9,3.9,9.9,0.39799999999999996,2.0,5.1,0.386,2.0,4.8,0.41,0.496,1.1,1.3,0.8590000000000001,0.4,1.7,2.1,2.2,0.7,0.4,1.1,2.0,11.0,14.700000000000001,2.8,17.5
6,29.0,UTA,NBA,SG,82.0,72.0,27.4,3.6,9.0,0.397,2.2,5.3,0.41,1.4,3.7,0.37799999999999995,0.518,1.4,1.8,0.8190000000000001,0.2,1.3,1.5,2.0,0.8,0.3,1.1,2.3,10.8,13.9,2.4,16.3
7,30.0,DEN,NBA,SG,81.0,78.0,30.7,4.5,10.8,0.413,2.3,6.1,0.38,2.1,4.7,0.456,0.521,1.9,2.3,0.8490000000000001,0.4,2.4,2.9,3.5,0.8,0.5,1.8,2.5,13.2,18.8,3.7,22.5
8,31.0,DEN,NBA,SG,50.0,21.0,21.7,3.0,8.0,0.368,1.9,5.3,0.35700000000000004,1.1,2.8,0.38799999999999996,0.485,0.9,1.1,0.818,0.2,1.5,1.7,2.4,0.7,0.2,1.2,1.9,8.7,12.5,2.4000000000000004,14.9
9,32.0,TOT,NBA,SG,81.0,8.0,20.3,2.1,6.0,0.35100000000000003,0.9,3.1,0.3,1.2,2.9,0.405,0.428,0.8,0.9,0.8240000000000001,0.3,1.6,1.9,2.0,0.5,0.4,1.1,1.6,5.9,9.1,2.5,11.6
10,32.0,DEN,NBA,SG,54.0,7.0,19.8,2.2,6.2,0.35100000000000003,0.9,3.1,0.29600000000000004,1.2,3.0,0.409,0.426,0.7,0.9,0.83,0.3,1.6,1.9,2.1,0.5,0.3,1.1,1.5,6.0,9.4,2.4,11.8
11,32.0,OKC,NBA,SG,27.0,1.0,21.2,1.9,5.5,0.349,0.9,3.0,0.309,1.0,2.5,0.397,0.433,0.8,1.0,0.815,0.3,1.6,1.9,1.8,0.5,0.5,1.0,1.8,5.6,8.5,2.6,11.1
12,33.0,BRK,NBA,SG,69.0,40.0,18.6,1.7,4.7,0.363,1.0,2.9,0.33,0.7,1.8,0.418,0.466,0.8,0.9,0.857,0.1,2.1,2.2,2.0,0.5,0.1,1.2,1.4,5.2,8.100000000000001,2.7,10.8
13,,,NBA,,752.0,433.0,25.6,3.6,9.0,0.401,1.5,4.0,0.366,2.1,5.0,0.429,0.48200000000000004,1.6,1.9,0.852,0.3,1.9,2.2,2.8,0.7,0.3,1.5,2.1,10.3,14.7,2.8999999999999995,17.599999999999998
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,MIN,NBA,,191.0,104.0,29.5,4.7,11.2,0.42,1.3,3.4,0.374,3.4,7.8,0.44,0.47700000000000004,2.3,2.8,0.845,0.5,2.4,2.9,3.7,0.8,0.3,2.0,2.5,13.0,18.9,3.5,22.4
16,,DEN,NBA,,185.0,106.0,25.1,3.4,8.7,0.389,1.8,5.0,0.358,1.6,3.7,0.431,0.49200000000000005,1.3,1.6,0.84,0.3,2.0,2.3,2.8,0.7,0.4,1.4,2.1,9.9,14.4,3.1,17.5
17,,LAC,NBA,,128.0,72.0,25.3,3.6,9.2,0.39299999999999996,1.5,4.3,0.363,2.1,4.9,0.42,0.47700000000000004,1.6,1.8,0.88,0.3,1.6,1.9,2.5,0.7,0.4,1.3,2.0,10.4,14.399999999999999,2.6999999999999997,17.099999999999998
18,,UTA,NBA,,82.0,72.0,27.4,3.6,9.0,0.397,2.2,5.3,0.41,1.4,3.7,0.37799999999999995,0.518,1.4,1.8,0.8190000000000001,0.2,1.3,1.5,2.0,0.8,0.3,1.1,2.3,10.8,13.9,2.4,16.3
19,,WAS,NBA,,70.0,38.0,23.8,3.7,8.8,0.414,0.9,2.6,0.34600000000000003,2.8,6.2,0.442,0.46399999999999997,1.8,2.1,0.89,0.2,1.6,1.9,3.3,0.5,0.1,1.3,1.8,10.1,15.599999999999998,2.2,17.799999999999997
20,,BRK,NBA,,69.0,40.0,18.6,1.7,4.7,0.363,1.0,2.9,0.33,0.7,1.8,0.418,0.466,0.8,0.9,0.857,0.1,2.1,2.2,2.0,0.5,0.1,1.2,1.4,5.2,8.100000000000001,2.7,10.8
21,,OKC,NBA,,27.0,1.0,21.2,1.9,5.5,0.349,0.9,3.0,0.309,1.0,2.5,0.397,0.433,0.8,1.0,0.815,0.3,1.6,1.9,1.8,0.5,0.5,1.0,1.8,5.6,8.5,2.6,11.1
