,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,27.0,NOH,NBA,PG,78.0,5.0,17.0,2.7,6.6,0.41700000000000004,0.8,2.0,0.386,2.0,4.6,0.43,0.475,0.9,1.0,0.909,0.2,1.0,1.2,2.8,0.5,0.0,0.9,1.4,7.1,11.999999999999998,1.5,13.499999999999998
1,28.0,NOP,NBA,PG,72.0,42.0,23.2,3.4,8.1,0.42,0.9,2.5,0.36,2.5,5.6,0.447,0.475,1.7,1.8,0.94,0.2,1.7,1.9,3.3,0.6,0.1,1.3,1.8,9.4,14.899999999999999,2.4,17.299999999999997
2,29.0,CHO,NBA,PG,72.0,10.0,18.5,2.4,6.3,0.389,0.9,2.7,0.321,1.6,3.6,0.44,0.45799999999999996,0.9,1.0,0.892,0.2,1.3,1.5,2.3,0.5,0.1,0.8,1.0,6.7,10.7,1.9000000000000001,12.6
3,30.0,TOT,NBA,PG,51.0,0.0,9.2,1.5,3.2,0.44799999999999995,0.3,0.8,0.35700000000000004,1.2,2.4,0.48,0.494,0.8,0.9,0.894,0.1,0.7,0.8,1.1,0.2,0.0,0.5,0.7,4.0,5.800000000000001,0.8999999999999999,6.700000000000001
4,30.0,CHO,NBA,PG,30.0,0.0,11.1,1.7,3.8,0.44299999999999995,0.3,0.9,0.33299999999999996,1.4,2.9,0.47700000000000004,0.483,1.1,1.2,0.919,0.1,0.8,1.0,1.3,0.2,0.0,0.5,0.8,4.8,7.0,1.0,8.0
5,30.0,POR,NBA,PG,21.0,0.0,6.5,1.1,2.4,0.46,0.3,0.7,0.4,0.8,1.7,0.486,0.52,0.4,0.5,0.8,0.1,0.5,0.6,0.8,0.1,0.0,0.3,0.6,2.9,4.3,0.6,4.8999999999999995
6,31.0,CHO,NBA,PG,41.0,2.0,10.1,1.1,3.0,0.377,0.4,1.1,0.386,0.7,1.9,0.37200000000000005,0.447,0.8,1.0,0.846,0.1,0.8,1.0,1.3,0.2,0.0,0.6,0.4,3.5,5.6000000000000005,1.0,6.6000000000000005
7,,,NBA,,314.0,59.0,16.6,2.4,5.8,0.41100000000000003,0.7,1.9,0.35600000000000004,1.7,3.9,0.439,0.47100000000000003,1.1,1.2,0.9079999999999999,0.2,1.2,1.3,2.3,0.4,0.1,0.9,1.2,6.6,10.499999999999998,1.7000000000000002,12.2
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,"NOH,NOP",NBA,,150.0,47.0,19.9,3.0,7.3,0.418,0.8,2.2,0.37200000000000005,2.2,5.1,0.439,0.475,1.3,1.4,0.929,0.2,1.3,1.6,3.0,0.5,0.1,1.1,1.6,8.2,13.299999999999999,1.9000000000000001,15.2
10,,CHO,NBA,,143.0,12.0,14.5,1.9,4.8,0.396,0.6,1.8,0.33299999999999996,1.3,3.0,0.435,0.46,0.9,1.0,0.887,0.2,1.1,1.2,1.8,0.3,0.1,0.7,0.8,5.4,8.500000000000002,1.5000000000000002,10.000000000000002
11,,POR,NBA,,21.0,0.0,6.5,1.1,2.4,0.46,0.3,0.7,0.4,0.8,1.7,0.486,0.52,0.4,0.5,0.8,0.1,0.5,0.6,0.8,0.1,0.0,0.3,0.6,2.9,4.3,0.6,4.8999999999999995
