,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,21.0,MIL,NBA,PF,34.0,15.0,10.8,1.3,3.5,0.36700000000000005,0.0,0.0,,1.3,3.5,0.36700000000000005,0.36700000000000005,0.4,0.8,0.444,0.8,1.1,1.9,0.5,0.1,0.1,0.7,1.3,2.9,4.0,1.3000000000000003,5.300000000000001
1,22.0,MIL,NBA,PF,66.0,4.0,13.0,1.3,3.2,0.41100000000000003,0.0,0.0,1.0,1.3,3.2,0.409,0.414,0.4,0.6,0.675,1.0,1.7,2.7,0.5,0.3,0.1,0.5,1.5,3.0,4.5,2.1,6.6
2,23.0,TOT,NBA,PF,11.0,0.0,7.3,1.4,2.7,0.5,0.3,0.5,0.5,1.1,2.2,0.5,0.55,0.5,0.5,0.833,0.8,0.9,1.7,0.5,0.0,0.1,0.5,0.9,3.5,4.8,1.0,5.8
3,23.0,DEN,NBA,PF,7.0,0.0,6.6,1.0,2.1,0.467,0.3,0.4,0.667,0.7,1.7,0.41700000000000004,0.5329999999999999,0.6,0.6,1.0,0.7,0.9,1.6,0.3,0.0,0.1,0.4,0.6,2.9,3.7999999999999994,1.0,4.799999999999999
4,23.0,CHO,NBA,PF,4.0,0.0,8.5,2.0,3.8,0.5329999999999999,0.3,0.8,0.33299999999999996,1.8,3.0,0.583,0.5670000000000001,0.3,0.5,0.5,1.0,1.0,2.0,1.0,0.0,0.0,0.8,1.5,4.5,6.7,1.0,7.7
5,,,NBA,,111.0,19.0,11.8,1.3,3.2,0.40399999999999997,0.0,0.1,0.5710000000000001,1.3,3.2,0.401,0.409,0.4,0.7,0.603,0.9,1.4,2.3,0.5,0.2,0.1,0.6,1.4,3.0,4.300000000000001,1.7,6.000000000000001
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,MIL,NBA,,100.0,19.0,12.3,1.3,3.3,0.395,0.0,0.0,1.0,1.3,3.3,0.39299999999999996,0.397,0.4,0.7,0.5820000000000001,0.9,1.5,2.4,0.5,0.2,0.1,0.6,1.4,3.0,4.300000000000001,1.8,6.1000000000000005
8,,DEN,NBA,,7.0,0.0,6.6,1.0,2.1,0.467,0.3,0.4,0.667,0.7,1.7,0.41700000000000004,0.5329999999999999,0.6,0.6,1.0,0.7,0.9,1.6,0.3,0.0,0.1,0.4,0.6,2.9,3.7999999999999994,1.0,4.799999999999999
9,,CHO,NBA,,4.0,0.0,8.5,2.0,3.8,0.5329999999999999,0.3,0.8,0.33299999999999996,1.8,3.0,0.583,0.5670000000000001,0.3,0.5,0.5,1.0,1.0,2.0,1.0,0.0,0.0,0.8,1.5,4.5,6.7,1.0,7.7
