,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,20.0,POR,NBA,SF,79.0,76.0,18.4,2.0,4.6,0.446,0.8,2.1,0.369,1.3,2.4,0.513,0.532,0.5,0.7,0.8079999999999999,1.1,1.7,2.8,0.9,0.6,0.5,0.6,1.8,5.4,7.700000000000001,2.8,10.5
1,21.0,POR,NBA,SF,37.0,25.0,24.8,3.8,7.2,0.519,1.5,3.6,0.409,2.3,3.7,0.625,0.619,1.2,1.4,0.843,0.9,2.9,3.8,1.2,0.6,0.7,0.7,2.2,10.1,12.7,4.2,16.9
2,22.0,POR,NBA,SF,80.0,67.0,31.5,4.6,10.1,0.455,1.5,4.3,0.345,3.1,5.8,0.535,0.528,1.7,2.1,0.841,1.4,3.2,4.5,1.5,0.9,0.6,1.0,2.4,12.4,15.8,4.7,20.5
3,23.0,POR,NBA,SF,59.0,34.0,30.4,4.9,10.9,0.451,1.8,4.6,0.391,3.1,6.2,0.496,0.534,2.3,2.7,0.836,1.4,3.2,4.6,1.4,1.0,1.0,1.5,1.8,13.9,16.6,5.2,21.8
4,24.0,POR,NBA,SF,73.0,73.0,38.5,4.8,11.4,0.423,2.3,6.1,0.37200000000000005,2.6,5.3,0.48100000000000004,0.522,2.4,2.9,0.848,1.3,4.3,5.6,4.9,1.2,1.1,2.6,1.9,14.3,22.8,6.6,29.4
5,25.0,POR,NBA,SF,82.0,82.0,36.0,4.6,10.0,0.465,1.8,4.9,0.361,2.9,5.1,0.5660000000000001,0.5539999999999999,2.0,2.5,0.8029999999999999,1.4,6.0,7.5,5.1,0.9,0.7,2.5,1.9,13.0,22.1,7.6000000000000005,29.700000000000003
6,26.0,POR,NBA,SF,71.0,71.0,33.5,3.4,8.5,0.4,1.4,4.4,0.324,2.0,4.1,0.48100000000000004,0.483,1.2,1.4,0.857,0.9,5.0,5.9,4.8,1.1,0.6,1.9,1.5,9.4,18.0,6.699999999999999,24.7
7,27.0,CHO,NBA,SF,70.0,70.0,35.0,5.3,12.5,0.426,2.0,5.7,0.348,3.3,6.8,0.49200000000000005,0.506,2.3,2.7,0.8490000000000001,0.8,5.3,6.1,5.8,0.9,0.6,2.9,1.6,14.9,24.400000000000002,6.8,31.200000000000003
8,28.0,CHO,NBA,SG,77.0,77.0,34.0,5.1,12.7,0.40299999999999997,1.8,5.3,0.33299999999999996,3.4,7.4,0.45299999999999996,0.47200000000000003,3.2,3.7,0.856,0.6,5.6,6.2,5.9,1.1,0.4,2.5,1.4,15.1,25.0,7.1,32.1
9,,,NBA,,628.0,575.0,31.7,4.3,9.8,0.436,1.6,4.6,0.35700000000000004,2.7,5.3,0.505,0.519,1.9,2.3,0.84,1.1,4.2,5.3,3.7,0.9,0.7,1.9,1.8,12.1,18.700000000000003,5.800000000000001,24.500000000000004
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,POR,NBA,,481.0,428.0,30.8,4.0,9.0,0.446,1.6,4.3,0.363,2.4,4.7,0.522,0.532,1.6,1.9,0.8340000000000001,1.2,3.8,5.1,3.0,0.9,0.7,1.6,1.9,11.2,16.799999999999997,5.4,22.199999999999996
12,,CHO,NBA,,147.0,147.0,34.5,5.2,12.6,0.414,1.9,5.5,0.341,3.3,7.1,0.47,0.488,2.8,3.2,0.853,0.7,5.5,6.2,5.8,1.0,0.5,2.7,1.5,15.0,24.599999999999998,7.0,31.599999999999998
