,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,21.0,MIL,NBA,PG,17.0,7.0,26.5,3.0,6.9,0.436,0.2,0.4,0.429,2.8,6.5,0.436,0.449,1.9,2.4,0.78,0.5,2.9,3.4,7.5,1.0,0.2,2.1,1.5,8.1,21.5,4.1,25.6
1,22.0,MIL,NBA,PG,79.0,39.0,27.5,4.4,9.8,0.445,0.1,0.4,0.17600000000000002,4.3,9.4,0.457,0.449,3.6,4.5,0.794,0.8,2.6,3.4,5.7,1.1,0.1,1.9,2.0,12.4,22.700000000000003,3.8000000000000003,26.500000000000004
2,23.0,MIN,NBA,PG,82.0,1.0,21.1,3.1,6.8,0.456,0.0,0.2,0.067,3.1,6.6,0.467,0.457,2.0,2.8,0.7170000000000001,0.7,1.9,2.6,3.1,0.7,0.1,1.7,1.7,8.2,13.4,2.6999999999999997,16.1
3,24.0,CLE,NBA,PG,81.0,38.0,26.3,4.5,9.6,0.466,0.0,0.2,0.2,4.4,9.4,0.47200000000000003,0.46799999999999997,4.3,5.2,0.823,0.6,2.6,3.1,5.2,0.7,0.1,2.2,1.1,13.3,22.1,3.4,25.5
4,25.0,TOT,NBA,PG,64.0,23.0,26.7,3.8,8.8,0.428,0.7,1.5,0.44299999999999995,3.1,7.3,0.425,0.466,3.0,3.9,0.782,0.5,2.8,3.3,5.5,0.7,0.0,2.2,1.6,11.3,20.6,3.5,24.1
5,25.0,CLE,NBA,PG,41.0,4.0,24.5,3.4,8.6,0.39799999999999996,0.6,1.5,0.419,2.8,7.1,0.39399999999999996,0.435,3.0,3.6,0.83,0.5,2.6,3.1,5.2,0.7,0.0,2.0,1.5,10.5,19.4,3.3,22.7
6,25.0,LAL,NBA,PG,23.0,19.0,30.5,4.4,9.2,0.479,0.7,1.5,0.486,3.7,7.7,0.47700000000000004,0.519,3.1,4.4,0.713,0.6,3.2,3.8,6.2,0.7,0.1,2.6,1.6,12.7,23.099999999999998,4.0,27.099999999999998
7,26.0,CHA,NBA,SG,61.0,0.0,27.1,4.5,11.1,0.408,0.5,1.8,0.308,4.0,9.3,0.42700000000000005,0.433,4.8,5.7,0.8390000000000001,0.4,2.3,2.8,3.8,0.8,0.1,1.7,1.5,14.4,20.7,3.1999999999999997,23.9
8,27.0,TOT,NBA,PG,83.0,19.0,26.7,4.0,9.3,0.429,0.4,1.5,0.282,3.6,7.8,0.457,0.452,3.9,4.9,0.807,0.5,2.0,2.4,4.1,0.6,0.1,1.8,1.1,12.3,19.2,2.7,21.9
9,27.0,CHA,NBA,PG,55.0,7.0,23.7,3.5,8.5,0.409,0.3,1.2,0.221,3.2,7.2,0.441,0.425,3.3,4.3,0.782,0.4,1.7,2.1,3.7,0.6,0.1,1.7,0.9,10.5,16.6,2.4,19.0
10,27.0,MIL,NBA,PG,28.0,12.0,32.5,5.0,10.9,0.461,0.7,2.0,0.35700000000000004,4.3,8.9,0.484,0.493,5.1,6.1,0.841,0.6,2.5,3.1,4.8,0.6,0.1,2.0,1.4,15.8,24.0,3.2,27.2
11,28.0,TOT,NBA,PG,64.0,10.0,18.6,2.0,5.2,0.374,0.3,0.9,0.317,1.7,4.3,0.387,0.40299999999999997,2.1,2.7,0.769,0.4,1.9,2.3,2.8,0.5,0.0,1.3,1.1,6.3,11.0,2.4,13.4
12,28.0,SAC,NBA,PG,36.0,7.0,17.8,1.8,5.1,0.344,0.2,0.8,0.214,1.6,4.3,0.368,0.361,1.8,2.4,0.727,0.4,1.6,1.9,2.7,0.4,0.0,1.4,1.3,5.4,9.8,2.0,11.8
13,28.0,WAS,NBA,PG,28.0,3.0,19.5,2.2,5.4,0.41100000000000003,0.5,1.1,0.406,1.8,4.3,0.41200000000000003,0.45399999999999996,2.5,3.0,0.812,0.4,2.3,2.7,3.1,0.6,0.0,1.3,1.0,7.4,12.7,2.9,15.6
14,29.0,WAS,NBA,PG,82.0,5.0,20.3,3.4,7.2,0.473,0.4,1.4,0.324,3.0,5.9,0.507,0.503,2.6,3.5,0.7559999999999999,0.3,2.2,2.5,2.9,0.6,0.1,1.4,1.2,9.9,14.6,2.9000000000000004,17.5
15,30.0,CHO,NBA,PG,50.0,1.0,16.2,2.0,5.3,0.38,0.4,1.2,0.33899999999999997,1.6,4.0,0.39299999999999996,0.42,1.8,2.4,0.7709999999999999,0.2,1.2,1.5,2.6,0.5,0.1,0.9,0.9,6.2,10.700000000000001,1.8,12.500000000000002
16,,,NBA,,663.0,143.0,23.7,3.6,8.2,0.436,0.3,1.0,0.316,3.3,7.2,0.452,0.45399999999999996,3.1,4.0,0.792,0.5,2.2,2.7,4.1,0.7,0.1,1.7,1.4,10.6,17.599999999999998,3.0000000000000004,20.599999999999998
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,"CHA,CHO",NBA,,166.0,8.0,22.7,3.4,8.5,0.40299999999999997,0.4,1.4,0.29100000000000004,3.0,7.0,0.426,0.428,3.4,4.2,0.8079999999999999,0.4,1.8,2.2,3.4,0.7,0.1,1.5,1.1,10.6,16.3,2.6,18.900000000000002
