,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,22.0,HOU,NBA,PG,22.0,0.0,11.5,1.4,4.0,0.35600000000000004,0.8,2.5,0.327,0.6,1.5,0.406,0.46,1.0,1.3,0.7240000000000001,0.3,0.8,1.1,1.0,0.4,0.2,1.0,1.1,4.6,5.8999999999999995,1.4000000000000001,7.3
1,23.0,TOT,NBA,PG,47.0,21.0,20.0,3.1,8.0,0.386,1.9,5.2,0.37,1.2,2.8,0.41700000000000004,0.507,1.0,1.3,0.8170000000000001,0.4,1.5,1.9,2.1,0.6,0.1,1.3,1.8,9.2,12.5,2.2,14.7
2,23.0,HOU,NBA,PG,25.0,9.0,14.8,2.1,5.2,0.405,1.3,3.4,0.381,0.8,1.9,0.447,0.527,0.6,0.8,0.762,0.4,0.9,1.3,1.2,0.6,0.0,0.9,1.1,6.2,8.1,1.5,9.6
3,23.0,PHI,NBA,PG,22.0,12.0,25.9,4.2,11.2,0.377,2.7,7.4,0.364,1.5,3.9,0.4,0.496,1.5,1.8,0.846,0.3,2.1,2.5,3.1,0.7,0.1,1.8,2.5,12.6,17.3,2.9,20.2
4,24.0,PHI,NBA,SG,77.0,39.0,25.5,3.4,9.4,0.36,2.3,6.3,0.363,1.1,3.1,0.354,0.48200000000000004,1.9,2.3,0.833,0.3,2.0,2.3,1.8,0.7,0.2,1.2,1.7,11.0,13.700000000000001,2.9000000000000004,16.6
5,25.0,CHI,NBA,SG,39.0,0.0,15.2,1.6,4.4,0.364,0.6,2.4,0.266,1.0,2.0,0.48100000000000004,0.436,0.8,0.8,0.909,0.2,1.1,1.3,0.9,0.6,0.0,0.5,0.9,4.6,6.1,1.7000000000000002,7.8
6,,,NBA,,185.0,60.0,20.3,2.7,7.4,0.368,1.7,4.8,0.35200000000000004,1.0,2.6,0.396,0.48200000000000004,1.4,1.6,0.828,0.3,1.5,1.8,1.6,0.6,0.1,1.1,1.5,8.4,10.8,2.2,13.0
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,PHI,NBA,,99.0,51.0,25.6,3.6,9.8,0.364,2.4,6.5,0.363,1.2,3.3,0.366,0.486,1.8,2.2,0.836,0.3,2.0,2.3,2.1,0.7,0.2,1.3,1.9,11.4,14.6,2.9000000000000004,17.5
9,,HOU,NBA,,47.0,9.0,13.2,1.8,4.6,0.385,1.1,3.0,0.36,0.7,1.7,0.43,0.5,0.8,1.1,0.74,0.4,0.8,1.2,1.1,0.5,0.1,0.9,1.1,5.4,7.1,1.4000000000000001,8.5
10,,CHI,NBA,,39.0,0.0,15.2,1.6,4.4,0.364,0.6,2.4,0.266,1.0,2.0,0.48100000000000004,0.436,0.8,0.8,0.909,0.2,1.1,1.3,0.9,0.6,0.0,0.5,0.9,4.6,6.1,1.7000000000000002,7.8
