,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,22.0,PHI,NBA,PG,70.0,70.0,34.5,6.1,15.1,0.405,0.8,3.0,0.264,5.3,12.1,0.44,0.431,3.7,5.2,0.703,1.4,4.8,6.2,6.3,1.9,0.6,3.5,3.0,16.7,27.2,7.299999999999999,34.5
1,23.0,TOT,NBA,PG,66.0,63.0,32.6,5.5,13.9,0.396,0.5,2.3,0.235,5.0,11.6,0.428,0.41600000000000004,3.1,4.4,0.6940000000000001,1.0,4.4,5.3,6.7,1.7,0.5,3.8,2.5,14.6,25.2,6.6000000000000005,31.8
2,23.0,PHI,NBA,PG,41.0,38.0,33.9,5.7,14.9,0.38,0.8,3.0,0.256,4.9,11.9,0.41200000000000003,0.406,2.9,4.4,0.643,1.0,5.1,6.2,7.4,1.5,0.4,4.2,2.5,15.0,26.6,7.0,33.6
3,23.0,MIL,NBA,PG,25.0,25.0,30.3,5.3,12.3,0.429,0.2,1.1,0.14300000000000002,5.1,11.2,0.457,0.435,3.4,4.4,0.78,0.8,3.1,4.0,5.6,2.0,0.5,3.2,2.6,14.1,22.900000000000002,5.6,28.5
4,24.0,MIL,NBA,PG,54.0,37.0,30.5,4.6,10.3,0.452,0.3,1.0,0.273,4.4,9.3,0.47200000000000003,0.466,2.0,3.0,0.654,0.9,4.2,5.1,5.2,1.5,0.8,2.8,3.0,11.5,20.0,6.5,26.5
5,25.0,CHI,NBA,PG,45.0,19.0,18.8,2.5,6.8,0.366,0.3,1.4,0.23399999999999999,2.2,5.4,0.401,0.391,1.3,1.7,0.753,0.5,2.9,3.4,2.5,0.8,0.5,1.5,2.3,6.6,10.6,4.2,14.8
6,,,NBA,,235.0,189.0,30.0,4.9,12.1,0.40700000000000003,0.5,2.0,0.252,4.4,10.0,0.439,0.429,2.7,3.8,0.696,1.0,4.2,5.2,5.4,1.5,0.6,3.1,2.7,13.0,21.7,6.3,28.0
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,PHI,NBA,,111.0,108.0,34.3,5.9,15.0,0.396,0.8,3.0,0.261,5.2,12.0,0.429,0.42200000000000004,3.4,4.9,0.6829999999999999,1.3,4.9,6.2,6.7,1.7,0.5,3.8,2.8,16.0,26.900000000000002,7.1000000000000005,34.0
9,,MIL,NBA,,79.0,62.0,30.5,4.8,10.9,0.444,0.2,1.1,0.22899999999999998,4.6,9.9,0.467,0.455,2.4,3.4,0.705,0.9,3.9,4.7,5.3,1.7,0.7,2.9,2.9,12.4,21.0,6.3,27.3
10,,CHI,NBA,,45.0,19.0,18.8,2.5,6.8,0.366,0.3,1.4,0.23399999999999999,2.2,5.4,0.401,0.391,1.3,1.7,0.753,0.5,2.9,3.4,2.5,0.8,0.5,1.5,2.3,6.6,10.6,4.2,14.8
