,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,20.0,BOS,NBA,PG,78.0,25.0,23.5,2.4,5.8,0.418,0.1,0.4,0.207,2.3,5.4,0.43200000000000005,0.424,1.5,2.4,0.647,0.9,2.8,3.7,3.8,1.6,0.1,1.8,2.3,6.4,13.1,4.5,17.6
1,21.0,BOS,NBA,PG,77.0,77.0,29.9,4.6,9.3,0.49200000000000005,0.1,0.2,0.263,4.5,9.0,0.499,0.496,1.4,2.3,0.611,1.0,3.2,4.2,5.1,1.7,0.2,1.9,2.4,10.6,19.9,5.1000000000000005,25.0
2,22.0,BOS,NBA,PG,80.0,80.0,33.0,4.8,9.5,0.505,0.2,0.6,0.313,4.6,8.9,0.518,0.514,2.2,3.4,0.642,1.3,4.0,5.2,8.2,1.9,0.1,2.6,2.4,11.9,27.0,6.0,33.0
3,23.0,BOS,NBA,PG,81.0,81.0,36.6,5.7,11.2,0.508,0.2,1.0,0.213,5.5,10.2,0.536,0.517,2.2,3.5,0.621,1.2,3.2,4.4,9.8,2.3,0.1,3.0,2.4,13.7,31.5,5.6,37.1
4,24.0,BOS,NBA,PG,68.0,68.0,37.2,4.7,9.9,0.475,0.1,0.6,0.233,4.5,9.2,0.491,0.48200000000000004,1.1,1.9,0.568,1.3,3.1,4.4,11.2,2.3,0.2,3.4,1.8,10.6,30.9,5.6000000000000005,36.5
5,25.0,BOS,NBA,PG,53.0,53.0,36.9,4.8,10.8,0.44799999999999995,0.2,0.8,0.23800000000000002,4.6,10.0,0.46399999999999997,0.456,2.0,3.4,0.597,1.2,3.7,4.8,11.7,1.8,0.1,3.6,1.9,11.9,32.9,5.6,38.5
6,26.0,BOS,NBA,PG,38.0,38.0,37.4,5.9,12.2,0.484,0.3,1.3,0.24,5.6,10.9,0.513,0.49700000000000005,1.6,2.4,0.645,1.1,4.4,5.6,11.1,1.8,0.2,3.9,2.5,13.7,33.1,6.4,39.5
7,27.0,BOS,NBA,PG,30.0,30.0,33.3,4.7,11.7,0.40299999999999997,0.9,3.0,0.289,3.8,8.7,0.442,0.44,1.4,2.2,0.627,0.7,4.7,5.5,9.8,1.3,0.1,3.3,2.2,11.7,28.7,6.1,34.8
8,28.0,TOT,NBA,PG,68.0,68.0,29.7,4.0,9.5,0.426,0.4,1.3,0.314,3.6,8.2,0.444,0.447,0.5,1.1,0.397,1.1,4.4,5.5,7.9,1.3,0.1,3.1,2.3,8.9,22.700000000000003,5.8,28.500000000000004
9,28.0,BOS,NBA,PG,22.0,22.0,31.8,3.7,9.1,0.405,0.4,1.5,0.25,3.3,7.6,0.435,0.425,0.5,1.6,0.33299999999999996,1.1,6.4,7.5,10.8,1.7,0.1,3.4,1.9,8.3,27.600000000000005,8.2,35.800000000000004
10,28.0,DAL,NBA,PG,46.0,46.0,28.7,4.2,9.7,0.436,0.4,1.2,0.35200000000000004,3.8,8.5,0.44799999999999995,0.457,0.4,0.9,0.452,1.0,3.5,4.5,6.5,1.2,0.1,2.9,2.4,9.3,20.400000000000002,4.8,25.200000000000003
11,29.0,SAC,NBA,PG,72.0,72.0,35.2,4.9,10.9,0.45399999999999996,0.9,2.4,0.365,4.1,8.5,0.479,0.494,1.2,2.1,0.58,1.1,5.0,6.0,11.7,2.0,0.1,3.9,2.4,11.9,32.5,7.1,39.6
12,30.0,CHI,NBA,PG,69.0,42.0,26.7,3.3,8.1,0.408,0.7,1.9,0.376,2.6,6.2,0.418,0.45299999999999996,0.4,0.7,0.6,1.1,4.1,5.1,6.7,1.4,0.2,2.4,2.1,7.8,19.900000000000002,5.7,25.6
13,,,NBA,,714.0,634.0,32.3,4.5,9.6,0.46299999999999997,0.3,1.1,0.304,4.1,8.5,0.483,0.48,1.4,2.3,0.606,1.1,3.8,4.9,8.5,1.8,0.1,2.9,2.3,10.7,25.900000000000002,5.699999999999999,31.6
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,BOS,NBA,,527.0,474.0,32.9,4.6,9.6,0.473,0.2,0.8,0.252,4.4,8.8,0.493,0.483,1.7,2.7,0.614,1.1,3.6,4.7,8.5,1.9,0.1,2.8,2.2,11.0,26.3,5.6,31.9
16,,SAC,NBA,,72.0,72.0,35.2,4.9,10.9,0.45399999999999996,0.9,2.4,0.365,4.1,8.5,0.479,0.494,1.2,2.1,0.58,1.1,5.0,6.0,11.7,2.0,0.1,3.9,2.4,11.9,32.5,7.1,39.6
17,,CHI,NBA,,69.0,42.0,26.7,3.3,8.1,0.408,0.7,1.9,0.376,2.6,6.2,0.418,0.45299999999999996,0.4,0.7,0.6,1.1,4.1,5.1,6.7,1.4,0.2,2.4,2.1,7.8,19.900000000000002,5.7,25.6
18,,DAL,NBA,,46.0,46.0,28.7,4.2,9.7,0.436,0.4,1.2,0.35200000000000004,3.8,8.5,0.44799999999999995,0.457,0.4,0.9,0.452,1.0,3.5,4.5,6.5,1.2,0.1,2.9,2.4,9.3,20.400000000000002,4.8,25.200000000000003
