,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,20.0,MIN,NBA,PF,66.0,15.0,21.5,3.1,7.5,0.41200000000000003,0.6,2.1,0.268,2.5,5.5,0.467,0.449,2.1,3.0,0.6970000000000001,1.2,3.5,4.7,0.6,0.5,0.5,1.2,1.4,8.8,10.000000000000002,4.5,14.500000000000002
1,21.0,MIN,NBA,PF,78.0,56.0,24.6,4.3,10.1,0.43,0.8,2.5,0.332,3.5,7.6,0.46299999999999997,0.47100000000000003,2.5,3.5,0.706,1.2,4.3,5.5,0.6,0.6,0.5,1.3,1.6,12.0,13.1,5.3999999999999995,18.5
2,22.0,TOT,NBA,SF-PF,78.0,15.0,23.3,2.6,6.2,0.42700000000000005,0.3,1.3,0.263,2.3,4.9,0.47,0.45399999999999996,2.4,3.3,0.718,0.9,3.2,4.1,0.7,0.6,0.3,1.0,1.5,8.0,9.3,4.1000000000000005,13.400000000000002
3,22.0,MIN,NBA,PF,11.0,0.0,14.7,1.7,4.9,0.35200000000000004,0.2,1.4,0.133,1.5,3.5,0.436,0.37,1.3,1.5,0.875,0.3,2.1,2.4,0.1,0.4,0.4,0.5,0.8,4.9,4.9,2.9,7.800000000000001
4,22.0,SAC,NBA,SF,67.0,15.0,24.7,2.8,6.4,0.43700000000000006,0.4,1.3,0.28600000000000003,2.4,5.1,0.474,0.465,2.6,3.6,0.708,1.0,3.4,4.4,0.8,0.7,0.2,1.0,1.6,8.5,10.1,4.3,14.399999999999999
5,23.0,SAC,NBA,PF,74.0,6.0,19.8,2.9,6.6,0.447,0.7,2.1,0.314,2.3,4.4,0.511,0.498,1.8,2.6,0.684,0.6,2.2,2.7,0.7,0.5,0.1,0.8,0.9,8.3,9.5,2.8000000000000003,12.3
6,24.0,NYK,NBA,SF,80.0,9.0,17.9,3.2,7.1,0.45,0.6,1.9,0.293,2.6,5.2,0.506,0.488,2.4,3.2,0.758,0.6,3.1,3.7,0.9,0.4,0.1,0.8,0.9,9.3,10.9,3.6,14.5
7,25.0,TOT,NBA,PF,50.0,11.0,16.1,2.2,4.9,0.44299999999999995,0.6,1.9,0.309,1.6,2.9,0.531,0.504,1.2,1.8,0.652,0.4,2.2,2.6,0.6,0.3,0.1,0.6,1.2,6.1,7.1,2.6,9.7
8,25.0,MIA,NBA,PF,25.0,11.0,15.1,2.2,5.5,0.39399999999999996,0.4,1.8,0.2,1.8,3.7,0.489,0.42700000000000005,1.2,2.0,0.62,0.6,2.3,2.9,0.6,0.4,0.2,0.6,1.3,5.9,7.1000000000000005,2.9,10.0
9,25.0,CLE,NBA,PF,25.0,0.0,17.1,2.2,4.3,0.505,0.8,2.1,0.40399999999999997,1.3,2.2,0.6,0.603,1.1,1.6,0.6920000000000001,0.1,2.2,2.3,0.6,0.2,0.1,0.6,1.1,6.2,6.9,2.5000000000000004,9.4
10,,,NBA,,426.0,112.0,20.8,3.1,7.2,0.434,0.6,2.0,0.3,2.5,5.2,0.484,0.475,2.1,3.0,0.71,0.8,3.1,4.0,0.7,0.5,0.3,0.9,1.2,8.9,10.200000000000001,3.9,14.100000000000001
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,MIN,NBA,,155.0,71.0,22.6,3.6,8.6,0.42,0.7,2.3,0.298,3.0,6.4,0.46299999999999997,0.45899999999999996,2.2,3.1,0.708,1.1,3.8,4.9,0.5,0.5,0.5,1.2,1.5,10.1,11.0,4.8,15.8
13,,SAC,NBA,,141.0,21.0,22.1,2.9,6.5,0.442,0.5,1.7,0.304,2.3,4.8,0.49200000000000005,0.48200000000000004,2.2,3.1,0.6970000000000001,0.8,2.8,3.5,0.7,0.6,0.1,0.9,1.2,8.4,9.700000000000001,3.5,13.200000000000001
14,,NYK,NBA,,80.0,9.0,17.9,3.2,7.1,0.45,0.6,1.9,0.293,2.6,5.2,0.506,0.488,2.4,3.2,0.758,0.6,3.1,3.7,0.9,0.4,0.1,0.8,0.9,9.3,10.9,3.6,14.5
15,,CLE,NBA,,25.0,0.0,17.1,2.2,4.3,0.505,0.8,2.1,0.40399999999999997,1.3,2.2,0.6,0.603,1.1,1.6,0.6920000000000001,0.1,2.2,2.3,0.6,0.2,0.1,0.6,1.1,6.2,6.9,2.5000000000000004,9.4
16,,MIA,NBA,,25.0,11.0,15.1,2.2,5.5,0.39399999999999996,0.4,1.8,0.2,1.8,3.7,0.489,0.42700000000000005,1.2,2.0,0.62,0.6,2.3,2.9,0.6,0.4,0.2,0.6,1.3,5.9,7.1000000000000005,2.9,10.0
