,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,20.0,MIN,NBA,C,81.0,37.0,25.3,3.9,8.5,0.45899999999999996,0.0,0.2,0.105,3.9,8.3,0.469,0.461,3.3,4.1,0.789,3.4,5.7,9.1,1.0,0.4,0.6,1.5,2.5,11.1,15.0,6.7,21.7
1,21.0,MIN,NBA,PF,60.0,22.0,28.6,4.9,10.8,0.45,0.6,1.8,0.33,4.3,9.0,0.474,0.478,3.8,4.6,0.815,3.8,7.2,11.0,2.3,0.7,0.4,2.0,2.3,14.0,20.4,8.3,28.7
2,22.0,MIN,NBA,PF,73.0,73.0,35.8,6.6,14.1,0.47,1.2,2.9,0.41700000000000004,5.4,11.2,0.483,0.513,5.8,6.8,0.85,4.5,10.7,15.2,2.5,0.6,0.4,2.1,2.0,20.2,27.599999999999998,11.7,39.3
3,23.0,MIN,NBA,PF,55.0,55.0,39.0,8.6,19.3,0.44799999999999995,1.9,5.1,0.37200000000000005,6.7,14.1,0.475,0.49700000000000005,6.9,8.4,0.8240000000000001,4.1,9.2,13.3,2.0,0.9,0.5,2.3,2.8,26.0,31.8,10.6,42.4
4,24.0,MIN,NBA,PF,18.0,18.0,34.3,5.8,16.6,0.35200000000000004,1.1,5.1,0.217,4.7,11.4,0.413,0.386,5.6,7.9,0.7040000000000001,3.6,10.4,14.0,2.3,0.7,0.5,2.2,1.9,18.3,24.3,11.6,35.9
5,25.0,MIN,NBA,PF,77.0,77.0,36.3,8.4,18.5,0.457,2.5,6.6,0.376,6.0,11.9,0.502,0.524,6.8,8.2,0.821,2.9,9.6,12.5,4.4,0.8,0.5,2.5,1.8,26.1,35.300000000000004,10.9,46.2
6,26.0,CLE,NBA,PF,75.0,75.0,33.8,5.5,12.7,0.434,1.9,5.2,0.36700000000000005,3.6,7.5,0.48,0.509,3.4,4.3,0.804,1.9,7.9,9.7,2.2,0.7,0.5,1.6,1.9,16.4,21.099999999999998,9.1,30.199999999999996
7,27.0,CLE,NBA,PF,77.0,77.0,31.5,5.3,12.7,0.419,2.1,5.7,0.36,3.3,7.0,0.467,0.499,3.4,4.1,0.8220000000000001,1.9,8.0,9.9,2.4,0.8,0.5,1.8,2.1,16.0,20.9,9.3,30.2
8,28.0,CLE,NBA,PF,60.0,60.0,31.4,6.2,14.5,0.42700000000000005,2.4,6.5,0.373,3.8,8.0,0.47100000000000003,0.51,4.3,4.9,0.871,2.5,8.6,11.1,1.9,0.9,0.4,2.0,2.1,19.0,23.3,9.9,33.2
9,,,NBA,,576.0,494.0,32.6,6.1,13.8,0.442,1.5,4.2,0.364,4.6,9.5,0.47700000000000004,0.498,4.7,5.7,0.82,3.1,8.4,11.5,2.4,0.7,0.5,2.0,2.1,18.4,24.299999999999997,9.6,33.9
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,MIN,NBA,,364.0,282.0,32.8,6.4,14.1,0.451,1.2,3.3,0.36200000000000004,5.2,10.8,0.479,0.494,5.3,6.4,0.815,3.7,8.5,12.2,2.5,0.7,0.5,2.1,2.2,19.2,25.799999999999997,9.7,35.5
12,,CLE,NBA,,212.0,212.0,32.3,5.6,13.2,0.426,2.1,5.8,0.366,3.5,7.4,0.473,0.506,3.6,4.4,0.831,2.1,8.1,10.2,2.2,0.8,0.5,1.8,2.0,17.0,21.7,9.4,31.1
