,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,22.0,PHI,NBA,SF,74.0,0.0,11.9,1.6,4.4,0.35200000000000004,1.1,2.8,0.391,0.5,1.6,0.28300000000000003,0.47600000000000003,0.3,0.3,0.792,0.4,1.1,1.5,0.5,0.3,0.1,0.6,1.4,4.5,5.300000000000001,1.5000000000000002,6.800000000000001
1,23.0,PHI,NBA,SF,82.0,57.0,32.5,3.9,9.3,0.418,2.8,6.8,0.405,1.1,2.5,0.45299999999999996,0.5670000000000001,1.0,1.2,0.8540000000000001,0.5,4.1,4.6,2.2,1.3,0.4,1.3,3.2,11.5,15.099999999999998,5.8,20.9
2,24.0,PHI,NBA,SF,82.0,43.0,31.3,4.0,9.3,0.43,2.2,5.3,0.42,1.7,3.9,0.44299999999999995,0.551,1.2,1.5,0.8490000000000001,0.3,3.0,3.3,2.0,0.8,0.3,1.2,2.7,11.5,14.600000000000001,4.1,18.700000000000003
3,25.0,PHI,NBA,SF,74.0,1.0,30.9,5.0,11.4,0.44,1.8,4.1,0.43,3.2,7.3,0.446,0.518,2.6,2.8,0.914,0.4,3.1,3.5,1.4,0.8,0.3,1.6,2.5,14.4,16.0,4.2,20.2
4,26.0,TOT,NBA,SG-PF,75.0,0.0,23.1,3.4,7.7,0.44299999999999995,1.5,3.9,0.375,1.9,3.7,0.516,0.54,1.6,1.7,0.915,0.3,2.0,2.3,1.3,0.6,0.4,1.0,2.6,9.9,11.8,3.0,14.8
5,26.0,PHI,NBA,PF,25.0,0.0,26.3,3.6,9.1,0.396,1.5,4.3,0.35200000000000004,2.1,4.8,0.43700000000000006,0.48,1.2,1.4,0.912,0.5,2.4,2.9,1.3,0.8,0.2,1.1,2.7,10.0,12.0,3.4000000000000004,15.4
6,26.0,UTA,NBA,SG,50.0,0.0,21.5,3.3,7.0,0.474,1.5,3.8,0.38799999999999996,1.8,3.2,0.575,0.579,1.8,1.9,0.917,0.2,1.8,2.0,1.4,0.4,0.5,0.9,2.5,9.8,11.9,2.7,14.600000000000001
7,27.0,UTA,NBA,SF,78.0,2.0,24.0,3.1,7.2,0.43799999999999994,1.3,3.4,0.386,1.8,3.8,0.485,0.529,1.4,1.6,0.882,0.4,2.9,3.3,1.8,0.6,0.4,1.2,2.2,9.0,11.8,3.9,15.700000000000001
8,28.0,UTA,NBA,SG,52.0,0.0,18.3,2.7,5.4,0.493,1.1,2.1,0.536,1.5,3.3,0.465,0.598,0.8,0.9,0.7959999999999999,0.2,1.9,2.1,1.7,0.5,0.2,0.8,1.5,7.2,10.0,2.6,12.6
9,29.0,CHI,NBA,SG,82.0,0.0,20.1,3.0,6.8,0.434,1.5,3.5,0.415,1.5,3.3,0.455,0.542,0.9,1.1,0.885,0.1,1.7,1.8,1.5,0.4,0.2,0.7,1.9,8.3,10.700000000000001,2.3000000000000003,13.000000000000002
10,30.0,CHI,NBA,SG,65.0,7.0,22.6,2.7,6.3,0.43200000000000005,1.8,4.2,0.435,0.9,2.2,0.426,0.575,0.8,1.0,0.833,0.4,2.0,2.4,1.7,0.6,0.2,0.8,1.7,8.1,11.099999999999998,2.8000000000000003,13.899999999999999
11,31.0,ATL,NBA,SF,74.0,60.0,30.5,3.7,8.1,0.461,2.6,5.6,0.457,1.2,2.5,0.47100000000000003,0.618,0.9,1.1,0.8590000000000001,0.3,3.6,4.0,2.0,0.9,0.5,0.9,2.3,10.9,14.299999999999999,5.0,19.299999999999997
12,32.0,ATL,NBA,SG,71.0,71.0,33.9,4.1,8.6,0.475,2.6,5.5,0.47200000000000003,1.5,3.1,0.479,0.626,1.2,1.3,0.9259999999999999,0.3,3.7,4.0,2.9,1.0,0.3,1.4,2.1,12.0,16.700000000000003,5.0,21.700000000000003
13,33.0,ATL,NBA,SG,75.0,75.0,32.2,3.9,8.0,0.48700000000000004,2.9,6.0,0.49200000000000005,0.9,2.0,0.47,0.6709999999999999,1.4,1.6,0.898,0.2,3.9,4.1,2.6,0.7,0.6,1.4,1.9,12.1,16.1,5.199999999999999,21.3
14,34.0,ATL,NBA,SG,80.0,80.0,30.0,3.4,7.7,0.435,2.0,5.0,0.39799999999999996,1.4,2.7,0.502,0.563,0.6,0.7,0.833,0.2,3.1,3.3,2.1,0.8,0.4,1.2,2.0,9.2,12.4,4.300000000000001,16.700000000000003
15,35.0,TOT,NBA,SG,67.0,22.0,26.2,3.6,7.7,0.46399999999999997,2.4,5.4,0.451,1.1,2.3,0.494,0.621,0.6,0.6,0.905,0.1,2.7,2.8,1.6,0.5,0.3,1.0,1.6,10.1,12.4,3.5,15.9
16,35.0,ATL,NBA,SG,32.0,21.0,27.9,3.4,7.7,0.439,2.0,5.0,0.409,1.3,2.7,0.494,0.5710000000000001,0.8,0.8,0.889,0.0,2.8,2.8,2.3,0.7,0.4,1.3,1.5,9.5,12.799999999999999,3.9,16.7
17,35.0,CLE,NBA,SG,35.0,1.0,24.5,3.7,7.7,0.48700000000000004,2.8,5.7,0.485,1.0,2.0,0.493,0.667,0.4,0.4,0.9329999999999999,0.2,2.6,2.8,1.0,0.3,0.2,0.8,1.7,10.7,12.099999999999998,3.1,15.199999999999998
18,,,NBA,,1031.0,418.0,26.5,3.4,7.8,0.44299999999999995,2.0,4.6,0.431,1.5,3.2,0.461,0.5710000000000001,1.1,1.3,0.88,0.3,2.8,3.1,1.8,0.7,0.3,1.1,2.1,10.0,12.8,3.8,16.6
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,PHI,NBA,,337.0,101.0,26.9,3.6,8.7,0.418,2.0,4.8,0.409,1.7,3.9,0.43,0.532,1.3,1.4,0.88,0.4,2.8,3.2,1.6,0.8,0.3,1.2,2.5,10.5,12.9,3.8999999999999995,16.8
21,,ATL,NBA,,332.0,307.0,31.3,3.7,8.0,0.462,2.5,5.5,0.452,1.3,2.6,0.483,0.615,1.0,1.1,0.887,0.2,3.5,3.7,2.4,0.8,0.5,1.3,2.0,10.9,14.6,4.8,19.4
22,,UTA,NBA,,180.0,2.0,21.7,3.0,6.6,0.461,1.3,3.1,0.41600000000000004,1.7,3.5,0.502,0.56,1.3,1.5,0.879,0.3,2.3,2.6,1.6,0.5,0.4,1.0,2.1,8.7,11.2,3.1999999999999997,14.399999999999999
23,,CHI,NBA,,147.0,7.0,21.2,2.9,6.6,0.433,1.6,3.8,0.425,1.2,2.8,0.445,0.556,0.9,1.0,0.863,0.3,1.8,2.1,1.6,0.5,0.2,0.8,1.8,8.2,10.899999999999999,2.5,13.399999999999999
24,,CLE,NBA,,35.0,1.0,24.5,3.7,7.7,0.48700000000000004,2.8,5.7,0.485,1.0,2.0,0.493,0.667,0.4,0.4,0.9329999999999999,0.2,2.6,2.8,1.0,0.3,0.2,0.8,1.7,10.7,12.099999999999998,3.1,15.199999999999998
