,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,19.0,CLE,NBA,SG,79.0,79.0,39.5,7.9,18.9,0.41700000000000004,0.8,2.7,0.29,7.1,16.1,0.43799999999999994,0.43799999999999994,4.4,5.8,0.754,1.3,4.2,5.5,5.9,1.6,0.7,3.5,1.9,20.9,30.5,6.500000000000001,37.0
1,20.0,CLE,NBA,SF,80.0,80.0,42.4,9.9,21.1,0.47200000000000003,1.4,3.9,0.35100000000000003,8.6,17.2,0.499,0.504,6.0,8.0,0.75,1.4,6.0,7.4,7.2,2.2,0.7,3.3,1.8,27.2,39.7,8.899999999999999,48.6
2,21.0,CLE,NBA,SF,79.0,79.0,42.5,11.1,23.1,0.48,1.6,4.8,0.335,9.5,18.3,0.518,0.515,7.6,10.3,0.738,0.9,6.1,7.0,6.6,1.6,0.8,3.3,2.3,31.4,42.2,8.5,50.7
3,22.0,CLE,NBA,SF,78.0,78.0,40.9,9.9,20.8,0.47600000000000003,1.3,4.0,0.319,8.6,16.8,0.513,0.507,6.3,9.0,0.698,1.1,5.7,6.7,6.0,1.6,0.7,3.2,2.2,27.3,37.199999999999996,8.0,45.199999999999996
4,23.0,CLE,NBA,SF,75.0,74.0,40.4,10.6,21.9,0.484,1.5,4.8,0.315,9.1,17.1,0.531,0.518,7.3,10.3,0.7120000000000001,1.8,6.1,7.9,7.2,1.8,1.1,3.4,2.2,30.0,42.800000000000004,9.0,51.800000000000004
5,24.0,CLE,NBA,SF,81.0,81.0,37.7,9.7,19.9,0.489,1.6,4.7,0.344,8.1,15.2,0.535,0.53,7.3,9.4,0.78,1.3,6.3,7.6,7.2,1.7,1.1,3.0,1.7,28.4,41.1,9.1,50.2
6,25.0,CLE,NBA,SF,76.0,76.0,39.0,10.1,20.1,0.503,1.7,5.1,0.33299999999999996,8.4,15.0,0.56,0.545,7.8,10.2,0.767,0.9,6.4,7.3,8.6,1.6,1.0,3.4,1.6,29.7,44.4,9.0,53.4
7,26.0,MIA,NBA,SF,79.0,79.0,38.8,9.6,18.8,0.51,1.2,3.5,0.33,8.4,15.3,0.552,0.541,6.4,8.4,0.759,1.0,6.5,7.5,7.0,1.6,0.6,3.6,2.1,26.7,38.1,8.7,46.8
8,27.0,MIA,NBA,SF,62.0,62.0,37.5,10.0,18.9,0.531,0.9,2.4,0.36200000000000004,9.1,16.5,0.556,0.5539999999999999,6.2,8.1,0.7709999999999999,1.5,6.4,7.9,6.2,1.9,0.8,3.4,1.5,27.1,37.6,9.100000000000001,46.7
9,28.0,MIA,NBA,PF,76.0,76.0,37.9,10.1,17.8,0.565,1.4,3.3,0.406,8.7,14.5,0.602,0.603,5.3,7.0,0.753,1.3,6.8,8.0,7.3,1.7,0.9,3.0,1.4,26.8,39.7,9.4,49.1
10,29.0,MIA,NBA,PF,77.0,77.0,37.7,10.0,17.6,0.5670000000000001,1.5,4.0,0.379,8.5,13.6,0.622,0.61,5.7,7.6,0.75,1.1,5.9,6.9,6.3,1.6,0.3,3.5,1.6,27.1,37.3,7.8,45.099999999999994
11,30.0,CLE,NBA,SF,69.0,69.0,36.1,9.0,18.5,0.488,1.7,4.9,0.354,7.3,13.6,0.536,0.535,5.4,7.7,0.71,0.7,5.3,6.0,7.4,1.6,0.7,3.9,2.0,25.3,36.9,7.6000000000000005,44.5
12,31.0,CLE,NBA,SF,76.0,76.0,35.6,9.7,18.6,0.52,1.1,3.7,0.309,8.6,14.9,0.573,0.551,4.7,6.5,0.731,1.5,6.0,7.4,6.8,1.4,0.6,3.3,1.9,25.3,37.1,8.0,45.1
13,32.0,CLE,NBA,SF,74.0,74.0,37.8,9.9,18.2,0.5479999999999999,1.7,4.6,0.363,8.3,13.5,0.611,0.594,4.8,7.2,0.674,1.3,7.3,8.6,8.7,1.2,0.6,4.1,1.8,26.4,40.99999999999999,9.1,50.099999999999994
14,,,NBA,,1061.0,1060.0,38.9,9.8,19.6,0.501,1.4,4.0,0.342,8.4,15.6,0.5429999999999999,0.536,6.1,8.2,0.74,1.2,6.0,7.3,7.0,1.6,0.8,3.4,1.9,27.1,38.9,8.4,47.3
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,CLE,NBA,,767.0,766.0,39.2,9.8,20.1,0.486,1.4,4.3,0.33299999999999996,8.4,15.8,0.528,0.522,6.2,8.4,0.733,1.2,5.9,7.1,7.1,1.6,0.8,3.4,1.9,27.2,39.199999999999996,8.3,47.5
17,,MIA,NBA,,294.0,294.0,38.0,9.9,18.2,0.5429999999999999,1.2,3.4,0.369,8.7,14.9,0.5820000000000001,0.5770000000000001,5.9,7.8,0.758,1.2,6.4,7.6,6.7,1.7,0.7,3.4,1.7,26.9,38.1,8.799999999999999,46.9
