,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,22.0,MIL,NBA,PF,46.0,12.0,12.1,2.1,4.2,0.508,0.1,0.2,0.33299999999999996,2.0,4.0,0.516,0.516,0.5,0.6,0.75,1.0,1.6,2.6,0.5,0.3,0.4,0.4,1.5,4.7,6.3,2.3000000000000003,8.6
1,23.0,TOT,NBA,PF-C,28.0,0.0,6.7,0.9,1.9,0.48100000000000004,0.0,0.1,0.0,0.9,1.8,0.51,0.48100000000000004,0.2,0.5,0.462,0.5,0.9,1.3,0.3,0.2,0.0,0.3,0.8,2.0,2.8000000000000003,1.1,3.9000000000000004
2,23.0,CLE,NBA,C,9.0,0.0,10.1,1.1,3.1,0.35700000000000004,0.0,0.3,0.0,1.1,2.8,0.4,0.35700000000000004,0.2,0.7,0.33299999999999996,0.6,0.9,1.4,0.6,0.2,0.0,0.6,1.2,2.4,3.599999999999999,1.1,4.699999999999999
3,23.0,MEM,NBA,PF,19.0,0.0,5.1,0.8,1.3,0.625,0.0,0.0,,0.8,1.3,0.625,0.625,0.2,0.4,0.5710000000000001,0.4,0.8,1.3,0.2,0.2,0.0,0.2,0.5,1.8,2.4,1.0,3.4
4,24.0,MEM,NBA,PF,49.0,0.0,13.1,2.5,5.0,0.49200000000000005,0.5,1.0,0.469,2.0,4.0,0.49700000000000005,0.539,0.8,1.0,0.787,0.8,2.5,3.2,0.4,0.4,0.3,0.6,1.3,6.2,7.200000000000001,3.1999999999999997,10.4
5,25.0,MEM,NBA,PF,63.0,6.0,13.1,1.9,4.3,0.44299999999999995,0.1,0.5,0.24100000000000002,1.8,3.9,0.467,0.456,0.6,0.9,0.627,0.8,2.5,3.3,0.7,0.3,0.1,0.6,1.4,4.5,6.1000000000000005,2.9,9.0
6,26.0,PHO,NBA,PF,67.0,27.0,18.7,3.3,7.0,0.48100000000000004,0.6,1.6,0.382,2.7,5.3,0.511,0.526,1.1,1.5,0.762,1.1,4.4,5.6,1.1,0.6,0.4,1.1,1.9,8.5,10.700000000000001,5.4,16.1
7,27.0,DET,NBA,PF,75.0,34.0,25.9,4.1,8.6,0.48,0.7,2.2,0.293,3.5,6.4,0.545,0.518,1.3,1.5,0.867,1.4,4.0,5.4,1.5,0.4,0.3,0.9,1.9,10.2,13.7,4.7,18.4
8,,,NBA,,328.0,79.0,16.5,2.7,5.7,0.479,0.4,1.1,0.33799999999999997,2.4,4.6,0.514,0.512,0.8,1.1,0.765,1.0,3.0,4.0,0.9,0.4,0.3,0.7,1.5,6.7,8.8,3.6999999999999997,12.5
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,MEM,NBA,,131.0,6.0,11.9,2.0,4.1,0.473,0.2,0.6,0.385,1.7,3.5,0.488,0.501,0.6,0.9,0.69,0.7,2.2,3.0,0.5,0.3,0.2,0.5,1.2,4.7,5.9,2.7,8.600000000000001
11,,DET,NBA,,75.0,34.0,25.9,4.1,8.6,0.48,0.7,2.2,0.293,3.5,6.4,0.545,0.518,1.3,1.5,0.867,1.4,4.0,5.4,1.5,0.4,0.3,0.9,1.9,10.2,13.7,4.7,18.4
12,,PHO,NBA,,67.0,27.0,18.7,3.3,7.0,0.48100000000000004,0.6,1.6,0.382,2.7,5.3,0.511,0.526,1.1,1.5,0.762,1.1,4.4,5.6,1.1,0.6,0.4,1.1,1.9,8.5,10.700000000000001,5.4,16.1
13,,MIL,NBA,,46.0,12.0,12.1,2.1,4.2,0.508,0.1,0.2,0.33299999999999996,2.0,4.0,0.516,0.516,0.5,0.6,0.75,1.0,1.6,2.6,0.5,0.3,0.4,0.4,1.5,4.7,6.3,2.3000000000000003,8.6
14,,CLE,NBA,,9.0,0.0,10.1,1.1,3.1,0.35700000000000004,0.0,0.3,0.0,1.1,2.8,0.4,0.35700000000000004,0.2,0.7,0.33299999999999996,0.6,0.9,1.4,0.6,0.2,0.0,0.6,1.2,2.4,3.599999999999999,1.1,4.699999999999999
