,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,22.0,LAC,NBA,SF,43.0,0.0,9.2,1.0,2.8,0.355,0.5,1.7,0.301,0.5,1.1,0.43799999999999994,0.446,0.2,0.2,0.778,0.3,1.0,1.3,0.3,0.2,0.0,0.3,0.6,2.7,3.3000000000000003,1.2,4.5
1,23.0,TOT,NBA,SF,36.0,2.0,9.4,0.7,1.9,0.34299999999999997,0.4,1.3,0.326,0.3,0.7,0.375,0.45,0.2,0.3,0.667,0.0,1.4,1.4,0.2,0.3,0.1,0.2,0.5,1.9,2.0999999999999996,1.8,3.8999999999999995
2,23.0,LAC,NBA,SF,25.0,2.0,10.5,0.9,2.2,0.426,0.6,1.6,0.385,0.3,0.6,0.5329999999999999,0.565,0.2,0.2,0.8,0.0,1.6,1.6,0.2,0.4,0.1,0.2,0.7,2.6,2.8,2.1,4.9
3,23.0,PHO,NBA,SF,11.0,0.0,6.8,0.1,1.5,0.063,0.0,0.6,0.0,0.1,0.8,0.111,0.063,0.2,0.4,0.5,0.1,0.8,0.9,0.2,0.1,0.2,0.2,0.2,0.4,0.7,1.1,1.8
4,24.0,DET,NBA,SF,37.0,0.0,11.6,1.2,2.6,0.439,0.6,1.4,0.415,0.6,1.2,0.467,0.551,0.4,0.4,0.9329999999999999,0.4,1.5,1.8,0.7,0.3,0.1,0.2,0.8,3.3,4.8999999999999995,1.9000000000000001,6.8
5,25.0,DET,NBA,SF,31.0,5.0,15.1,1.7,4.1,0.42200000000000004,0.9,2.4,0.384,0.8,1.8,0.473,0.531,0.2,0.2,0.7140000000000001,0.4,1.6,2.1,0.9,0.6,0.1,0.3,0.7,4.5,6.4,2.3000000000000003,8.700000000000001
6,,,NBA,,147.0,7.0,11.1,1.1,2.8,0.39299999999999996,0.6,1.7,0.355,0.5,1.2,0.44799999999999995,0.498,0.2,0.3,0.8,0.3,1.3,1.6,0.5,0.3,0.1,0.3,0.7,3.0,4.0,1.7000000000000002,5.7
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,DET,NBA,,68.0,5.0,13.2,1.4,3.3,0.429,0.7,1.9,0.397,0.7,1.5,0.47,0.54,0.3,0.3,0.8640000000000001,0.4,1.5,1.9,0.8,0.4,0.1,0.3,0.8,3.9,5.6000000000000005,2.0,7.6000000000000005
9,,LAC,NBA,,68.0,2.0,9.7,1.0,2.6,0.377,0.5,1.6,0.33,0.4,0.9,0.46,0.483,0.2,0.2,0.7859999999999999,0.2,1.2,1.4,0.3,0.3,0.0,0.3,0.6,2.6,3.1000000000000005,1.5,4.6000000000000005
10,,PHO,NBA,,11.0,0.0,6.8,0.1,1.5,0.063,0.0,0.6,0.0,0.1,0.8,0.111,0.063,0.2,0.4,0.5,0.1,0.8,0.9,0.2,0.1,0.2,0.2,0.2,0.4,0.7,1.1,1.8
