,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,20.0,BOS,NBA,PF,71.0,1.0,14.8,2.7,5.2,0.528,0.0,0.0,0.0,2.7,5.2,0.5329999999999999,0.528,1.2,1.9,0.63,1.7,2.7,4.4,0.3,0.3,0.8,0.9,2.7,6.7,8.1,3.8,11.899999999999999
1,21.0,BOS,NBA,PF,59.0,7.0,18.0,3.2,6.4,0.499,0.0,0.1,0.0,3.2,6.4,0.504,0.499,1.5,2.3,0.642,1.6,3.4,5.1,0.5,0.5,0.8,1.1,2.8,7.9,9.4,4.7,14.100000000000001
2,22.0,BOS,NBA,C,69.0,60.0,33.6,6.6,12.8,0.514,0.0,0.0,0.0,6.6,12.8,0.514,0.514,2.9,4.3,0.6809999999999999,3.4,7.5,11.0,1.3,0.7,1.5,2.0,3.4,16.0,20.0,9.7,29.7
3,23.0,MIN,NBA,C,82.0,82.0,35.6,8.8,17.6,0.5,0.0,0.1,0.0,8.8,17.5,0.502,0.5,3.5,4.8,0.721,3.8,7.4,11.1,1.4,0.9,1.5,2.0,2.7,21.0,25.6,9.8,35.400000000000006
4,24.0,MIN,NBA,C,50.0,50.0,36.7,9.7,19.5,0.49700000000000005,0.0,0.1,0.0,9.7,19.4,0.499,0.49700000000000005,3.7,5.0,0.738,3.4,7.5,11.0,1.6,0.8,1.7,1.8,2.8,23.1,27.900000000000002,10.0,37.900000000000006
5,25.0,MIN,NBA,C,76.0,76.0,32.4,7.4,14.8,0.498,0.0,0.1,0.0,7.4,14.8,0.5,0.498,2.4,3.5,0.68,2.4,6.9,9.3,1.8,0.8,1.3,1.8,2.7,17.1,21.3,9.0,30.3
6,26.0,UTA,NBA,C,82.0,82.0,35.9,8.0,16.1,0.496,0.0,0.0,,8.0,16.1,0.496,0.496,2.7,3.5,0.7609999999999999,2.9,6.8,9.7,1.8,0.6,1.9,1.3,2.9,18.6,23.8,9.299999999999999,33.1
7,27.0,UTA,NBA,C,61.0,61.0,34.0,8.5,17.2,0.49200000000000005,0.0,0.1,0.25,8.4,17.1,0.493,0.493,2.2,2.9,0.774,2.2,7.4,9.6,2.2,0.8,1.7,1.0,2.5,19.2,24.8,9.9,34.7
8,28.0,UTA,NBA,C,78.0,78.0,33.1,7.8,15.8,0.494,0.0,0.2,0.11800000000000001,7.8,15.6,0.5,0.495,2.1,2.8,0.77,2.0,7.2,9.2,2.1,1.0,1.1,1.3,2.2,17.8,22.7,9.299999999999999,32.0
9,29.0,CHA,NBA,C,73.0,73.0,35.0,9.6,18.8,0.509,0.0,0.2,0.2,9.5,18.6,0.512,0.51,2.6,3.8,0.69,2.1,8.7,10.8,2.1,0.9,1.1,1.7,2.4,21.8,26.400000000000002,10.7,37.1
10,30.0,CHO,NBA,C,65.0,61.0,30.6,7.5,15.5,0.48100000000000004,0.0,0.1,0.4,7.4,15.5,0.48200000000000004,0.48200000000000004,1.7,2.5,0.655,1.5,6.9,8.4,1.7,0.7,1.3,1.0,2.1,16.6,20.5,8.9,29.4
11,31.0,CHO,NBA,C,47.0,18.0,23.3,5.2,10.7,0.485,0.0,0.0,,5.2,10.7,0.485,0.485,1.5,2.4,0.649,1.2,5.2,6.4,1.5,0.6,0.9,0.7,2.5,12.0,15.5,6.7,22.2
12,32.0,IND,NBA,C,66.0,1.0,14.1,3.6,7.1,0.499,0.0,0.0,0.0,3.6,7.1,0.5,0.499,1.0,1.3,0.765,1.1,3.1,4.2,0.9,0.3,0.2,0.5,1.9,8.1,10.5,3.6,14.1
13,,,NBA,,879.0,650.0,29.4,6.9,13.8,0.499,0.0,0.1,0.127,6.9,13.7,0.5,0.499,2.3,3.2,0.7090000000000001,2.3,6.3,8.6,1.5,0.7,1.2,1.4,2.6,16.0,19.900000000000002,8.2,28.1
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,UTA,NBA,,221.0,221.0,34.4,8.1,16.3,0.494,0.0,0.1,0.14300000000000002,8.0,16.2,0.496,0.495,2.4,3.1,0.767,2.4,7.1,9.5,2.0,0.8,1.6,1.2,2.5,18.5,23.7,9.5,33.2
16,,MIN,NBA,,208.0,208.0,34.7,8.5,17.0,0.499,0.0,0.1,0.0,8.5,17.0,0.501,0.499,3.1,4.4,0.7140000000000001,3.2,7.2,10.4,1.6,0.8,1.4,1.9,2.7,20.1,24.6,9.4,34.0
17,,BOS,NBA,,199.0,68.0,22.3,4.2,8.2,0.513,0.0,0.0,0.0,4.2,8.2,0.516,0.513,1.9,2.8,0.66,2.3,4.6,6.9,0.7,0.5,1.0,1.3,3.0,10.3,12.7,6.1,18.799999999999997
18,,"CHA,CHO",NBA,,185.0,152.0,30.5,7.7,15.6,0.495,0.0,0.1,0.25,7.7,15.5,0.49700000000000005,0.496,2.0,3.0,0.6709999999999999,1.7,7.2,8.9,1.8,0.8,1.1,1.2,2.3,17.5,21.6,9.1,30.700000000000003
19,,IND,NBA,,66.0,1.0,14.1,3.6,7.1,0.499,0.0,0.0,0.0,3.6,7.1,0.5,0.499,1.0,1.3,0.765,1.1,3.1,4.2,0.9,0.3,0.2,0.5,1.9,8.1,10.5,3.6,14.1
