,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,22.0,MIL,NBA,SF,80.0,76.0,37.0,8.0,17.6,0.451,1.1,3.4,0.321,6.9,14.3,0.48200000000000004,0.48200000000000004,5.0,6.2,0.7959999999999999,2.1,4.3,6.4,2.5,1.4,0.3,3.9,2.9,21.9,25.1,5.999999999999999,31.1
1,23.0,MIL,NBA,SF,82.0,82.0,39.6,7.6,16.9,0.45399999999999996,1.1,3.2,0.342,6.5,13.6,0.48,0.486,3.9,4.7,0.812,1.7,4.5,6.1,3.6,1.2,0.5,3.4,2.9,20.2,25.700000000000003,6.2,31.900000000000002
2,24.0,MIL,NBA,SF,80.0,79.0,38.9,8.4,18.0,0.465,0.8,2.3,0.35,7.6,15.7,0.48200000000000004,0.48700000000000004,3.6,4.6,0.7909999999999999,1.6,4.7,6.3,3.1,1.3,0.9,3.4,2.8,21.1,25.500000000000004,6.9,32.400000000000006
3,25.0,MIL,NBA,SF,56.0,56.0,41.0,9.5,20.3,0.47,0.4,1.2,0.385,9.1,19.1,0.475,0.48100000000000004,3.8,4.8,0.8079999999999999,1.5,4.0,5.5,2.8,1.2,0.6,3.6,2.9,23.4,26.9,5.8,32.699999999999996
4,26.0,MIL,NBA,SF,47.0,47.0,33.6,7.4,16.1,0.45899999999999996,0.7,1.7,0.392,6.7,14.4,0.467,0.479,3.0,3.4,0.87,1.6,4.3,5.9,2.1,1.0,0.9,2.3,2.4,18.4,21.9,6.2,28.099999999999998
5,27.0,MIL,NBA,SF,81.0,81.0,35.9,8.5,18.0,0.47200000000000003,1.1,2.9,0.363,7.5,15.1,0.493,0.502,2.8,3.5,0.802,1.3,4.7,6.0,2.4,1.0,0.5,2.8,2.6,20.9,24.2,6.2,30.4
6,28.0,MIL,NBA,SF,76.0,74.0,37.0,9.0,19.2,0.46799999999999997,0.7,2.4,0.299,8.3,16.8,0.493,0.48700000000000004,3.3,4.0,0.82,1.6,5.3,6.9,3.3,1.1,0.8,2.9,2.5,22.0,27.3,7.2,34.5
7,29.0,MIL,NBA,SF,66.0,63.0,35.5,8.1,17.4,0.467,0.9,2.7,0.326,7.2,14.7,0.493,0.493,3.6,4.3,0.8370000000000001,1.1,5.1,6.2,2.5,1.5,0.6,2.6,2.6,20.7,24.199999999999996,7.199999999999999,31.399999999999995
8,30.0,ATL,NBA,SF,69.0,68.0,37.6,7.8,18.1,0.43200000000000005,1.3,3.8,0.342,6.5,14.3,0.456,0.46799999999999997,3.9,4.4,0.8759999999999999,1.2,5.4,6.6,3.0,1.3,0.4,3.6,2.7,20.8,24.4,7.1000000000000005,31.5
9,31.0,PHI,NBA,SF,42.0,42.0,31.8,6.5,14.6,0.44799999999999995,0.8,2.4,0.34,5.7,12.2,0.469,0.47600000000000003,2.7,3.3,0.8320000000000001,1.1,3.4,4.5,1.4,1.0,0.2,2.5,2.3,16.6,18.0,4.6000000000000005,22.6
10,32.0,SAS,NBA,SF,9.0,0.0,17.4,3.8,8.6,0.442,0.2,0.7,0.33299999999999996,3.6,7.9,0.451,0.455,2.2,2.6,0.87,0.4,2.2,2.7,0.9,0.4,0.3,0.8,2.1,10.0,11.399999999999999,2.9,14.299999999999999
11,,,NBA,,688.0,668.0,36.8,8.1,17.6,0.45899999999999996,0.9,2.6,0.34,7.2,15.0,0.48,0.485,3.6,4.4,0.82,1.5,4.6,6.1,2.7,1.2,0.6,3.1,2.7,20.7,24.5,6.3999999999999995,30.9
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,MIL,NBA,,568.0,558.0,37.4,8.3,17.9,0.46299999999999997,0.9,2.6,0.34,7.4,15.4,0.484,0.488,3.6,4.5,0.812,1.6,4.6,6.2,2.8,1.2,0.6,3.1,2.7,21.1,25.2,6.3999999999999995,31.599999999999998
14,,ATL,NBA,,69.0,68.0,37.6,7.8,18.1,0.43200000000000005,1.3,3.8,0.342,6.5,14.3,0.456,0.46799999999999997,3.9,4.4,0.8759999999999999,1.2,5.4,6.6,3.0,1.3,0.4,3.6,2.7,20.8,24.4,7.1000000000000005,31.5
15,,PHI,NBA,,42.0,42.0,31.8,6.5,14.6,0.44799999999999995,0.8,2.4,0.34,5.7,12.2,0.469,0.47600000000000003,2.7,3.3,0.8320000000000001,1.1,3.4,4.5,1.4,1.0,0.2,2.5,2.3,16.6,18.0,4.6000000000000005,22.6
16,,SAS,NBA,,9.0,0.0,17.4,3.8,8.6,0.442,0.2,0.7,0.33299999999999996,3.6,7.9,0.451,0.455,2.2,2.6,0.87,0.4,2.2,2.7,0.9,0.4,0.3,0.8,2.1,10.0,11.399999999999999,2.9,14.299999999999999
