,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,21.0,DET,NBA,PG,57.0,2.0,19.0,2.7,6.7,0.401,0.1,0.3,0.188,2.6,6.4,0.41,0.40399999999999997,2.2,2.7,0.8140000000000001,0.6,1.7,2.3,2.8,0.9,0.1,1.4,2.0,7.6,12.399999999999999,2.7,15.099999999999998
1,22.0,DET,NBA,PG,79.0,65.0,31.9,5.1,11.6,0.439,0.3,1.0,0.295,4.8,10.6,0.45299999999999996,0.452,2.9,3.7,0.8029999999999999,0.9,2.6,3.5,4.9,1.0,0.1,2.2,2.7,13.4,21.900000000000002,3.7,25.6
2,23.0,DET,NBA,PG,73.0,67.0,34.2,6.2,15.2,0.405,0.2,1.1,0.228,5.9,14.1,0.418,0.413,4.1,4.9,0.833,0.9,2.9,3.8,4.8,1.4,0.2,2.2,2.8,16.6,24.900000000000002,4.5,29.400000000000002
3,24.0,DET,NBA,PG,70.0,54.0,31.2,5.2,11.8,0.439,0.4,1.3,0.289,4.8,10.5,0.457,0.455,4.7,5.4,0.866,1.0,2.1,3.1,5.2,1.1,0.1,2.2,2.5,15.5,24.7,3.3000000000000003,28.0
4,25.0,DET,NBA,SG,55.0,48.0,29.9,4.7,10.9,0.429,0.6,1.9,0.317,4.1,9.0,0.452,0.456,4.9,5.8,0.8340000000000001,0.7,1.9,2.6,3.8,0.8,0.2,1.9,2.3,14.8,21.200000000000003,2.9000000000000004,24.1
5,26.0,DET,NBA,SG,76.0,24.0,28.6,4.0,9.8,0.406,0.7,2.4,0.302,3.3,7.4,0.44,0.44299999999999995,2.8,3.6,0.7829999999999999,0.6,2.2,2.8,3.6,0.7,0.2,1.8,1.7,11.5,17.5,3.1000000000000005,20.6
6,27.0,DET,NBA,SG,73.0,5.0,26.7,5.1,11.7,0.436,0.3,1.2,0.273,4.8,10.5,0.455,0.45,3.3,4.0,0.836,0.5,1.8,2.3,2.1,0.7,0.1,1.7,1.8,13.9,16.900000000000002,2.6,19.500000000000004
7,28.0,IND,NBA,PG,71.0,36.0,26.4,4.7,10.6,0.44,0.8,2.0,0.39,3.9,8.6,0.452,0.47700000000000004,2.5,3.0,0.8190000000000001,0.5,3.0,3.5,3.1,0.8,0.1,1.7,1.8,12.6,17.6,3.9,21.5
8,29.0,IND,NBA,PG,58.0,1.0,22.0,3.2,7.6,0.413,0.3,1.4,0.24100000000000002,2.8,6.2,0.45299999999999996,0.436,2.3,2.7,0.8290000000000001,0.3,2.4,2.7,2.4,0.7,0.1,1.3,1.3,8.9,12.7,3.1999999999999997,15.899999999999999
9,30.0,IND,NBA,PG,39.0,0.0,17.8,2.3,6.3,0.373,0.5,1.5,0.317,1.8,4.7,0.391,0.41200000000000003,2.1,2.7,0.748,0.2,2.0,2.2,2.2,0.4,0.0,1.4,1.1,7.2,10.4,2.4,12.8
10,,,NBA,,651.0,302.0,27.5,4.5,10.6,0.423,0.4,1.4,0.3,4.0,9.1,0.442,0.44299999999999995,3.2,3.9,0.8240000000000001,0.6,2.3,2.9,3.6,0.9,0.1,1.8,2.1,12.6,18.599999999999998,3.3,21.9
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,DET,NBA,,483.0,265.0,29.1,4.8,11.2,0.423,0.4,1.3,0.28600000000000003,4.4,9.9,0.442,0.44,3.5,4.3,0.828,0.7,2.2,2.9,3.9,0.9,0.2,1.9,2.3,13.4,20.0,3.3000000000000003,23.3
13,,IND,NBA,,168.0,37.0,22.9,3.6,8.6,0.42100000000000004,0.6,1.7,0.331,3.0,6.9,0.44299999999999995,0.45299999999999996,2.3,2.9,0.807,0.4,2.5,2.9,2.6,0.7,0.1,1.5,1.5,10.1,14.2,3.3000000000000003,17.5
