,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,21.0,CLE,NBA,SG,61.0,48.0,28.8,5.5,13.4,0.41200000000000003,1.0,3.3,0.31,4.5,10.0,0.446,0.451,2.6,3.5,0.746,0.4,2.1,2.4,3.0,1.0,0.3,2.0,1.9,14.7,19.1,3.4,22.5
1,22.0,CLE,NBA,SG,70.0,24.0,29.6,6.1,14.2,0.433,1.3,3.6,0.368,4.8,10.6,0.455,0.479,2.3,3.4,0.685,0.5,2.3,2.8,3.0,0.9,0.2,2.2,2.2,15.9,20.2,3.4,23.599999999999998
2,23.0,TOT,NBA,SG,80.0,23.0,27.6,4.7,11.8,0.396,0.9,3.1,0.297,3.8,8.8,0.431,0.435,1.5,2.2,0.68,0.5,1.9,2.4,2.0,1.1,0.3,1.4,1.9,11.8,14.9,3.3,18.2
3,23.0,CLE,NBA,SG,33.0,3.0,23.8,4.2,10.4,0.40399999999999997,0.7,2.6,0.256,3.5,7.8,0.45299999999999996,0.436,1.4,1.8,0.7829999999999999,0.4,1.4,1.7,2.2,1.3,0.3,1.5,1.8,10.5,13.8,3.0,16.8
4,23.0,OKC,NBA,SG,47.0,20.0,30.3,5.0,12.9,0.392,1.1,3.4,0.319,4.0,9.4,0.419,0.435,1.5,2.4,0.625,0.6,2.3,2.9,1.9,1.0,0.2,1.3,2.0,12.7,15.799999999999997,3.5,19.299999999999997
5,24.0,OKC,NBA,SG,78.0,15.0,27.6,3.6,9.1,0.39899999999999997,1.1,3.1,0.358,2.5,6.0,0.42100000000000004,0.46,1.4,2.0,0.713,0.5,2.1,2.6,2.0,1.0,0.2,1.5,1.8,9.8,12.8,3.3000000000000003,16.1
6,25.0,MIA,NBA,SG,46.0,43.0,30.1,6.1,14.4,0.424,1.8,4.7,0.395,4.3,9.7,0.43799999999999994,0.488,1.8,2.8,0.6459999999999999,0.4,2.9,3.3,4.3,0.9,0.4,2.2,2.1,15.8,22.6,4.2,26.8
7,,,NBA,,335.0,153.0,28.6,5.1,12.3,0.413,1.2,3.4,0.34600000000000003,3.9,8.9,0.44,0.462,1.9,2.7,0.698,0.4,2.2,2.7,2.7,1.0,0.3,1.8,2.0,13.2,17.2,3.5,20.7
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,CLE,NBA,,164.0,75.0,28.1,5.5,13.1,0.42,1.1,3.3,0.32799999999999996,4.4,9.8,0.451,0.462,2.2,3.1,0.722,0.4,2.0,2.4,2.8,1.0,0.3,2.0,2.0,14.3,18.3,3.3,21.6
10,,OKC,NBA,,125.0,35.0,28.6,4.2,10.5,0.396,1.1,3.2,0.34299999999999997,3.1,7.3,0.42,0.44799999999999995,1.5,2.2,0.677,0.5,2.2,2.7,1.9,1.0,0.2,1.5,1.9,10.9,13.7,3.4000000000000004,17.1
11,,MIA,NBA,,46.0,43.0,30.1,6.1,14.4,0.424,1.8,4.7,0.395,4.3,9.7,0.43799999999999994,0.488,1.8,2.8,0.6459999999999999,0.4,2.9,3.3,4.3,0.9,0.4,2.2,2.1,15.8,22.6,4.2,26.8
