,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,21.0,,NBA,C,1.0,0.0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
1,22.0,,NBA,C,18.0,0.0,6.1,0.7,1.5,0.444,0.0,0.0,,0.7,1.5,0.444,0.444,0.3,0.7,0.41700000000000004,0.9,1.3,2.2,0.0,0.2,0.8,0.3,0.7,1.6,2.2,2.3,4.5
2,,23.0,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,24.0,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,25.0,,NBA,C,48.0,32.0,23.8,5.1,8.1,0.628,0.0,0.0,,5.1,8.1,0.628,0.628,1.6,3.3,0.5,3.0,7.0,10.0,0.1,0.6,2.6,1.2,2.7,11.8,13.8,10.2,24.0
5,26.0,,NBA,C,73.0,43.0,29.1,5.7,9.3,0.606,0.0,0.0,,5.7,9.3,0.606,0.606,2.9,4.5,0.65,3.3,8.6,11.8,0.4,0.6,3.7,1.9,2.8,14.2,16.4,12.899999999999999,29.299999999999997
6,27.0,,NBA,C,77.0,77.0,32.6,7.0,12.6,0.557,0.0,0.0,,7.0,12.6,0.557,0.557,2.9,4.6,0.628,3.8,10.3,14.1,0.7,0.7,2.1,2.0,2.9,17.0,20.2,13.1,33.3
7,,,NBA,,217.0,152.0,27.1,5.6,9.5,0.585,0.0,0.0,,5.6,9.5,0.585,0.585,2.4,3.9,0.611,3.2,8.2,11.4,0.4,0.6,2.6,1.6,2.6,13.6,16.0,11.399999999999999,27.4
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,NBA,,198.0,152.0,29.2,6.1,10.3,0.5870000000000001,0.0,0.0,,6.1,10.3,0.5870000000000001,0.5870000000000001,2.6,4.3,0.613,3.4,8.9,12.3,0.5,0.6,2.8,1.8,2.8,14.7,17.3,12.3,29.6
10,,,NBA,,19.0,0.0,5.8,0.6,1.4,0.444,0.0,0.0,,0.6,1.4,0.444,0.444,0.3,0.6,0.41700000000000004,0.8,1.2,2.1,0.0,0.2,0.8,0.3,0.7,1.5,1.9999999999999998,2.2,4.2
