,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,21.0,POR,NBA,SF,24.0,0.0,5.7,0.6,2.3,0.273,0.1,0.7,0.188,0.5,1.6,0.308,0.3,0.1,0.4,0.33299999999999996,0.3,1.0,1.3,0.3,0.1,0.1,0.3,0.6,1.5,2.1,1.2000000000000002,3.3000000000000003
1,22.0,POR,NBA,SF,40.0,4.0,13.4,1.8,4.3,0.41,1.1,2.5,0.43,0.7,1.8,0.384,0.535,0.4,0.5,0.85,0.4,2.0,2.4,0.4,0.3,0.1,0.7,1.2,5.1,5.6,2.4,8.0
2,23.0,POR,NBA,PF,62.0,0.0,11.8,1.4,3.8,0.368,1.0,2.9,0.348,0.4,0.9,0.429,0.5,0.2,0.2,0.769,0.2,2.0,2.2,0.5,0.2,0.1,0.4,1.3,3.9,4.699999999999999,2.3000000000000003,7.0
3,24.0,NOP,NBA,PF,27.0,2.0,17.5,2.2,5.7,0.39,1.3,3.5,0.379,0.9,2.2,0.40700000000000003,0.506,0.5,0.7,0.778,0.7,2.6,3.3,1.1,0.3,0.4,0.6,1.9,6.3,8.6,3.3,11.899999999999999
4,25.0,NOP,NBA,SF,63.0,19.0,13.2,1.5,3.0,0.479,0.9,1.8,0.513,0.5,1.2,0.429,0.633,0.2,0.3,0.684,0.2,1.6,1.8,0.4,0.3,0.2,0.4,1.0,4.1,4.699999999999999,2.1,6.799999999999999
5,26.0,NOP,NBA,SF,47.0,13.0,18.0,2.6,6.1,0.42200000000000004,0.9,2.3,0.40399999999999997,1.7,3.8,0.433,0.498,0.8,1.1,0.78,0.5,2.6,3.1,1.1,0.2,0.1,0.5,1.9,7.0,9.2,2.9000000000000004,12.1
6,27.0,MIA,NBA,SF,68.0,55.0,15.7,1.7,4.1,0.402,1.3,3.1,0.414,0.4,1.0,0.366,0.557,0.2,0.2,0.733,0.2,1.9,2.1,0.5,0.3,0.2,0.4,1.7,4.8,5.6,2.4,8.0
7,,,NBA,,331.0,93.0,13.9,1.7,4.2,0.406,1.0,2.5,0.406,0.7,1.7,0.405,0.527,0.3,0.4,0.743,0.3,2.0,2.3,0.6,0.2,0.2,0.4,1.4,4.7,5.8,2.4000000000000004,8.2
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,NOP,NBA,,137.0,34.0,15.7,2.0,4.6,0.431,1.0,2.3,0.436,1.0,2.3,0.42700000000000005,0.541,0.5,0.6,0.759,0.4,2.1,2.5,0.8,0.3,0.2,0.5,1.5,5.5,7.0,2.6,9.6
10,,POR,NBA,,126.0,4.0,11.1,1.4,3.7,0.37200000000000005,0.9,2.3,0.36700000000000005,0.5,1.3,0.381,0.489,0.2,0.3,0.7140000000000001,0.3,1.8,2.1,0.4,0.2,0.1,0.5,1.1,3.8,4.4,2.1,6.5
11,,MIA,NBA,,68.0,55.0,15.7,1.7,4.1,0.402,1.3,3.1,0.414,0.4,1.0,0.366,0.557,0.2,0.2,0.733,0.2,1.9,2.1,0.5,0.3,0.2,0.4,1.7,4.8,5.6,2.4,8.0
