,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,22.0,MIN,NBA,SG,76.0,1.0,18.2,2.5,5.9,0.424,0.8,2.1,0.395,1.7,3.8,0.441,0.496,0.8,0.9,0.871,0.4,1.7,2.1,1.0,0.3,0.1,1.0,0.9,6.6,8.0,2.1,10.1
1,23.0,MIN,NBA,SG,62.0,8.0,19.0,2.6,6.4,0.40299999999999997,0.8,2.0,0.397,1.8,4.5,0.406,0.46299999999999997,0.7,0.9,0.792,0.4,1.3,1.7,1.2,0.5,0.0,0.9,1.4,6.6,8.499999999999998,1.8,10.299999999999999
2,24.0,MIN,NBA,SG,51.0,4.0,19.1,2.4,5.9,0.40399999999999997,0.7,2.1,0.324,1.7,3.8,0.44799999999999995,0.462,0.6,0.8,0.8,0.3,1.7,1.9,0.6,0.5,0.2,0.5,1.1,6.1,7.1,2.4000000000000004,9.5
3,25.0,TOT,NBA,SG,78.0,21.0,21.3,2.9,6.8,0.42700000000000005,1.2,3.1,0.392,1.7,3.7,0.457,0.516,0.9,1.0,0.907,0.3,1.8,2.1,1.3,0.6,0.0,0.7,1.0,7.9,10.100000000000001,2.4,12.500000000000002
4,25.0,MEM,NBA,SG,40.0,4.0,16.9,2.0,5.0,0.40700000000000003,1.0,2.4,0.423,1.0,2.6,0.392,0.51,0.4,0.4,0.938,0.1,1.2,1.3,1.1,0.4,0.0,0.6,1.0,5.5,7.200000000000001,1.6,8.8
5,25.0,CLE,NBA,SG,38.0,17.0,25.9,3.8,8.7,0.439,1.4,3.8,0.371,2.4,4.9,0.49200000000000005,0.52,1.4,1.6,0.898,0.5,2.5,3.0,1.6,0.8,0.1,0.9,1.1,10.4,13.200000000000001,3.4,16.6
6,26.0,DAL,NBA,SG,45.0,1.0,8.7,1.2,2.8,0.43700000000000006,0.6,1.3,0.424,0.7,1.5,0.44799999999999995,0.536,0.2,0.2,0.909,0.2,0.8,1.0,0.4,0.4,0.0,0.2,0.7,3.2,4.0,1.2000000000000002,5.2
7,27.0,LAL,NBA,SG,65.0,36.0,25.8,3.9,9.5,0.41200000000000003,1.4,3.7,0.37,2.5,5.8,0.439,0.485,0.8,1.0,0.813,0.5,2.8,3.2,1.6,0.5,0.0,0.8,1.2,10.0,12.899999999999999,3.3,16.2
8,28.0,BRK,NBA,SG,76.0,41.0,21.3,2.9,7.4,0.389,1.3,3.5,0.358,1.6,3.9,0.41600000000000004,0.474,0.7,0.8,0.857,0.3,2.0,2.3,1.1,0.6,0.1,0.6,1.1,7.7,9.6,2.7,12.3
9,29.0,MIA,NBA,SG,62.0,13.0,24.2,3.7,9.0,0.41600000000000004,2.4,6.4,0.37799999999999995,1.3,2.6,0.509,0.55,0.6,0.7,0.86,0.3,1.8,2.1,1.1,0.6,0.1,0.5,1.1,10.5,12.5,2.5,15.0
10,,,NBA,,515.0,125.0,20.2,2.8,6.9,0.41200000000000003,1.2,3.1,0.377,1.7,3.8,0.441,0.49700000000000005,0.7,0.8,0.85,0.3,1.8,2.1,1.1,0.5,0.1,0.7,1.1,7.5,9.3,2.4,11.700000000000001
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,MIN,NBA,,189.0,13.0,18.7,2.5,6.1,0.41200000000000003,0.8,2.1,0.376,1.7,4.0,0.43,0.47600000000000003,0.7,0.9,0.828,0.4,1.6,1.9,0.9,0.4,0.1,0.8,1.1,6.5,7.8999999999999995,2.1,10.0
13,,BRK,NBA,,76.0,41.0,21.3,2.9,7.4,0.389,1.3,3.5,0.358,1.6,3.9,0.41600000000000004,0.474,0.7,0.8,0.857,0.3,2.0,2.3,1.1,0.6,0.1,0.6,1.1,7.7,9.6,2.7,12.3
14,,LAL,NBA,,65.0,36.0,25.8,3.9,9.5,0.41200000000000003,1.4,3.7,0.37,2.5,5.8,0.439,0.485,0.8,1.0,0.813,0.5,2.8,3.2,1.6,0.5,0.0,0.8,1.2,10.0,12.899999999999999,3.3,16.2
15,,MIA,NBA,,62.0,13.0,24.2,3.7,9.0,0.41600000000000004,2.4,6.4,0.37799999999999995,1.3,2.6,0.509,0.55,0.6,0.7,0.86,0.3,1.8,2.1,1.1,0.6,0.1,0.5,1.1,10.5,12.5,2.5,15.0
16,,DAL,NBA,,45.0,1.0,8.7,1.2,2.8,0.43700000000000006,0.6,1.3,0.424,0.7,1.5,0.44799999999999995,0.536,0.2,0.2,0.909,0.2,0.8,1.0,0.4,0.4,0.0,0.2,0.7,3.2,4.0,1.2000000000000002,5.2
17,,MEM,NBA,,40.0,4.0,16.9,2.0,5.0,0.40700000000000003,1.0,2.4,0.423,1.0,2.6,0.392,0.51,0.4,0.4,0.938,0.1,1.2,1.3,1.1,0.4,0.0,0.6,1.0,5.5,7.200000000000001,1.6,8.8
18,,CLE,NBA,,38.0,17.0,25.9,3.8,8.7,0.439,1.4,3.8,0.371,2.4,4.9,0.49200000000000005,0.52,1.4,1.6,0.898,0.5,2.5,3.0,1.6,0.8,0.1,0.9,1.1,10.4,13.200000000000001,3.4,16.6
