,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,19.0,SAC,NBA,C,71.0,8.0,13.1,2.1,4.5,0.45899999999999996,0.1,0.3,0.19,2.0,4.2,0.478,0.465,0.5,0.8,0.655,1.0,2.3,3.2,0.6,0.2,0.6,0.8,1.8,4.7,6.1000000000000005,3.1,9.200000000000001
1,20.0,SAC,NBA,C,77.0,51.0,29.3,4.8,10.4,0.466,0.5,1.5,0.348,4.3,8.9,0.486,0.491,1.2,1.8,0.662,1.9,5.2,7.1,1.9,0.6,1.2,2.1,3.2,11.4,15.000000000000002,7.0,22.0
2,21.0,SAC,NBA,C,72.0,59.0,26.4,4.3,9.3,0.46799999999999997,0.4,1.2,0.299,4.0,8.0,0.494,0.488,1.0,1.5,0.6890000000000001,2.0,4.0,6.1,2.2,0.4,1.2,1.8,2.8,10.0,14.599999999999998,5.6000000000000005,20.2
3,22.0,PHI,NBA,C,81.0,81.0,21.2,3.3,7.0,0.465,0.1,0.5,0.243,3.1,6.6,0.48,0.473,0.6,1.1,0.534,1.6,4.1,5.7,1.5,0.4,0.9,1.2,2.5,7.2,10.600000000000001,5.4,16.0
4,23.0,PHI,NBA,C,37.0,29.0,24.9,4.2,8.6,0.489,0.1,0.3,0.25,4.1,8.3,0.498,0.494,1.1,1.5,0.727,2.1,5.2,7.3,2.6,0.4,1.3,1.5,2.7,9.6,15.399999999999999,6.9,22.299999999999997
5,24.0,PHI,NBA,C,82.0,40.0,27.2,4.6,9.9,0.46399999999999997,0.4,1.1,0.35600000000000004,4.2,8.8,0.47700000000000004,0.483,1.5,1.9,0.777,2.1,5.1,7.2,2.2,0.3,1.4,1.6,2.8,11.0,15.9,6.799999999999999,22.7
6,25.0,TOT,NBA,C,80.0,78.0,30.9,5.0,11.0,0.456,1.6,3.9,0.41600000000000004,3.4,7.2,0.478,0.529,1.5,1.9,0.7829999999999999,1.6,6.6,8.3,3.0,0.6,1.2,2.2,3.0,13.2,18.599999999999998,8.399999999999999,26.999999999999996
7,25.0,PHI,NBA,C,53.0,53.0,31.4,5.0,11.1,0.451,1.5,3.8,0.39899999999999997,3.5,7.2,0.478,0.52,1.5,1.9,0.782,1.7,6.9,8.5,3.3,0.6,1.3,2.2,2.9,13.0,19.099999999999998,8.8,27.9
8,25.0,CLE,NBA,C,27.0,25.0,29.8,5.1,11.0,0.46799999999999997,1.7,3.9,0.44799999999999995,3.4,7.1,0.479,0.547,1.5,1.9,0.784,1.6,6.1,7.7,2.4,0.5,1.0,2.0,3.1,13.5,17.9,7.6,25.5
9,26.0,LAC,NBA,PF,73.0,15.0,17.5,2.2,5.7,0.39299999999999996,0.8,2.4,0.313,1.5,3.3,0.452,0.45899999999999996,0.6,0.9,0.647,0.4,3.1,3.5,1.2,0.3,0.7,0.8,2.4,5.8,7.8,4.1,11.899999999999999
10,27.0,CHO,NBA,PF,57.0,6.0,18.2,2.2,5.4,0.405,0.7,1.8,0.373,1.5,3.6,0.42200000000000004,0.467,0.9,1.1,0.831,0.9,3.4,4.3,1.9,0.4,0.5,1.0,1.9,6.0,9.7,4.3,14.0
11,28.0,TOT,NBA,PF,54.0,1.0,14.8,2.5,5.1,0.484,0.5,1.5,0.309,2.0,3.6,0.556,0.529,0.8,1.0,0.846,0.7,2.8,3.5,1.5,0.3,0.6,0.9,1.4,6.2,9.0,3.6999999999999997,12.7
12,28.0,CHO,NBA,PF,35.0,1.0,17.9,3.0,6.2,0.47700000000000004,0.5,1.6,0.29100000000000004,2.5,4.7,0.54,0.514,0.9,1.0,0.882,0.9,3.3,4.2,1.8,0.4,0.7,1.1,1.7,7.3,10.700000000000001,4.3999999999999995,15.100000000000001
13,28.0,MIL,NBA,PF,19.0,0.0,9.0,1.6,3.1,0.508,0.5,1.4,0.34600000000000003,1.1,1.7,0.636,0.585,0.7,0.9,0.778,0.3,2.1,2.4,1.0,0.1,0.2,0.5,0.8,4.4,6.2,2.4000000000000004,8.600000000000001
14,,,NBA,,684.0,368.0,22.7,3.6,7.8,0.457,0.5,1.5,0.35,3.1,6.3,0.48200000000000004,0.49,1.0,1.4,0.716,1.4,4.2,5.7,1.9,0.4,1.0,1.4,2.5,8.7,12.499999999999998,5.6000000000000005,18.099999999999998
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,PHI,NBA,,253.0,203.0,25.8,4.2,9.0,0.46399999999999997,0.5,1.3,0.366,3.7,7.7,0.48100000000000004,0.491,1.1,1.6,0.718,1.8,5.2,7.0,2.3,0.4,1.2,1.6,2.7,10.0,14.799999999999999,6.800000000000001,21.6
17,,SAC,NBA,,220.0,118.0,23.2,3.8,8.1,0.466,0.3,1.0,0.314,3.5,7.1,0.488,0.485,0.9,1.4,0.67,1.6,3.9,5.5,1.6,0.4,1.0,1.6,2.6,8.8,12.000000000000002,5.3,17.3
18,,CHO,NBA,,92.0,7.0,18.1,2.5,5.7,0.435,0.6,1.7,0.344,1.9,4.0,0.474,0.48700000000000004,0.9,1.1,0.848,0.9,3.3,4.2,1.9,0.4,0.6,1.1,1.9,6.5,10.1,4.3,14.399999999999999
19,,LAC,NBA,,73.0,15.0,17.5,2.2,5.7,0.39299999999999996,0.8,2.4,0.313,1.5,3.3,0.452,0.45899999999999996,0.6,0.9,0.647,0.4,3.1,3.5,1.2,0.3,0.7,0.8,2.4,5.8,7.8,4.1,11.899999999999999
20,,CLE,NBA,,27.0,25.0,29.8,5.1,11.0,0.46799999999999997,1.7,3.9,0.44799999999999995,3.4,7.1,0.479,0.547,1.5,1.9,0.784,1.6,6.1,7.7,2.4,0.5,1.0,2.0,3.1,13.5,17.9,7.6,25.5
21,,MIL,NBA,,19.0,0.0,9.0,1.6,3.1,0.508,0.5,1.4,0.34600000000000003,1.1,1.7,0.636,0.585,0.7,0.9,0.778,0.3,2.1,2.4,1.0,0.1,0.2,0.5,0.8,4.4,6.2,2.4000000000000004,8.600000000000001
