,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,19.0,DEN,NBA,SF,82.0,82.0,36.5,7.6,17.9,0.426,0.8,2.6,0.322,6.8,15.3,0.444,0.449,5.0,6.4,0.777,2.2,3.8,6.1,2.8,1.2,0.5,3.0,2.7,21.0,25.8,5.5,31.3
1,20.0,DEN,NBA,SF,75.0,75.0,34.8,7.1,16.4,0.431,0.6,2.1,0.266,6.5,14.3,0.455,0.44799999999999995,6.1,7.6,0.7959999999999999,1.9,3.8,5.7,2.6,0.9,0.4,3.0,3.1,20.8,24.9,5.1000000000000005,30.0
2,21.0,DEN,NBA,SF,80.0,80.0,36.8,9.5,19.7,0.48100000000000004,0.5,1.9,0.243,9.0,17.8,0.506,0.493,7.2,8.9,0.8079999999999999,1.5,3.4,4.9,2.7,1.1,0.5,2.7,2.9,26.5,30.7,5.0,35.7
3,22.0,DEN,NBA,SF,65.0,65.0,38.2,10.6,22.4,0.47600000000000003,0.6,2.3,0.268,10.0,20.1,0.499,0.489,7.1,8.7,0.8079999999999999,2.2,3.8,6.0,3.8,1.2,0.4,3.6,3.1,28.9,35.1,5.4,40.5
4,23.0,DEN,NBA,SF,77.0,77.0,36.4,9.5,19.2,0.49200000000000005,0.8,2.1,0.354,8.7,17.1,0.509,0.511,6.0,7.7,0.7859999999999999,2.3,5.1,7.4,3.4,1.3,0.5,3.3,3.3,25.7,31.499999999999996,6.8999999999999995,38.4
5,24.0,DEN,NBA,SF,66.0,66.0,34.5,8.1,18.3,0.44299999999999995,1.0,2.6,0.371,7.2,15.7,0.455,0.469,5.6,7.1,0.7929999999999999,1.6,5.2,6.8,3.4,1.1,0.4,3.0,3.0,22.8,28.200000000000003,6.700000000000001,34.900000000000006
6,25.0,DEN,NBA,SF,69.0,69.0,38.2,10.0,21.8,0.45799999999999996,0.9,2.7,0.316,9.1,19.1,0.478,0.478,7.4,8.9,0.83,2.2,4.4,6.6,3.2,1.3,0.4,3.0,3.3,28.2,33.8,6.1000000000000005,39.9
7,26.0,TOT,NBA,SF,77.0,77.0,35.7,8.9,19.5,0.455,1.2,3.3,0.37799999999999995,7.6,16.3,0.47,0.48700000000000004,6.6,7.9,0.838,1.5,5.8,7.3,2.9,0.9,0.6,2.7,2.9,25.6,30.2,7.3,37.5
8,26.0,DEN,NBA,SF,50.0,50.0,35.5,8.7,19.3,0.452,0.8,2.5,0.33299999999999996,7.9,16.8,0.47,0.474,6.9,8.3,0.823,1.5,6.1,7.6,2.8,0.9,0.6,2.8,2.7,25.2,29.499999999999996,7.6,37.099999999999994
9,26.0,NYK,NBA,SF,27.0,27.0,36.2,9.1,19.9,0.461,2.0,4.6,0.424,7.2,15.2,0.47200000000000003,0.51,6.1,7.0,0.872,1.5,5.2,6.7,3.0,0.9,0.6,2.4,3.3,26.3,31.4,6.7,38.1
10,27.0,NYK,NBA,SF,55.0,55.0,34.1,8.0,18.6,0.43,1.2,3.7,0.335,6.8,14.9,0.45399999999999996,0.46299999999999997,5.4,6.7,0.804,1.6,4.7,6.3,3.6,1.1,0.4,2.6,2.8,22.6,28.8,6.200000000000001,35.0
11,28.0,NYK,NBA,PF,67.0,67.0,37.0,10.0,22.2,0.449,2.3,6.2,0.379,7.6,16.0,0.47600000000000003,0.502,6.3,7.6,0.83,2.0,4.9,6.9,2.6,0.8,0.5,2.6,3.1,28.7,33.3,6.2,39.5
12,29.0,NYK,NBA,PF,77.0,77.0,38.7,9.6,21.3,0.452,2.2,5.4,0.402,7.5,15.9,0.469,0.503,6.0,7.0,0.848,1.9,6.2,8.1,3.1,1.2,0.7,2.6,2.9,27.4,32.9,8.1,41.0
13,30.0,NYK,NBA,SF,40.0,40.0,35.7,9.0,20.2,0.444,1.5,4.5,0.341,7.4,15.7,0.474,0.48200000000000004,4.7,5.9,0.797,1.8,4.8,6.6,3.1,1.0,0.4,2.2,2.2,24.2,30.000000000000004,6.2,36.2
14,31.0,NYK,NBA,SF,72.0,72.0,35.1,7.9,18.2,0.434,1.5,4.3,0.33899999999999997,6.4,13.8,0.46299999999999997,0.474,4.6,5.6,0.8290000000000001,1.4,6.4,7.7,4.2,0.9,0.5,2.4,2.5,21.8,29.200000000000003,7.800000000000001,37.0
15,32.0,NYK,NBA,SF,74.0,74.0,34.3,8.1,18.8,0.433,2.0,5.7,0.359,6.1,13.1,0.466,0.488,4.1,4.9,0.833,0.8,5.1,5.9,2.9,0.8,0.5,2.1,2.7,22.4,26.9,6.3999999999999995,33.3
16,,,NBA,,976.0,976.0,36.2,8.8,19.5,0.452,1.2,3.5,0.34600000000000003,7.6,16.1,0.475,0.48200000000000004,5.9,7.2,0.813,1.8,4.8,6.6,3.1,1.1,0.5,2.8,2.9,24.8,29.999999999999996,6.4,36.4
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,DEN,NBA,,564.0,564.0,36.4,8.8,19.3,0.45899999999999996,0.7,2.3,0.311,8.1,16.9,0.479,0.478,6.4,7.9,0.8029999999999999,2.0,4.4,6.3,3.1,1.1,0.5,3.1,3.0,24.8,29.9,6.0,35.9
19,,NYK,NBA,,412.0,412.0,36.0,8.8,19.9,0.44299999999999995,1.8,5.0,0.369,7.0,14.9,0.46799999999999997,0.489,5.3,6.3,0.83,1.6,5.4,7.0,3.2,1.0,0.5,2.4,2.8,24.7,30.300000000000004,6.9,37.2
