,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,20.0,,NBA,SG,35.0,3.0,11.5,0.9,3.3,0.282,0.5,1.8,0.27,0.5,1.5,0.29600000000000004,0.355,0.5,0.5,0.9470000000000001,0.4,1.4,1.8,1.5,0.3,0.1,0.4,1.2,2.9,5.8999999999999995,1.8,7.699999999999999
1,21.0,,NBA,PG,82.0,4.0,17.7,1.3,3.8,0.34600000000000003,0.7,2.1,0.34299999999999997,0.6,1.7,0.35,0.441,0.6,0.6,0.885,0.4,1.5,1.9,1.7,0.6,0.0,0.6,1.8,3.9,7.1,2.1,9.2
2,22.0,,NBA,SG,73.0,4.0,12.8,1.4,3.7,0.392,0.8,2.2,0.373,0.6,1.5,0.42100000000000004,0.504,0.6,0.7,0.878,0.4,1.1,1.5,0.9,0.6,0.0,0.4,1.4,4.3,6.1,1.7000000000000002,7.8
3,23.0,,NBA,SG,72.0,0.0,17.8,3.0,6.7,0.45399999999999996,1.6,3.8,0.43700000000000006,1.4,2.9,0.47600000000000003,0.5770000000000001,1.1,1.3,0.835,0.3,1.9,2.1,1.0,0.5,0.1,0.7,1.5,8.8,10.400000000000002,2.5,12.900000000000002
4,24.0,,NBA,SG,80.0,0.0,16.2,1.9,5.0,0.387,1.0,2.8,0.363,0.9,2.2,0.41600000000000004,0.488,0.9,1.0,0.9209999999999999,0.2,1.5,1.7,1.4,1.0,0.1,0.4,1.9,5.8,8.4,2.6,11.0
5,25.0,,NBA,SG,67.0,1.0,8.6,1.0,2.4,0.402,0.4,1.2,0.309,0.6,1.2,0.494,0.479,0.4,0.5,0.848,0.4,0.8,1.2,0.6,0.3,0.1,0.3,1.0,2.8,4.1000000000000005,1.2000000000000002,5.300000000000001
6,26.0,,NBA,SG,67.0,17.0,24.6,3.6,8.9,0.402,1.4,3.9,0.37,2.1,5.0,0.426,0.483,1.2,1.4,0.8440000000000001,0.4,2.3,2.8,2.0,0.8,0.1,1.0,2.0,9.8,13.200000000000001,3.1999999999999997,16.400000000000002
7,26.0,,NBA,SG,11.0,0.0,4.9,0.7,2.1,0.348,0.3,0.6,0.429,0.5,1.5,0.313,0.413,0.1,0.2,0.5,0.1,0.3,0.4,0.5,0.1,0.0,0.5,0.6,1.8,2.4000000000000004,0.4,2.8000000000000003
8,26.0,,NBA,SG,56.0,17.0,28.5,4.1,10.2,0.40399999999999997,1.7,4.6,0.369,2.4,5.7,0.43200000000000005,0.486,1.4,1.7,0.851,0.5,2.7,3.3,2.3,0.9,0.1,1.1,2.3,11.4,15.4,3.7,19.1
9,,27.0,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,28.0,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,29.0,,NBA,SG,2.0,0.0,5.0,1.0,2.5,0.4,0.5,1.0,0.5,0.5,1.5,0.33299999999999996,0.5,0.0,0.0,,0.0,1.5,1.5,0.0,0.5,0.0,1.5,0.5,2.5,1.0,2.0,3.0
12,,30.0,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,31.0,,NBA,SG,61.0,25.0,14.9,1.7,4.5,0.38299999999999995,0.9,2.3,0.364,0.9,2.2,0.40299999999999997,0.47700000000000004,0.5,0.6,0.821,0.4,2.0,2.4,1.4,0.6,0.1,0.7,1.4,4.9,7.3999999999999995,2.7,10.1
14,32.0,,NBA,SG,42.0,4.0,9.7,1.0,3.2,0.309,0.5,1.8,0.311,0.5,1.5,0.306,0.39299999999999996,0.4,0.6,0.708,0.3,1.1,1.4,1.2,0.3,0.0,0.4,0.9,3.0,5.299999999999999,1.4000000000000001,6.699999999999999
15,,,NBA,,581.0,58.0,15.3,1.9,4.7,0.39,0.9,2.5,0.36700000000000005,0.9,2.2,0.415,0.48700000000000004,0.7,0.8,0.858,0.4,1.5,1.9,1.3,0.6,0.1,0.6,1.5,5.3,7.700000000000001,2.2,9.900000000000002
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,NBA,,420.0,12.0,14.3,1.7,4.2,0.39299999999999996,0.9,2.3,0.37200000000000005,0.8,1.9,0.419,0.495,0.7,0.8,0.8759999999999999,0.3,1.3,1.7,1.2,0.6,0.1,0.5,1.5,4.8,7.0,2.0,9.0
18,,,NBA,,103.0,29.0,12.8,1.4,4.0,0.358,0.7,2.1,0.34600000000000003,0.7,1.9,0.37200000000000005,0.449,0.5,0.6,0.778,0.4,1.7,2.0,1.3,0.5,0.1,0.6,1.2,4.1,6.5,2.3000000000000003,8.8
19,,,NBA,,56.0,17.0,28.5,4.1,10.2,0.40399999999999997,1.7,4.6,0.369,2.4,5.7,0.43200000000000005,0.486,1.4,1.7,0.851,0.5,2.7,3.3,2.3,0.9,0.1,1.1,2.3,11.4,15.4,3.7,19.1
20,,,NBA,,2.0,0.0,5.0,1.0,2.5,0.4,0.5,1.0,0.5,0.5,1.5,0.33299999999999996,0.5,0.0,0.0,,0.0,1.5,1.5,0.0,0.5,0.0,1.5,0.5,2.5,1.0,2.0,3.0
