,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,19.0,,NBA,PF,66.0,14.0,14.7,2.1,5.5,0.38299999999999995,0.8,2.2,0.365,1.3,3.3,0.395,0.457,1.1,1.3,0.787,0.9,2.0,2.9,0.7,0.4,0.3,0.8,2.2,6.1,7.599999999999999,2.6999999999999997,10.299999999999999
1,,20.0,Did Not Play (other pro league—Spain),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,21.0,Did Not Play (other pro league—Spain),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,22.0,,NBA,PF,81.0,31.0,23.4,4.0,9.0,0.44299999999999995,1.0,3.0,0.336,3.0,6.0,0.496,0.499,1.4,2.0,0.715,1.9,4.4,6.4,1.0,0.7,0.3,0.9,3.1,10.4,13.4,5.4,18.8
4,23.0,,NBA,PF,60.0,34.0,25.1,3.7,8.5,0.436,0.6,2.0,0.298,3.1,6.4,0.479,0.47100000000000003,1.6,1.7,0.894,1.8,4.3,6.1,0.9,0.9,0.4,1.1,2.7,9.5,12.0,5.6000000000000005,17.6
5,24.0,,NBA,PF,60.0,41.0,27.6,4.9,10.0,0.49200000000000005,0.9,1.9,0.455,4.1,8.1,0.501,0.535,2.4,3.1,0.7809999999999999,3.3,5.6,8.8,1.2,0.7,0.7,1.3,2.2,13.0,17.4,7.0,24.4
6,25.0,,NBA,PF,73.0,54.0,27.6,5.1,11.0,0.462,1.3,2.9,0.444,3.8,8.1,0.469,0.521,1.7,2.2,0.7959999999999999,2.1,5.0,7.1,1.6,0.9,0.5,1.0,2.5,13.2,17.5,6.4,23.9
7,26.0,,NBA,PF,55.0,47.0,26.9,4.3,10.5,0.409,0.7,2.4,0.282,3.6,8.1,0.446,0.441,1.9,2.4,0.823,1.9,4.3,6.2,1.3,0.8,0.1,1.1,2.5,11.2,14.6,5.199999999999999,19.799999999999997
8,27.0,,NBA,PF,58.0,36.0,22.7,4.5,9.6,0.47200000000000003,1.3,3.3,0.389,3.3,6.3,0.515,0.539,1.2,1.8,0.645,1.4,3.4,4.8,1.0,0.6,0.3,0.8,2.6,11.5,14.1,4.3,18.4
9,28.0,,NBA,PF,74.0,56.0,25.4,3.8,8.9,0.424,1.3,3.5,0.371,2.5,5.4,0.45799999999999996,0.496,1.5,2.1,0.721,1.9,3.5,5.4,0.9,0.7,0.4,1.0,2.3,10.4,13.100000000000001,4.6000000000000005,17.700000000000003
10,28.0,,NBA,PF,52.0,52.0,27.6,4.2,9.8,0.425,1.5,4.1,0.363,2.7,5.6,0.47100000000000003,0.502,1.5,2.1,0.725,1.9,3.5,5.4,1.1,0.7,0.5,1.1,2.3,11.3,14.3,4.7,19.0
11,28.0,,NBA,PF,22.0,4.0,20.3,2.9,7.0,0.418,0.8,2.0,0.409,2.1,5.0,0.42200000000000004,0.47700000000000004,1.5,2.0,0.711,2.0,3.5,5.5,0.5,0.6,0.3,0.5,2.3,8.1,10.6,4.3999999999999995,15.0
