,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,22.0,,NBA,PF,14.0,0.0,6.0,0.6,2.2,0.29,0.1,0.9,0.154,0.5,1.3,0.389,0.32299999999999995,0.0,0.1,0.0,0.2,0.6,0.9,0.1,0.1,0.2,0.4,0.4,1.4,1.4,0.8999999999999999,2.3
1,,23.0,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,24.0,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,25.0,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,26.0,,NBA,PF,5.0,0.0,7.0,0.8,2.0,0.4,0.8,1.8,0.444,0.0,0.2,0.0,0.6,0.2,0.4,0.5,0.0,0.2,0.2,0.0,0.2,0.0,0.4,0.6,2.6,2.2,0.4,2.6
5,27.0,,NBA,PF,3.0,0.0,10.3,1.7,4.0,0.41700000000000004,0.7,2.3,0.28600000000000003,1.0,1.7,0.6,0.5,0.0,0.0,,0.7,1.0,1.7,0.7,0.0,0.0,1.3,0.7,4.0,4.8,1.0,5.8
6,,,NBA,,22.0,0.0,6.8,0.8,2.4,0.34,0.4,1.3,0.276,0.5,1.1,0.41700000000000004,0.415,0.0,0.1,0.33299999999999996,0.2,0.6,0.8,0.2,0.1,0.1,0.5,0.5,2.0,2.1,0.7999999999999999,2.9
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,NBA,,14.0,0.0,6.0,0.6,2.2,0.29,0.1,0.9,0.154,0.5,1.3,0.389,0.32299999999999995,0.0,0.1,0.0,0.2,0.6,0.9,0.1,0.1,0.2,0.4,0.4,1.4,1.4,0.8999999999999999,2.3
9,,,NBA,,5.0,0.0,7.0,0.8,2.0,0.4,0.8,1.8,0.444,0.0,0.2,0.0,0.6,0.2,0.4,0.5,0.0,0.2,0.2,0.0,0.2,0.0,0.4,0.6,2.6,2.2,0.4,2.6
10,,,NBA,,3.0,0.0,10.3,1.7,4.0,0.41700000000000004,0.7,2.3,0.28600000000000003,1.0,1.7,0.6,0.5,0.0,0.0,,0.7,1.0,1.7,0.7,0.0,0.0,1.3,0.7,4.0,4.8,1.0,5.8
