,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,20.0,SAS,NBA,PG,29.0,1.0,9.2,0.8,2.4,0.314,0.1,0.5,0.2,0.7,1.9,0.345,0.336,0.4,0.6,0.647,0.2,0.7,0.9,1.2,0.2,0.1,0.4,0.6,2.0,4.199999999999999,0.9999999999999999,5.199999999999999
1,21.0,SAS,NBA,PG,28.0,9.0,13.9,1.8,3.9,0.46399999999999997,0.2,0.8,0.28600000000000003,1.6,3.2,0.506,0.491,0.6,0.8,0.857,0.4,1.4,1.9,1.9,0.5,0.1,0.8,0.9,4.5,7.8999999999999995,2.0,9.899999999999999
2,22.0,SAS,NBA,SG,68.0,19.0,13.8,1.9,3.9,0.475,0.2,0.6,0.316,1.7,3.3,0.502,0.498,1.2,1.4,0.823,0.5,1.1,1.6,1.7,0.5,0.2,0.6,1.2,5.0,8.3,1.8,10.100000000000001
3,23.0,SAS,NBA,PG,79.0,14.0,18.3,2.6,5.2,0.504,0.2,0.6,0.364,2.4,4.6,0.52,0.523,1.3,1.8,0.7340000000000001,0.6,1.9,2.4,2.4,0.6,0.2,0.8,1.3,6.8,11.399999999999999,2.7,14.099999999999998
4,24.0,TOR,NBA,SG,80.0,4.0,25.6,3.2,7.3,0.439,0.4,1.4,0.273,2.8,5.9,0.478,0.465,1.7,2.2,0.764,0.5,2.1,2.6,3.1,0.8,0.3,1.3,1.6,8.5,13.899999999999999,3.2,17.099999999999998
5,25.0,TOR,NBA,PG,80.0,22.0,25.0,3.7,8.3,0.452,0.6,1.7,0.35600000000000004,3.1,6.6,0.47700000000000004,0.489,1.2,1.5,0.77,0.6,2.3,2.9,3.3,0.8,0.2,1.4,1.8,9.3,15.1,3.3,18.4
6,,,NBA,,364.0,69.0,19.5,2.6,5.8,0.45799999999999996,0.3,1.0,0.317,2.3,4.8,0.48700000000000004,0.485,1.2,1.6,0.768,0.5,1.8,2.3,2.5,0.6,0.2,1.0,1.4,6.8,11.3,2.6,13.9
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,SAS,NBA,,204.0,43.0,14.9,2.0,4.2,0.474,0.2,0.6,0.314,1.8,3.6,0.5,0.496,1.0,1.4,0.769,0.5,1.4,1.8,1.9,0.5,0.2,0.7,1.1,5.2,8.8,2.1,10.9
9,,TOR,NBA,,160.0,26.0,25.3,3.5,7.8,0.446,0.5,1.5,0.318,3.0,6.3,0.478,0.478,1.4,1.9,0.767,0.6,2.2,2.8,3.2,0.8,0.2,1.3,1.7,8.9,14.6,3.2,17.8
