,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,23.0,MEM,NBA,SF,71.0,1.0,11.2,1.2,3.1,0.396,0.0,0.1,0.0,1.2,3.0,0.40700000000000003,0.396,0.5,0.7,0.623,0.7,1.4,2.1,0.5,0.4,0.1,0.3,1.5,2.9,4.3,1.9,6.199999999999999
1,24.0,TOT,NBA,PF,12.0,0.0,4.2,0.3,1.0,0.33299999999999996,0.0,0.0,,0.3,1.0,0.33299999999999996,0.33299999999999996,0.2,0.2,1.0,0.2,0.5,0.7,0.3,0.1,0.1,0.0,0.4,0.8,1.6,0.7,2.3
2,24.0,MEM,NBA,PF,7.0,0.0,5.6,0.6,1.3,0.444,0.0,0.0,,0.6,1.3,0.444,0.444,0.3,0.3,1.0,0.3,0.9,1.1,0.3,0.1,0.1,0.0,0.7,1.4,2.3,1.1,3.4
3,24.0,HOU,NBA,PF,5.0,0.0,2.2,0.0,0.6,0.0,0.0,0.0,,0.0,0.6,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.8
4,25.0,TOT,NBA,SF-PF,24.0,9.0,14.5,1.8,4.4,0.41,0.3,0.8,0.368,1.5,3.6,0.419,0.44299999999999995,0.6,0.7,0.875,1.2,1.0,2.2,0.8,0.5,0.0,0.5,1.5,4.5,6.8,1.5,8.3
5,25.0,DEN,NBA,PF,4.0,0.0,5.3,1.5,1.5,1.0,0.0,0.0,,1.5,1.5,1.0,1.0,0.0,0.0,,0.0,0.8,0.8,0.8,0.0,0.0,0.5,0.3,3.0,4.1,0.8,4.8999999999999995
6,25.0,UTA,NBA,SF,20.0,9.0,16.4,1.9,5.0,0.374,0.4,1.0,0.368,1.5,4.0,0.375,0.409,0.7,0.8,0.875,1.4,1.1,2.5,0.8,0.6,0.1,0.5,1.8,4.8,7.3,1.8000000000000003,9.1
7,26.0,UTA,NBA,SF,66.0,12.0,16.8,2.3,4.9,0.46,0.3,1.1,0.28600000000000003,2.0,3.8,0.508,0.491,1.1,1.5,0.765,1.3,1.5,2.8,0.9,0.9,0.4,0.5,1.8,6.0,8.6,2.8,11.399999999999999
8,27.0,ATL,NBA,SF,73.0,73.0,32.1,4.1,8.8,0.47,1.3,3.7,0.36200000000000004,2.8,5.1,0.5479999999999999,0.546,1.5,1.9,0.773,1.5,4.1,5.5,1.8,1.5,0.3,1.1,2.6,11.1,15.1,5.8999999999999995,21.0
9,28.0,ATL,NBA,SF,70.0,69.0,31.3,4.5,9.3,0.48700000000000004,1.7,4.3,0.395,2.8,5.0,0.5670000000000001,0.579,1.8,2.6,0.7020000000000001,1.4,3.9,5.3,1.7,1.3,0.2,1.1,2.2,12.6,16.299999999999997,5.4,21.699999999999996
10,29.0,TOR,NBA,SF,26.0,22.0,30.2,4.0,10.4,0.389,1.8,4.5,0.39,2.3,5.8,0.38799999999999996,0.474,1.2,1.9,0.6,1.2,3.5,4.7,1.0,1.7,0.2,1.1,2.4,11.0,13.1,5.4,18.5
11,30.0,TOR,NBA,SF,72.0,72.0,26.1,3.1,7.6,0.4,1.5,4.4,0.341,1.5,3.2,0.483,0.499,1.2,1.6,0.7609999999999999,0.9,2.9,3.8,1.0,1.1,0.4,0.8,2.0,8.9,11.0,4.4,15.4
12,,,NBA,,414.0,258.0,23.0,3.0,6.7,0.442,1.0,2.7,0.361,2.0,4.0,0.496,0.514,1.2,1.6,0.728,1.1,2.7,3.8,1.1,1.0,0.3,0.7,2.0,8.1,10.700000000000001,4.0,14.700000000000001
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,ATL,NBA,,143.0,142.0,31.7,4.3,9.1,0.479,1.5,4.0,0.379,2.8,5.1,0.557,0.563,1.7,2.3,0.733,1.4,4.0,5.4,1.8,1.4,0.3,1.1,2.4,11.8,15.700000000000001,5.7,21.400000000000002
15,,TOR,NBA,,98.0,94.0,27.2,3.3,8.4,0.396,1.6,4.5,0.354,1.7,3.9,0.445,0.491,1.2,1.7,0.713,1.0,3.1,4.1,1.0,1.3,0.3,0.8,2.1,9.4,11.6,4.7,16.3
16,,UTA,NBA,,86.0,21.0,16.7,2.2,4.9,0.44,0.3,1.0,0.303,1.8,3.9,0.47600000000000003,0.47200000000000003,1.0,1.3,0.7809999999999999,1.3,1.4,2.8,0.9,0.8,0.3,0.5,1.8,5.7,8.3,2.5,10.8
17,,MEM,NBA,,78.0,1.0,10.7,1.2,3.0,0.39799999999999996,0.0,0.1,0.0,1.2,2.9,0.409,0.39799999999999996,0.4,0.7,0.636,0.7,1.3,2.0,0.4,0.4,0.1,0.3,1.4,2.8,4.0,1.8000000000000003,5.800000000000001
18,,HOU,NBA,,5.0,0.0,2.2,0.0,0.6,0.0,0.0,0.0,,0.0,0.6,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.8
19,,DEN,NBA,,4.0,0.0,5.3,1.5,1.5,1.0,0.0,0.0,,1.5,1.5,1.0,1.0,0.0,0.0,,0.0,0.8,0.8,0.8,0.0,0.0,0.5,0.3,3.0,4.1,0.8,4.8999999999999995
