,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,21.0,,NBA,C,6.0,0.0,3.8,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,1.5,1.5,1.0,0.0,0.8,0.8,0.2,0.0,0.7,0.3,0.7,3.5,3.6,1.5,5.1
1,,22.0,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,23.0,,NBA,C,26.0,0.0,6.3,1.3,2.1,0.636,0.0,0.0,,1.3,2.1,0.636,0.636,1.2,1.8,0.66,0.5,1.5,2.0,0.1,0.1,0.3,0.6,1.2,3.9,3.9999999999999996,1.9000000000000001,5.8999999999999995
3,24.0,,NBA,C,56.0,0.0,8.7,1.0,1.8,0.561,0.0,0.0,0.0,1.0,1.7,0.573,0.561,1.1,1.5,0.768,0.8,1.4,2.1,0.1,0.3,0.3,0.4,1.9,3.1,3.6999999999999997,2.0,5.699999999999999
4,25.0,,NBA,C,61.0,12.0,18.7,2.1,3.9,0.546,0.0,0.0,0.0,2.1,3.9,0.5489999999999999,0.546,1.5,2.4,0.639,1.8,3.0,4.7,0.2,0.6,0.5,0.8,2.9,5.8,7.2,4.1,11.3
5,26.0,,NBA,C,80.0,2.0,16.5,1.9,4.1,0.45299999999999996,0.0,0.0,0.0,1.9,4.1,0.456,0.45299999999999996,1.3,2.1,0.608,1.4,2.5,3.9,0.3,0.5,0.8,1.2,2.5,5.0,5.8,3.8,9.6
6,27.0,,NBA,C,77.0,1.0,16.2,1.2,2.5,0.48100000000000004,0.0,0.0,0.0,1.2,2.4,0.484,0.48100000000000004,1.2,1.9,0.621,1.4,1.9,3.3,0.3,0.5,0.9,0.8,2.7,3.5,4.7,3.3,8.0
7,28.0,,NBA,C,61.0,6.0,18.8,1.9,3.5,0.552,0.0,0.0,,1.9,3.5,0.552,0.552,0.5,1.7,0.304,1.7,4.1,5.8,0.5,0.5,0.8,1.0,2.8,4.3,6.0,5.3999999999999995,11.399999999999999
8,29.0,,NBA,C,71.0,71.0,25.6,3.7,6.3,0.589,0.0,0.0,,3.7,6.3,0.589,0.589,1.9,3.2,0.5870000000000001,1.9,5.2,7.1,1.5,0.9,1.1,1.4,3.1,9.3,12.8,7.200000000000001,20.0
9,30.0,,NBA,C,31.0,0.0,17.9,2.1,3.6,0.586,0.0,0.0,,2.1,3.6,0.586,0.586,1.4,2.4,0.573,1.5,3.3,4.8,0.6,1.1,0.8,1.1,2.9,5.6,7.200000000000001,5.2,12.400000000000002
10,,,NBA,,469.0,92.0,16.8,1.9,3.6,0.539,0.0,0.0,0.0,1.9,3.6,0.541,0.539,1.3,2.1,0.595,1.4,2.9,4.4,0.5,0.6,0.7,0.9,2.6,5.2,6.699999999999999,4.2,10.899999999999999
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,NBA,,289.0,80.0,19.1,2.1,4.1,0.527,0.0,0.0,0.0,2.1,4.1,0.529,0.527,1.2,2.2,0.555,1.6,3.3,5.0,0.7,0.6,0.9,1.1,2.8,5.5,7.4,4.8,12.2
13,,,NBA,,117.0,12.0,13.9,1.6,2.9,0.551,0.0,0.0,0.0,1.6,2.8,0.556,0.551,1.3,2.0,0.6859999999999999,1.3,2.2,3.5,0.2,0.4,0.4,0.6,2.4,4.5,5.6000000000000005,3.0,8.600000000000001
14,,,NBA,,32.0,0.0,5.9,1.3,2.1,0.612,0.0,0.0,,1.3,2.1,0.612,0.612,1.3,1.8,0.7140000000000001,0.4,1.4,1.8,0.1,0.1,0.4,0.5,1.1,3.8,3.9000000000000004,1.9,5.800000000000001
15,,,NBA,,31.0,0.0,17.9,2.1,3.6,0.586,0.0,0.0,,2.1,3.6,0.586,0.586,1.4,2.4,0.573,1.5,3.3,4.8,0.6,1.1,0.8,1.1,2.9,5.6,7.200000000000001,5.2,12.400000000000002
