,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,21.0,,NBA,PF,76.0,1.0,14.6,1.9,4.1,0.455,0.1,0.2,0.28600000000000003,1.8,3.9,0.46299999999999997,0.461,0.7,1.1,0.659,1.0,2.0,3.0,0.3,0.3,0.7,0.6,1.9,4.5,5.5,3.0,8.5
1,,22.0,Did Not Play (injury—knee),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,23.0,,NBA,PF,56.0,2.0,11.8,1.3,3.1,0.431,0.2,0.5,0.345,1.2,2.6,0.44799999999999995,0.46,0.5,0.8,0.69,1.0,1.4,2.4,0.6,0.4,0.5,0.6,2.0,3.4,5.0,2.3,7.3
3,24.0,,NBA,C,77.0,6.0,14.3,1.8,4.0,0.44299999999999995,0.0,0.0,0.0,1.8,4.0,0.446,0.44299999999999995,0.8,0.9,0.843,1.2,2.0,3.1,0.5,0.3,0.4,0.7,1.9,4.3,5.8,2.6999999999999997,8.5
4,25.0,,NBA,PF,40.0,29.0,23.7,4.5,8.7,0.52,0.0,0.2,0.111,4.5,8.5,0.531,0.522,0.8,1.2,0.7020000000000001,1.8,3.1,4.9,0.9,0.5,1.0,1.0,2.6,9.9,12.5,4.6,17.1
5,26.0,,NBA,C,51.0,0.0,17.2,3.3,6.7,0.49,0.0,0.1,0.0,3.3,6.6,0.496,0.49,1.7,2.0,0.843,1.3,2.4,3.6,0.7,0.3,0.9,1.1,2.4,8.2,9.799999999999999,3.5999999999999996,13.399999999999999
6,27.0,,NBA,PF,31.0,27.0,26.8,4.2,9.1,0.465,0.0,0.0,,4.2,9.1,0.465,0.465,1.3,1.6,0.78,1.6,4.2,5.8,0.9,0.4,0.9,0.9,3.2,9.7,12.2,5.500000000000001,17.7
7,28.0,,NBA,C,82.0,31.0,21.8,3.1,7.2,0.434,0.2,0.5,0.35700000000000004,3.0,6.7,0.44,0.447,1.5,1.9,0.83,1.2,2.8,4.0,1.7,0.4,0.5,1.3,2.5,8.0,11.299999999999999,3.6999999999999997,14.999999999999998
8,29.0,,NBA,C,76.0,2.0,15.5,3.2,6.6,0.485,0.1,0.2,0.25,3.2,6.4,0.493,0.489,0.7,0.9,0.8059999999999999,0.7,2.2,2.9,0.8,0.4,0.9,0.8,2.1,7.2,8.7,3.5,12.2
9,30.0,,NBA,C,74.0,3.0,14.4,2.4,4.4,0.529,0.5,1.1,0.474,1.9,3.4,0.546,0.585,0.5,0.7,0.6859999999999999,0.9,2.6,3.5,0.5,0.3,0.7,0.8,2.3,5.7,6.8,3.5999999999999996,10.399999999999999
10,,,NBA,,563.0,101.0,17.0,2.7,5.7,0.473,0.1,0.3,0.366,2.5,5.3,0.48,0.484,0.9,1.2,0.777,1.1,2.4,3.5,0.8,0.4,0.7,0.8,2.2,6.4,8.3,3.5,11.8
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,NBA,,199.0,62.0,18.9,3.1,6.4,0.48100000000000004,0.0,0.1,0.067,3.1,6.3,0.486,0.48200000000000004,1.1,1.4,0.807,1.4,2.7,4.0,0.7,0.4,0.7,0.9,2.4,7.3,9.2,3.8,13.0
13,,,NBA,,132.0,3.0,13.4,1.6,3.7,0.446,0.1,0.3,0.326,1.5,3.3,0.45799999999999996,0.461,0.6,0.9,0.669,1.0,1.8,2.8,0.4,0.3,0.6,0.6,1.9,4.0,5.2,2.7,7.9
14,,,NBA,,82.0,31.0,21.8,3.1,7.2,0.434,0.2,0.5,0.35700000000000004,3.0,6.7,0.44,0.447,1.5,1.9,0.83,1.2,2.8,4.0,1.7,0.4,0.5,1.3,2.5,8.0,11.299999999999999,3.6999999999999997,14.999999999999998
15,,,NBA,,76.0,2.0,15.5,3.2,6.6,0.485,0.1,0.2,0.25,3.2,6.4,0.493,0.489,0.7,0.9,0.8059999999999999,0.7,2.2,2.9,0.8,0.4,0.9,0.8,2.1,7.2,8.7,3.5,12.2
16,,,NBA,,74.0,3.0,14.4,2.4,4.4,0.529,0.5,1.1,0.474,1.9,3.4,0.546,0.585,0.5,0.7,0.6859999999999999,0.9,2.6,3.5,0.5,0.3,0.7,0.8,2.3,5.7,6.8,3.5999999999999996,10.399999999999999
