,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,22.0,PHO,NBA,PF,63.0,7.0,19.5,2.8,6.9,0.39899999999999997,0.7,2.0,0.34700000000000003,2.1,5.0,0.42,0.44799999999999995,1.2,1.7,0.7170000000000001,1.1,3.3,4.4,1.0,0.7,0.7,1.1,2.8,7.4,9.4,4.7,14.100000000000001
1,23.0,PHO,NBA,PF,82.0,32.0,22.4,3.2,8.0,0.40700000000000003,0.5,1.6,0.336,2.7,6.3,0.426,0.442,1.1,1.5,0.732,1.6,3.2,4.8,1.3,0.9,0.8,1.3,2.5,8.2,11.099999999999998,4.9,15.999999999999998
2,24.0,PHO,NBA,PF,81.0,0.0,26.6,5.1,10.4,0.486,0.4,1.3,0.315,4.7,9.1,0.512,0.507,3.2,4.0,0.792,1.7,4.3,6.0,1.8,0.8,0.6,1.8,2.9,13.8,17.3,5.699999999999999,23.0
3,25.0,PHO,NBA,PF,82.0,82.0,31.5,6.2,13.4,0.465,0.7,2.2,0.318,5.5,11.2,0.494,0.491,2.2,2.8,0.763,1.3,4.8,6.2,2.3,1.2,0.5,2.1,3.0,15.3,19.099999999999998,6.5,25.599999999999998
4,26.0,TOT,NBA,PF,64.0,45.0,25.5,4.8,11.2,0.425,0.7,2.4,0.303,4.0,8.8,0.45799999999999996,0.45799999999999996,1.7,2.3,0.735,1.1,4.4,5.5,1.9,0.9,0.5,2.1,2.9,12.0,14.799999999999999,5.800000000000001,20.6
5,26.0,PHO,NBA,PF,37.0,24.0,24.8,4.6,11.6,0.397,0.6,2.1,0.289,4.0,9.6,0.42,0.42200000000000004,1.8,2.5,0.7170000000000001,1.2,4.1,5.2,2.4,0.9,0.5,2.4,2.8,11.6,15.200000000000001,5.5,20.700000000000003
6,26.0,WAS,NBA,PF,27.0,21.0,26.4,5.0,10.6,0.467,0.9,2.9,0.316,4.0,7.7,0.524,0.51,1.6,2.0,0.764,1.1,4.7,5.9,1.4,0.9,0.6,1.7,3.0,12.4,14.600000000000001,6.2,20.8
7,27.0,WAS,NBA,PF,76.0,76.0,31.2,5.3,11.7,0.457,0.9,2.6,0.36200000000000004,4.4,9.1,0.483,0.49700000000000005,2.4,2.8,0.8370000000000001,1.4,5.1,6.5,1.7,1.1,0.6,1.7,3.3,14.0,17.1,6.799999999999999,23.9
8,,,NBA,,448.0,242.0,26.3,4.6,10.4,0.447,0.7,2.0,0.331,4.0,8.4,0.474,0.479,2.0,2.6,0.774,1.4,4.2,5.6,1.7,1.0,0.6,1.7,2.9,11.9,15.0,5.8,20.8
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,PHO,NBA,,345.0,145.0,25.3,4.4,10.0,0.44299999999999995,0.6,1.8,0.324,3.9,8.2,0.469,0.47200000000000003,1.9,2.6,0.759,1.4,4.0,5.4,1.7,0.9,0.6,1.7,2.8,11.4,14.5,5.5,20.0
11,,WAS,NBA,,103.0,97.0,30.0,5.2,11.4,0.45899999999999996,0.9,2.7,0.349,4.3,8.7,0.493,0.5,2.2,2.6,0.8220000000000001,1.3,5.0,6.3,1.6,1.0,0.6,1.7,3.2,13.6,16.400000000000002,6.6,23.0
