,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,21.0,,NBA,SG,54.0,15.0,17.3,2.0,5.4,0.374,0.6,1.7,0.37,1.4,3.6,0.376,0.433,1.3,1.7,0.763,0.7,1.9,2.6,1.6,0.6,0.1,1.2,1.2,5.9,8.600000000000001,2.6,11.200000000000001
1,22.0,,NBA,SG,26.0,5.0,17.5,2.3,5.8,0.4,0.5,1.4,0.33299999999999996,1.8,4.4,0.42100000000000004,0.44,1.6,2.3,0.695,0.4,2.3,2.7,1.2,0.5,0.2,1.0,1.1,6.7,8.5,3.0,11.5
2,,23.0,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,24.0,,NBA,SG,9.0,0.0,20.0,3.1,7.8,0.4,0.8,2.2,0.35,2.3,5.6,0.42,0.45,1.1,1.3,0.833,0.8,3.0,3.8,1.2,0.4,0.1,1.0,1.1,8.1,10.3,3.5,13.8
4,,25.0,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,26.0,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,27.0,,NBA,SG,4.0,0.0,6.3,0.8,3.8,0.2,0.0,0.5,0.0,0.8,3.3,0.231,0.2,0.5,1.0,0.5,0.8,1.5,2.3,0.5,0.0,0.0,0.5,0.3,2.0,3.3,1.5,4.8
7,,,NBA,,93.0,20.0,17.1,2.1,5.6,0.38,0.6,1.6,0.353,1.6,4.0,0.39,0.43,1.3,1.8,0.738,0.6,2.1,2.7,1.4,0.5,0.2,1.1,1.1,6.2,8.5,2.8000000000000003,11.3
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,NBA,,80.0,20.0,17.4,2.1,5.5,0.38299999999999995,0.6,1.6,0.359,1.5,3.9,0.392,0.435,1.4,1.9,0.737,0.6,2.0,2.6,1.5,0.6,0.2,1.1,1.2,6.2,8.700000000000001,2.8000000000000003,11.500000000000002
10,,,NBA,,9.0,0.0,20.0,3.1,7.8,0.4,0.8,2.2,0.35,2.3,5.6,0.42,0.45,1.1,1.3,0.833,0.8,3.0,3.8,1.2,0.4,0.1,1.0,1.1,8.1,10.3,3.5,13.8
11,,,NBA,,4.0,0.0,6.3,0.8,3.8,0.2,0.0,0.5,0.0,0.8,3.3,0.231,0.2,0.5,1.0,0.5,0.8,1.5,2.3,0.5,0.0,0.0,0.5,0.3,2.0,3.3,1.5,4.8
