,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,23.0,UTA,NBA,SG,82.0,48.0,24.7,3.3,6.9,0.483,0.8,2.0,0.382,2.6,4.9,0.525,0.539,2.0,2.4,0.8290000000000001,0.6,1.7,2.3,1.5,0.8,0.2,1.1,1.9,9.4,11.9,2.7,14.600000000000001
1,24.0,POR,NBA,SG,82.0,69.0,33.6,5.4,11.9,0.449,1.9,4.6,0.40700000000000003,3.5,7.3,0.47600000000000003,0.528,3.2,3.8,0.8440000000000001,0.6,2.6,3.1,2.0,1.2,0.1,1.7,2.4,15.9,18.8,3.9,22.7
2,25.0,POR,NBA,SG,66.0,53.0,33.8,4.8,11.6,0.41200000000000003,2.0,5.1,0.38299999999999995,2.8,6.5,0.434,0.496,2.2,2.6,0.86,0.8,2.5,3.4,1.7,1.5,0.2,1.1,2.2,13.7,16.799999999999997,4.2,20.999999999999996
3,26.0,POR,NBA,SG,69.0,69.0,34.8,5.1,11.7,0.436,2.4,6.2,0.39799999999999996,2.7,5.6,0.478,0.54,2.2,2.7,0.797,0.5,2.3,2.8,2.5,1.3,0.3,1.6,2.5,14.8,18.7,3.8999999999999995,22.599999999999998
4,27.0,POR,NBA,SG,82.0,82.0,33.9,5.4,12.3,0.441,2.5,6.2,0.39299999999999996,3.0,6.1,0.49,0.541,3.1,3.7,0.8370000000000001,0.6,2.9,3.5,2.4,0.9,0.2,1.3,2.1,16.4,20.499999999999996,4.0,24.499999999999996
5,28.0,POR,NBA,SG,60.0,60.0,33.7,5.6,12.5,0.44799999999999995,2.9,7.4,0.389,2.7,5.1,0.534,0.563,1.8,2.4,0.752,0.6,3.1,3.7,2.3,1.3,0.2,1.4,2.2,15.9,19.700000000000003,4.6000000000000005,24.300000000000004
6,29.0,DAL,NBA,SF,78.0,78.0,33.9,4.2,10.9,0.38799999999999996,2.4,6.7,0.36,1.8,4.2,0.43200000000000005,0.498,1.6,1.9,0.863,0.3,2.7,3.1,1.9,1.0,0.2,1.0,2.3,12.5,15.600000000000001,3.9000000000000004,19.5
7,30.0,DAL,NBA,SG,73.0,73.0,34.2,4.6,11.6,0.39299999999999996,2.4,6.6,0.363,2.2,5.0,0.43200000000000005,0.496,2.0,2.5,0.816,0.2,3.3,3.5,2.9,1.1,0.2,1.4,2.2,13.5,18.1,4.6000000000000005,22.700000000000003
8,,,NBA,,592.0,532.0,32.7,4.8,11.1,0.43,2.1,5.5,0.38299999999999995,2.7,5.6,0.475,0.525,2.3,2.8,0.828,0.5,2.6,3.2,2.1,1.1,0.2,1.3,2.2,13.9,17.3,3.9000000000000004,21.200000000000003
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,POR,NBA,,359.0,333.0,34.0,5.3,12.0,0.43799999999999994,2.3,5.8,0.39399999999999996,3.0,6.2,0.479,0.534,2.6,3.1,0.825,0.6,2.7,3.3,2.2,1.2,0.2,1.4,2.3,15.4,19.0,4.1000000000000005,23.1
11,,DAL,NBA,,151.0,151.0,34.0,4.4,11.3,0.39,2.4,6.6,0.36200000000000004,2.0,4.6,0.43200000000000005,0.49700000000000005,1.8,2.2,0.8370000000000001,0.3,3.0,3.3,2.4,1.0,0.2,1.2,2.3,13.0,16.900000000000002,4.2,21.1
12,,UTA,NBA,,82.0,48.0,24.7,3.3,6.9,0.483,0.8,2.0,0.382,2.6,4.9,0.525,0.539,2.0,2.4,0.8290000000000001,0.6,1.7,2.3,1.5,0.8,0.2,1.1,1.9,9.4,11.9,2.7,14.600000000000001
