,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,22.0,WAS,NBA,SG,11.0,2.0,16.5,2.5,5.4,0.475,0.6,0.8,0.778,1.9,4.5,0.42,0.534,1.6,2.6,0.621,1.4,1.6,3.0,0.6,0.6,0.1,0.9,1.2,7.4,9.1,2.3000000000000003,11.4
1,23.0,TOT,NBA,SG,56.0,34.0,20.0,2.2,4.7,0.45799999999999996,0.3,0.9,0.33299999999999996,1.9,3.8,0.488,0.491,1.3,1.6,0.7829999999999999,1.1,2.1,3.3,0.7,0.7,0.3,1.0,1.7,5.9,7.4,3.0999999999999996,10.5
2,23.0,SAS,NBA,SG,5.0,0.0,3.6,0.2,0.6,0.33299999999999996,0.0,0.0,,0.2,0.6,0.33299999999999996,0.33299999999999996,0.0,0.0,,0.4,0.2,0.6,0.0,0.0,0.4,0.6,0.6,0.4,0.20000000000000007,0.6000000000000001,0.8000000000000002
3,23.0,WAS,NBA,SG,11.0,5.0,11.5,1.1,2.5,0.444,0.0,0.2,0.0,1.1,2.3,0.48,0.444,0.7,1.1,0.667,1.0,1.0,2.0,0.5,0.6,0.0,0.7,0.9,2.9,4.2,1.6,5.800000000000001
4,23.0,CLE,NBA,SG,40.0,29.0,24.3,2.7,5.9,0.462,0.4,1.2,0.34700000000000003,2.3,4.6,0.49200000000000005,0.498,1.6,2.0,0.8,1.2,2.7,3.9,0.8,0.8,0.4,1.1,2.0,7.4,9.1,3.9,13.0
5,24.0,CLE,NBA,SG,63.0,31.0,29.0,3.6,8.7,0.41200000000000003,0.7,2.2,0.321,2.9,6.6,0.442,0.452,2.7,3.4,0.7879999999999999,1.6,3.5,5.1,1.8,1.3,0.3,1.8,2.4,10.6,14.0,5.1,19.1
6,25.0,CLE,NBA,SF,82.0,82.0,31.0,3.7,9.1,0.41,0.8,2.7,0.315,2.9,6.4,0.45,0.456,2.0,2.5,0.795,0.9,3.0,3.9,1.6,1.3,0.4,1.6,2.4,10.3,12.800000000000002,4.7,17.500000000000004
7,26.0,CLE,NBA,SF,65.0,24.0,15.7,1.5,3.6,0.415,0.3,0.9,0.32799999999999996,1.2,2.7,0.444,0.456,0.7,0.9,0.705,0.5,1.8,2.3,0.7,0.6,0.2,0.7,1.5,4.0,5.2,2.6,7.800000000000001
8,27.0,TOT,NBA,SF,54.0,2.0,12.3,1.6,3.4,0.46799999999999997,0.2,0.6,0.371,1.4,2.8,0.49,0.503,1.0,1.4,0.701,0.7,1.1,1.7,0.5,0.6,0.1,0.6,1.1,4.5,5.6000000000000005,1.8000000000000003,7.4
9,27.0,DEN,NBA,SF,39.0,0.0,13.1,1.7,3.5,0.48200000000000004,0.3,0.6,0.41700000000000004,1.4,2.9,0.496,0.518,1.2,1.7,0.738,0.7,1.1,1.8,0.5,0.7,0.2,0.6,1.1,4.9,6.000000000000001,2.0,8.0
10,27.0,POR,NBA,SF,15.0,2.0,10.1,1.4,3.3,0.429,0.2,0.7,0.273,1.2,2.5,0.474,0.45899999999999996,0.4,0.8,0.5,0.5,1.1,1.6,0.4,0.5,0.1,0.5,1.1,3.4,4.2,1.7000000000000002,5.9
11,28.0,NOP,NBA,SF,73.0,38.0,22.4,1.8,3.5,0.518,0.2,0.8,0.28300000000000003,1.6,2.7,0.59,0.551,0.6,0.9,0.667,0.8,2.5,3.4,1.0,0.9,0.2,0.8,2.3,4.5,6.5,3.6,10.1
12,29.0,DEN,NBA,SF,13.0,0.0,6.8,0.2,1.1,0.214,0.0,0.2,0.0,0.2,0.8,0.273,0.214,0.4,0.7,0.556,0.3,0.8,1.2,0.5,0.4,0.1,0.3,1.1,0.8,1.8,1.3000000000000003,3.1000000000000005
13,,,NBA,,417.0,213.0,21.8,2.4,5.5,0.434,0.4,1.4,0.325,2.0,4.2,0.469,0.474,1.4,1.8,0.754,0.9,2.3,3.3,1.1,0.9,0.2,1.1,1.9,6.6,8.6,3.4,12.0
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,CLE,NBA,,250.0,166.0,25.4,3.0,7.1,0.418,0.6,1.9,0.322,2.4,5.2,0.452,0.46,1.7,2.2,0.7829999999999999,1.0,2.8,3.8,1.3,1.0,0.3,1.3,2.1,8.2,10.499999999999998,4.1,14.599999999999998
16,,NOP,NBA,,73.0,38.0,22.4,1.8,3.5,0.518,0.2,0.8,0.28300000000000003,1.6,2.7,0.59,0.551,0.6,0.9,0.667,0.8,2.5,3.4,1.0,0.9,0.2,0.8,2.3,4.5,6.5,3.6,10.1
