,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,20.0,,NBA,SG,28.0,2.0,14.7,2.0,4.5,0.44799999999999995,1.1,2.6,0.444,0.9,1.9,0.45299999999999996,0.5760000000000001,0.9,1.0,0.963,0.5,1.5,2.0,0.5,0.5,0.1,0.5,1.7,6.1,7.1,2.1,9.2
1,21.0,,NBA,SF,81.0,74.0,33.9,4.8,11.4,0.423,2.3,6.0,0.381,2.5,5.4,0.469,0.523,3.1,3.8,0.818,0.8,4.1,4.9,1.7,0.9,0.7,1.4,2.4,15.1,17.900000000000002,5.7,23.6
2,22.0,,NBA,PF-SF,62.0,60.0,33.9,4.3,10.3,0.414,1.7,4.7,0.35200000000000004,2.6,5.6,0.467,0.495,5.4,6.3,0.862,1.0,4.0,4.9,1.7,0.8,0.4,1.3,2.3,15.6,18.7,5.2,23.9
3,22.0,,NBA,PF,48.0,48.0,34.8,4.4,10.6,0.415,1.7,5.0,0.34700000000000003,2.7,5.6,0.474,0.496,5.4,6.0,0.893,1.0,3.8,4.8,1.7,0.8,0.4,1.2,2.4,15.9,19.1,5.0,24.1
4,22.0,,NBA,SF,14.0,12.0,30.9,3.9,9.4,0.41200000000000003,1.4,3.9,0.37,2.4,5.5,0.442,0.489,5.6,7.2,0.772,0.8,4.6,5.4,1.6,0.9,0.6,1.8,1.9,14.7,16.9,6.1,23.0
5,23.0,,NBA,SF,43.0,40.0,31.4,4.5,10.8,0.414,1.4,4.3,0.32799999999999996,3.1,6.6,0.47,0.479,4.2,4.9,0.871,0.7,4.0,4.7,2.7,1.0,0.5,1.6,2.0,14.6,19.099999999999998,5.5,24.599999999999998
6,24.0,,NBA,SF,71.0,71.0,32.5,5.1,12.3,0.418,1.9,5.1,0.373,3.2,7.2,0.45,0.495,4.0,4.9,0.8220000000000001,0.9,4.3,5.2,2.5,0.9,0.5,1.6,1.8,16.2,20.5,5.7,26.2
7,,25.0,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,26.0,,NBA,SF,59.0,27.0,24.2,3.9,9.6,0.401,1.8,5.1,0.355,2.1,4.5,0.45299999999999996,0.496,2.9,3.2,0.895,0.5,3.2,3.7,1.4,0.8,0.3,1.0,1.6,12.4,14.7,4.3,19.0
9,27.0,,NBA,SF,53.0,53.0,34.7,5.4,13.2,0.41,1.6,4.5,0.364,3.8,8.7,0.434,0.47200000000000003,7.1,8.2,0.868,1.0,4.3,5.3,2.5,0.8,0.4,1.5,1.6,19.5,24.0,5.5,29.5
10,28.0,,NBA,SF,63.0,63.0,33.9,5.3,11.9,0.447,2.0,5.1,0.389,3.3,6.8,0.491,0.531,5.5,6.1,0.902,0.6,4.5,5.2,2.1,0.6,0.2,1.3,1.5,18.2,21.7,5.3,27.0
11,,,NBA,,460.0,390.0,31.1,4.6,11.0,0.42,1.8,4.9,0.37,2.8,6.1,0.461,0.503,4.3,5.0,0.863,0.8,3.9,4.7,2.0,0.8,0.4,1.3,1.9,15.3,18.8,5.1000000000000005,23.900000000000002
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,NBA,,303.0,266.0,31.3,4.8,11.5,0.419,1.8,4.8,0.366,3.1,6.7,0.45799999999999996,0.496,4.8,5.5,0.8640000000000001,0.7,4.1,4.8,2.2,0.8,0.4,1.4,1.7,16.2,19.900000000000002,5.3,25.200000000000003
14,,,NBA,,157.0,124.0,30.8,4.2,9.9,0.42200000000000004,1.9,5.1,0.377,2.3,4.9,0.47,0.519,3.4,4.0,0.8590000000000001,0.8,3.5,4.3,1.5,0.8,0.5,1.2,2.3,13.7,16.3,4.8,21.1
