,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,20.0,,NBA,PF,76.0,64.0,19.3,2.5,5.7,0.43799999999999994,0.0,0.0,0.0,2.5,5.7,0.44,0.43799999999999994,0.5,0.8,0.667,1.4,3.1,4.6,0.6,0.7,0.7,0.6,2.7,5.6,7.6,4.5,12.1
1,21.0,,NBA,PF,32.0,1.0,14.3,2.0,4.6,0.43200000000000005,0.0,0.0,0.0,2.0,4.5,0.434,0.43200000000000005,0.5,0.9,0.5670000000000001,1.2,2.3,3.4,0.5,0.4,0.4,0.7,1.9,4.5,6.0,3.0999999999999996,9.1
2,22.0,,NBA,PF,80.0,9.0,20.1,3.9,7.8,0.49700000000000005,0.0,0.1,0.0,3.9,7.7,0.502,0.49700000000000005,1.4,1.7,0.813,1.4,2.8,4.3,0.7,0.7,0.8,1.1,2.9,9.1,10.799999999999999,4.3,15.099999999999998
3,,23.0,Did Not Play (injury—achilles),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,24.0,,NBA,PF,59.0,3.0,16.4,2.7,6.1,0.451,0.1,0.3,0.278,2.7,5.8,0.46,0.45799999999999996,0.6,0.8,0.7170000000000001,1.2,1.7,2.9,0.6,0.4,0.6,0.7,2.1,6.1,7.8,2.7,10.5
5,25.0,,NBA,SF,68.0,1.0,17.1,2.4,6.0,0.395,0.4,0.9,0.375,2.0,5.1,0.39899999999999997,0.424,0.8,0.9,0.855,0.8,2.3,3.1,0.9,0.6,0.7,0.9,2.7,5.9,7.6,3.5999999999999996,11.2
6,26.0,,NBA,PF,58.0,4.0,17.0,2.7,6.6,0.40399999999999997,0.4,1.9,0.23600000000000002,2.2,4.7,0.47100000000000003,0.43799999999999994,0.8,1.0,0.78,0.9,2.0,2.9,1.0,0.8,0.4,0.8,2.5,6.6,8.7,3.1999999999999997,11.899999999999999
7,27.0,,NBA,PF,70.0,16.0,21.7,3.2,7.0,0.452,0.6,1.7,0.385,2.5,5.3,0.473,0.498,0.6,0.8,0.755,1.2,3.0,4.2,1.4,0.8,0.7,0.9,2.6,7.5,10.6,4.5,15.1
8,28.0,,NBA,PF,41.0,7.0,15.6,2.3,5.2,0.442,1.3,2.9,0.45299999999999996,1.0,2.4,0.429,0.565,0.5,0.5,0.8640000000000001,0.6,2.1,2.7,1.0,0.5,0.5,0.9,1.9,6.4,8.1,3.1,11.2
9,,,NBA,,484.0,105.0,18.2,2.8,6.3,0.444,0.3,0.9,0.35200000000000004,2.5,5.4,0.45899999999999996,0.469,0.7,1.0,0.7659999999999999,1.1,2.5,3.6,0.8,0.6,0.6,0.8,2.5,6.7,8.6,3.7,12.3
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,NBA,,247.0,77.0,18.2,2.9,6.3,0.46399999999999997,0.0,0.1,0.185,2.9,6.2,0.469,0.465,0.8,1.1,0.737,1.3,2.6,3.9,0.6,0.6,0.7,0.8,2.5,6.7,8.399999999999999,3.9000000000000004,12.299999999999999
12,,,NBA,,237.0,28.0,18.2,2.7,6.3,0.423,0.6,1.7,0.363,2.0,4.6,0.445,0.47200000000000003,0.7,0.8,0.8059999999999999,0.9,2.4,3.3,1.1,0.7,0.6,0.9,2.5,6.6,8.799999999999999,3.6999999999999997,12.499999999999998
