,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,21.0,MEM,NBA,PF,19.0,2.0,6.6,1.1,1.9,0.568,0.0,0.0,,1.1,1.9,0.568,0.568,0.8,1.5,0.536,0.8,0.9,1.8,0.2,0.3,0.3,0.4,1.3,3.0,3.8000000000000003,1.5,5.300000000000001
1,22.0,TOT,NBA,C,7.0,0.0,2.6,0.4,0.7,0.6,0.0,0.0,,0.4,0.7,0.6,0.6,0.1,0.3,0.5,0.1,0.4,0.6,0.1,0.1,0.0,0.0,0.1,1.0,1.3,0.5,1.8
2,22.0,MEM,NBA,C,2.0,0.0,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.5,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,1.0
3,22.0,MIA,NBA,C,5.0,0.0,2.8,0.6,1.0,0.6,0.0,0.0,,0.6,1.0,0.6,0.6,0.2,0.4,0.5,0.0,0.4,0.4,0.2,0.2,0.0,0.0,0.2,1.4,1.7999999999999998,0.6000000000000001,2.4
4,23.0,DEN,NBA,C,2.0,0.0,3.5,0.5,0.5,1.0,0.0,0.0,,0.5,0.5,1.0,1.0,0.5,1.0,0.5,0.5,0.5,1.0,1.0,0.5,0.0,0.0,1.5,1.5,4.0,1.0,5.0
5,,,NBA,,28.0,2.0,5.4,0.9,1.5,0.581,0.0,0.0,,0.9,1.5,0.581,0.581,0.6,1.1,0.531,0.6,0.8,1.4,0.3,0.3,0.2,0.3,1.0,2.4,3.3,1.3,4.6
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,MEM,NBA,,21.0,2.0,6.2,1.0,1.8,0.568,0.0,0.0,,1.0,1.8,0.568,0.568,0.7,1.3,0.536,0.8,0.9,1.7,0.2,0.2,0.2,0.3,1.2,2.7,3.6000000000000005,1.3,4.9
8,,MIA,NBA,,5.0,0.0,2.8,0.6,1.0,0.6,0.0,0.0,,0.6,1.0,0.6,0.6,0.2,0.4,0.5,0.0,0.4,0.4,0.2,0.2,0.0,0.0,0.2,1.4,1.7999999999999998,0.6000000000000001,2.4
9,,DEN,NBA,,2.0,0.0,3.5,0.5,0.5,1.0,0.0,0.0,,0.5,0.5,1.0,1.0,0.5,1.0,0.5,0.5,0.5,1.0,1.0,0.5,0.0,0.0,1.5,1.5,4.0,1.0,5.0
