,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,23.0,BRK,NBA,C,70.0,22.0,18.2,2.8,4.3,0.659,0.0,0.0,0.0,2.8,4.3,0.6659999999999999,0.659,1.7,2.8,0.626,1.4,3.0,4.4,0.9,0.7,0.8,1.1,2.4,7.4,9.500000000000002,4.5,14.000000000000002
1,24.0,BRK,NBA,C,82.0,45.0,21.3,3.4,6.0,0.573,0.0,0.0,0.0,3.4,5.9,0.5760000000000001,0.573,1.9,3.9,0.495,2.1,4.1,6.2,0.9,0.8,0.8,1.3,2.5,8.7,11.299999999999999,5.699999999999999,17.0
2,25.0,POR,NBA,C,82.0,82.0,25.4,3.3,6.3,0.516,0.0,0.0,0.0,3.3,6.3,0.52,0.516,2.6,4.1,0.642,2.5,5.2,7.7,2.8,0.8,1.0,1.9,3.1,9.1,15.299999999999999,7.0,22.299999999999997
3,26.0,TOT,NBA,C,81.0,64.0,26.5,4.1,7.7,0.536,0.0,0.1,0.0,4.1,7.6,0.541,0.536,2.1,3.7,0.58,2.1,5.4,7.5,3.5,0.9,1.1,1.7,2.8,10.4,17.8,7.4,25.200000000000003
4,26.0,POR,NBA,C,54.0,54.0,28.1,4.4,8.2,0.532,0.0,0.1,0.0,4.4,8.1,0.5379999999999999,0.532,2.4,4.1,0.5670000000000001,2.2,5.8,8.0,4.0,0.9,1.2,1.6,2.8,11.1,19.699999999999996,7.9,27.599999999999994
5,26.0,DEN,NBA,C,27.0,10.0,23.4,3.7,6.7,0.547,0.0,0.0,0.0,3.7,6.7,0.55,0.547,1.7,2.8,0.618,1.9,4.6,6.4,2.6,0.7,1.1,1.7,2.9,9.1,14.5,6.4,20.9
6,,,NBA,,315.0,213.0,23.0,3.4,6.1,0.5589999999999999,0.0,0.1,0.0,3.4,6.1,0.564,0.5589999999999999,2.1,3.6,0.5820000000000001,2.0,4.5,6.5,2.0,0.8,0.9,1.5,2.7,9.0,13.5,6.2,19.7
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,BRK,NBA,,152.0,67.0,19.9,3.2,5.2,0.606,0.0,0.0,0.0,3.2,5.2,0.61,0.606,1.8,3.4,0.545,1.8,3.6,5.4,0.9,0.8,0.8,1.2,2.5,8.1,10.5,5.2,15.7
9,,POR,NBA,,136.0,136.0,26.5,3.7,7.1,0.523,0.0,0.1,0.0,3.7,7.0,0.528,0.523,2.5,4.1,0.612,2.4,5.4,7.8,3.2,0.9,1.1,1.8,3.0,9.9,16.900000000000002,7.4,24.300000000000004
10,,DEN,NBA,,27.0,10.0,23.4,3.7,6.7,0.547,0.0,0.0,0.0,3.7,6.7,0.55,0.547,1.7,2.8,0.618,1.9,4.6,6.4,2.6,0.7,1.1,1.7,2.9,9.1,14.5,6.4,20.9
