,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,20.0,,NBA,SF,35.0,16.0,19.6,3.0,6.9,0.43799999999999994,0.3,0.9,0.3,2.8,6.1,0.45799999999999996,0.457,1.0,1.5,0.63,1.1,2.5,3.6,0.9,0.4,0.5,0.8,2.4,7.3,9.399999999999999,3.4,12.799999999999999
1,21.0,,NBA,SF,82.0,70.0,33.4,5.5,12.9,0.43200000000000005,1.3,3.8,0.32799999999999996,4.3,9.0,0.47600000000000003,0.48100000000000004,2.1,2.6,0.795,1.1,4.3,5.4,2.1,0.9,0.9,1.7,3.0,14.4,18.000000000000004,6.1000000000000005,24.100000000000005
2,22.0,,NBA,SG,65.0,64.0,35.7,6.3,13.2,0.479,0.6,2.3,0.267,5.7,10.9,0.524,0.502,2.0,2.5,0.8059999999999999,1.4,3.9,5.4,2.1,0.7,0.8,1.7,2.8,15.3,19.2,5.3999999999999995,24.599999999999998
3,23.0,,NBA,SF,72.0,49.0,33.3,6.0,13.2,0.45,1.6,4.4,0.35,4.4,8.8,0.501,0.509,1.8,2.2,0.807,1.0,4.6,5.7,1.7,0.7,1.3,1.4,2.8,15.3,18.300000000000004,6.6,24.900000000000006
4,23.0,,NBA,SF,51.0,30.0,34.5,6.4,14.0,0.461,1.7,4.8,0.35100000000000003,4.7,9.2,0.518,0.521,1.9,2.3,0.807,1.2,4.7,5.9,1.7,0.7,1.4,1.3,3.0,16.4,19.7,6.800000000000001,26.5
5,23.0,,NBA,SF,21.0,19.0,30.6,4.8,11.5,0.419,1.2,3.6,0.34700000000000003,3.6,7.9,0.452,0.473,1.6,2.0,0.81,0.6,4.4,5.0,1.6,0.7,1.1,1.8,2.2,12.5,14.5,6.200000000000001,20.700000000000003
6,24.0,,NBA,SF,8.0,6.0,26.9,3.9,9.9,0.392,0.4,1.5,0.25,3.5,8.4,0.418,0.41100000000000003,1.3,1.5,0.833,0.8,4.4,5.1,2.1,0.8,0.8,2.3,2.3,9.4,12.100000000000001,6.0,18.1
7,25.0,,NBA,PF,43.0,8.0,25.1,4.9,10.6,0.462,1.2,2.9,0.413,3.7,7.7,0.48,0.519,2.0,2.6,0.7929999999999999,1.0,4.0,5.1,1.3,1.0,0.3,1.4,2.8,13.0,15.200000000000001,5.3,20.5
8,26.0,,NBA,SF,62.0,55.0,31.1,5.0,11.9,0.41600000000000004,2.0,5.7,0.348,3.0,6.2,0.478,0.499,1.8,2.5,0.7240000000000001,0.9,3.8,4.7,1.8,0.7,0.5,1.3,3.1,13.6,16.8,5.0,21.8
9,27.0,,NBA,SF,78.0,75.0,31.7,5.4,12.5,0.429,1.8,5.2,0.342,3.6,7.3,0.49,0.5,1.4,1.8,0.775,1.2,4.9,6.1,1.7,0.7,0.4,1.4,3.0,13.9,17.1,6.000000000000001,23.1
10,,28.0,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,29.0,,NBA,SF,71.0,33.0,30.9,6.1,13.2,0.461,1.5,4.6,0.337,4.5,8.6,0.527,0.52,2.0,2.7,0.727,1.5,5.0,6.5,2.0,0.7,0.4,1.6,2.4,15.7,19.599999999999998,6.1000000000000005,25.7
12,,,NBA,,516.0,376.0,31.1,5.4,12.2,0.445,1.3,3.9,0.33899999999999997,4.1,8.3,0.496,0.5,1.8,2.3,0.769,1.2,4.3,5.5,1.8,0.7,0.7,1.5,2.8,14.0,17.3,5.7,23.0
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,NBA,,283.0,196.0,30.1,5.3,12.1,0.43799999999999994,1.6,4.6,0.349,3.7,7.5,0.49200000000000005,0.504,1.7,2.3,0.755,1.1,4.5,5.6,1.8,0.8,0.5,1.5,2.8,13.9,17.1,5.8,22.900000000000002
15,,,NBA,,233.0,180.0,32.2,5.6,12.3,0.45399999999999996,1.0,3.2,0.322,4.6,9.1,0.499,0.495,1.8,2.4,0.785,1.2,4.0,5.2,1.8,0.7,0.9,1.5,2.9,14.0,17.3,5.6000000000000005,22.900000000000002
