,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,22.0,CLE,NBA,PF,54.0,0.0,16.0,1.8,3.6,0.513,0.0,0.0,0.0,1.8,3.5,0.518,0.513,1.3,2.4,0.535,2.0,2.7,4.8,0.5,0.8,0.7,0.5,2.3,4.9,7.4,4.2,11.600000000000001
1,23.0,CLE,NBA,C,48.0,4.0,15.8,1.6,3.1,0.527,0.0,0.0,0.0,1.6,3.1,0.53,0.527,1.3,2.5,0.513,1.6,3.3,4.9,0.4,0.6,0.4,0.6,2.5,4.6,6.4,4.3,10.7
2,24.0,CLE,NBA,C,81.0,6.0,23.9,2.4,5.0,0.47600000000000003,0.0,0.1,0.0,2.4,4.8,0.48700000000000004,0.47600000000000003,2.0,3.3,0.616,2.4,4.4,6.7,0.9,0.9,0.6,0.8,3.3,6.8,10.2,5.9,16.1
3,25.0,CLE,NBA,C,48.0,13.0,27.5,2.8,6.1,0.461,0.0,0.0,0.0,2.8,6.1,0.46399999999999997,0.461,1.0,1.7,0.598,2.8,5.5,8.3,1.1,0.8,0.5,1.2,2.8,6.7,10.5,6.8,17.3
4,26.0,CLE,NBA,PF,81.0,42.0,28.5,3.3,6.2,0.536,0.0,0.0,0.0,3.3,6.2,0.5379999999999999,0.536,1.9,3.1,0.616,2.0,5.1,7.2,1.0,0.9,0.8,1.0,3.0,8.6,11.6,6.8,18.4
5,27.0,CLE,NBA,PF,76.0,7.0,28.5,3.5,6.1,0.5720000000000001,0.0,0.1,0.2,3.5,6.1,0.5760000000000001,0.573,1.5,2.3,0.6629999999999999,2.5,5.1,7.6,1.1,0.9,0.9,0.9,2.9,8.6,12.4,6.9,19.3
6,28.0,CLE,NBA,C,31.0,31.0,32.1,3.7,7.0,0.528,0.0,0.1,0.0,3.7,6.9,0.5329999999999999,0.528,1.7,2.6,0.667,3.2,6.5,9.7,1.5,0.9,1.2,1.3,2.8,9.1,14.0,8.6,22.6
7,29.0,CLE,NBA,C,25.0,25.0,31.4,4.6,8.9,0.514,0.0,0.2,0.0,4.6,8.7,0.523,0.514,1.7,2.6,0.672,4.4,7.1,11.5,1.7,1.4,0.7,1.8,2.5,10.8,16.8,9.2,26.0
8,30.0,CLE,NBA,C,25.0,25.0,36.0,5.5,11.6,0.478,0.0,0.2,0.0,5.5,11.4,0.486,0.478,3.1,4.1,0.755,5.5,8.9,14.4,3.4,1.5,0.6,1.8,2.7,14.1,24.599999999999998,11.0,35.599999999999994
9,31.0,CLE,NBA,C,65.0,29.0,27.7,3.5,7.1,0.495,0.0,0.1,0.0,3.5,7.0,0.502,0.495,1.4,2.1,0.6809999999999999,2.9,6.8,9.7,2.2,1.1,0.6,1.1,2.5,8.4,14.600000000000001,8.5,23.1
10,32.0,CLE,NBA,C,26.0,26.0,24.5,4.3,7.7,0.555,0.0,0.1,0.0,4.3,7.6,0.561,0.555,1.3,1.7,0.733,2.2,4.3,6.5,1.3,0.7,0.6,1.3,2.2,9.8,13.3,5.6,18.9
11,33.0,TOT,NBA,C,53.0,0.0,9.4,1.0,2.3,0.42700000000000005,0.0,0.0,0.0,1.0,2.3,0.431,0.42700000000000005,0.6,0.9,0.64,0.7,2.0,2.7,0.7,0.3,0.2,0.4,1.3,2.6,4.299999999999999,2.5,6.799999999999999
12,33.0,CLE,NBA,C,31.0,0.0,10.0,1.0,2.5,0.42100000000000004,0.0,0.0,0.0,1.0,2.4,0.42700000000000005,0.42100000000000004,0.5,0.7,0.762,0.8,2.2,2.9,0.6,0.4,0.2,0.5,1.1,2.6,4.1,2.8000000000000003,6.9
13,33.0,GSW,NBA,C,22.0,0.0,8.5,1.0,2.2,0.43799999999999994,0.0,0.0,,1.0,2.2,0.43799999999999994,0.43799999999999994,0.7,1.3,0.552,0.6,1.7,2.3,0.7,0.2,0.2,0.3,1.6,2.6,4.3,2.1,6.4
14,34.0,GSW,NBA,C,14.0,1.0,6.6,0.4,1.0,0.35700000000000004,0.0,0.0,,0.4,1.0,0.35700000000000004,0.35700000000000004,0.6,0.8,0.727,0.9,1.1,1.9,0.7,0.2,0.2,0.6,1.1,1.3,2.9999999999999996,1.5,4.5
15,,,NBA,,627.0,209.0,24.0,2.9,5.6,0.51,0.0,0.1,0.024,2.9,5.6,0.516,0.511,1.5,2.4,0.631,2.4,4.8,7.2,1.2,0.9,0.6,0.9,2.6,7.3,11.2,6.3,17.5
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,CLE,NBA,,591.0,208.0,25.0,3.0,5.9,0.512,0.0,0.1,0.024,3.0,5.8,0.518,0.512,1.6,2.5,0.632,2.5,5.0,7.5,1.2,0.9,0.7,1.0,2.7,7.6,11.5,6.6000000000000005,18.1
18,,GSW,NBA,,36.0,1.0,7.7,0.7,1.7,0.419,0.0,0.0,,0.7,1.7,0.419,0.419,0.7,1.1,0.6,0.7,1.4,2.1,0.7,0.2,0.2,0.4,1.4,2.1,3.7999999999999994,1.7999999999999998,5.6
