,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,21.0,PHI,NBA,SG,82.0,82.0,32.8,3.3,6.7,0.493,0.6,1.7,0.331,2.7,4.9,0.55,0.536,1.9,2.6,0.743,1.1,4.6,5.7,3.0,1.7,0.6,1.7,2.5,9.0,14.400000000000002,6.8999999999999995,21.3
1,22.0,PHI,NBA,SF,82.0,82.0,37.6,4.2,8.4,0.5,0.7,1.9,0.354,3.5,6.5,0.5429999999999999,0.541,3.2,4.3,0.754,1.4,4.4,5.9,3.1,1.6,0.3,1.9,2.4,12.3,18.0,6.3,24.3
2,23.0,PHI,NBA,SG,76.0,76.0,40.3,5.8,13.0,0.447,0.6,2.0,0.31,5.2,11.0,0.47200000000000003,0.47100000000000003,5.9,7.3,0.82,1.0,4.7,5.7,5.7,2.0,0.4,3.4,2.6,18.2,27.200000000000003,7.1000000000000005,34.300000000000004
3,24.0,PHI,NBA,SF,82.0,82.0,39.5,7.1,15.6,0.456,1.2,3.7,0.32899999999999996,5.9,11.8,0.496,0.495,4.5,6.2,0.721,1.0,4.4,5.4,4.8,2.1,0.6,2.6,2.3,19.9,27.9,7.1,35.0
4,25.0,PHI,NBA,SF,82.0,82.0,39.9,6.6,14.0,0.473,1.0,3.2,0.307,5.6,10.8,0.521,0.507,4.6,6.4,0.7240000000000001,1.1,4.6,5.7,5.3,1.6,0.4,2.7,1.9,18.8,27.8,6.6,34.4
5,26.0,PHI,NBA,SF,82.0,82.0,38.9,6.0,13.7,0.44299999999999995,1.1,3.7,0.31,4.9,10.0,0.49200000000000005,0.485,3.8,5.2,0.733,1.0,5.5,6.5,5.8,1.7,0.7,2.7,1.8,17.1,27.000000000000004,7.9,34.900000000000006
6,27.0,PHI,NBA,SF,67.0,67.0,36.9,5.0,11.3,0.445,0.9,2.7,0.337,4.1,8.6,0.479,0.486,3.1,4.5,0.693,0.9,4.9,5.8,6.3,1.5,0.6,2.1,1.6,14.1,25.5,7.0,32.5
7,28.0,PHI,NBA,SF,62.0,62.0,35.6,4.6,10.2,0.45399999999999996,1.2,3.1,0.39399999999999996,3.4,7.1,0.48100000000000004,0.514,2.0,3.2,0.617,0.9,5.2,6.1,5.5,1.7,0.5,1.9,1.5,12.4,22.400000000000002,7.4,29.800000000000004
8,29.0,DEN,NBA,SG,80.0,80.0,34.7,5.0,11.0,0.451,1.1,3.6,0.317,3.8,7.4,0.515,0.502,1.9,3.4,0.574,1.0,4.3,5.3,5.4,1.7,0.7,2.6,1.6,13.0,22.2,6.7,28.9
9,30.0,GSW,NBA,SF,63.0,63.0,32.4,3.5,7.3,0.48,1.0,2.8,0.354,2.5,4.5,0.5579999999999999,0.5479999999999999,1.4,2.1,0.652,0.8,3.8,4.7,4.2,1.5,0.3,1.6,1.6,9.3,16.9,5.6,22.5
10,31.0,GSW,NBA,SF,77.0,0.0,26.9,3.0,6.4,0.466,1.0,2.8,0.349,2.0,3.7,0.5529999999999999,0.54,0.9,1.5,0.596,0.6,2.8,3.3,3.0,1.2,0.3,1.1,1.3,7.8,13.299999999999999,4.3,17.599999999999998
11,32.0,GSW,NBA,SF,65.0,1.0,26.6,2.7,5.7,0.478,0.8,2.4,0.35100000000000003,1.9,3.3,0.57,0.552,0.8,1.3,0.614,0.8,3.2,4.0,3.4,1.1,0.3,1.2,1.6,7.0,13.4,4.6000000000000005,18.0
12,33.0,GSW,NBA,SF,76.0,0.0,26.3,2.9,5.5,0.528,0.8,2.3,0.36200000000000004,2.0,3.1,0.6509999999999999,0.605,0.9,1.3,0.706,0.7,3.3,4.0,3.4,1.0,0.5,0.8,1.3,7.6,14.299999999999999,4.8,19.099999999999998
13,,,NBA,,976.0,759.0,34.7,4.7,10.0,0.465,0.9,2.8,0.336,3.7,7.2,0.514,0.511,2.8,3.9,0.7140000000000001,1.0,4.3,5.3,4.5,1.6,0.5,2.0,1.9,13.0,21.0,6.4,27.4
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,PHI,NBA,,615.0,615.0,37.7,5.4,11.6,0.461,0.9,2.8,0.331,4.5,8.9,0.501,0.5,3.7,5.0,0.737,1.1,4.8,5.8,4.9,1.7,0.5,2.4,2.1,15.3,23.800000000000004,7.0,30.800000000000004
16,,GSW,NBA,,281.0,64.0,27.9,3.0,6.2,0.48700000000000004,0.9,2.6,0.354,2.1,3.6,0.581,0.56,1.0,1.5,0.643,0.7,3.3,4.0,3.5,1.2,0.4,1.2,1.4,7.9,14.400000000000002,4.9,19.300000000000004
17,,DEN,NBA,,80.0,80.0,34.7,5.0,11.0,0.451,1.1,3.6,0.317,3.8,7.4,0.515,0.502,1.9,3.4,0.574,1.0,4.3,5.3,5.4,1.7,0.7,2.6,1.6,13.0,22.2,6.7,28.9
