,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,24.0,,NBA,SG-PG,68.0,2.0,13.7,2.1,5.3,0.392,0.7,1.9,0.34600000000000003,1.4,3.4,0.41700000000000004,0.45399999999999996,0.5,0.6,0.7909999999999999,0.2,0.6,0.8,1.7,0.3,0.0,0.9,1.4,5.3,8.0,0.8999999999999999,8.9
1,24.0,,NBA,SG,47.0,1.0,14.4,2.0,5.3,0.381,0.7,2.0,0.33,1.3,3.3,0.41200000000000003,0.44299999999999995,0.6,0.7,0.765,0.2,0.6,0.8,1.9,0.3,0.0,1.0,1.6,5.2,8.2,0.8999999999999999,9.1
2,24.0,,NBA,PG,21.0,1.0,12.2,2.2,5.4,0.41600000000000004,0.7,1.7,0.389,1.6,3.7,0.429,0.478,0.4,0.4,0.889,0.3,0.5,0.8,1.4,0.3,0.1,0.8,1.0,5.5,7.8,0.9,8.7
3,25.0,,NBA,PG,45.0,0.0,11.5,2.0,5.3,0.371,0.6,2.2,0.265,1.4,3.1,0.446,0.426,0.3,0.3,0.867,0.2,0.6,0.8,2.0,0.3,0.0,1.0,0.9,4.8,8.0,0.8999999999999999,8.9
4,25.0,,NBA,PG,22.0,0.0,14.9,2.7,6.9,0.395,0.8,3.0,0.258,2.0,3.9,0.5,0.451,0.4,0.4,1.0,0.0,0.8,0.8,2.1,0.4,0.0,1.1,1.3,6.6,9.700000000000001,1.2000000000000002,10.900000000000002
5,25.0,,NBA,PG,23.0,0.0,8.3,1.2,3.7,0.32899999999999996,0.4,1.4,0.281,0.8,2.3,0.358,0.382,0.2,0.3,0.7140000000000001,0.3,0.5,0.9,1.8,0.3,0.0,1.0,0.6,3.0,5.9,0.8,6.7
6,,26.0,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,27.0,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,28.0,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,29.0,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,30.0,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,31.0,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,32.0,,NBA,PG,25.0,0.0,4.9,0.9,2.4,0.38299999999999995,0.6,1.4,0.4,0.4,1.0,0.36,0.5,0.1,0.1,1.0,0.0,0.2,0.2,0.6,0.0,0.0,0.2,0.2,2.5,3.5,0.2,3.7
13,,,NBA,,138.0,2.0,11.4,1.8,4.8,0.384,0.6,1.9,0.32299999999999995,1.2,2.9,0.424,0.44799999999999995,0.4,0.4,0.8170000000000001,0.2,0.5,0.7,1.6,0.3,0.0,0.8,1.0,4.6,7.2,0.8,8.0
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,NBA,,47.0,1.0,14.4,2.0,5.3,0.381,0.7,2.0,0.33,1.3,3.3,0.41200000000000003,0.44299999999999995,0.6,0.7,0.765,0.2,0.6,0.8,1.9,0.3,0.0,1.0,1.6,5.2,8.2,0.8999999999999999,9.1
16,,,NBA,,25.0,0.0,4.9,0.9,2.4,0.38299999999999995,0.6,1.4,0.4,0.4,1.0,0.36,0.5,0.1,0.1,1.0,0.0,0.2,0.2,0.6,0.0,0.0,0.2,0.2,2.5,3.5,0.2,3.7
17,,,NBA,,23.0,0.0,8.3,1.2,3.7,0.32899999999999996,0.4,1.4,0.281,0.8,2.3,0.358,0.382,0.2,0.3,0.7140000000000001,0.3,0.5,0.9,1.8,0.3,0.0,1.0,0.6,3.0,5.9,0.8,6.7
18,,,NBA,,22.0,0.0,14.9,2.7,6.9,0.395,0.8,3.0,0.258,2.0,3.9,0.5,0.451,0.4,0.4,1.0,0.0,0.8,0.8,2.1,0.4,0.0,1.1,1.3,6.6,9.700000000000001,1.2000000000000002,10.900000000000002
19,,,NBA,,21.0,1.0,12.2,2.2,5.4,0.41600000000000004,0.7,1.7,0.389,1.6,3.7,0.429,0.478,0.4,0.4,0.889,0.3,0.5,0.8,1.4,0.3,0.1,0.8,1.0,5.5,7.8,0.9,8.7
