,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,20.0,DEN,NBA,C,80.0,53.0,28.2,4.0,7.7,0.519,0.0,0.0,0.0,4.0,7.7,0.521,0.519,2.5,4.3,0.578,2.6,3.5,6.1,1.9,1.6,0.8,2.3,3.7,10.5,14.599999999999998,5.8999999999999995,20.499999999999996
1,21.0,DEN,NBA,PF,77.0,77.0,32.5,4.3,8.2,0.53,0.0,0.0,0.0,4.3,8.2,0.532,0.53,3.1,4.6,0.682,2.0,4.5,6.5,2.2,1.5,0.5,2.4,3.6,11.8,15.800000000000002,6.5,22.300000000000004
2,22.0,DEN,NBA,C,55.0,18.0,23.9,3.5,7.0,0.503,0.0,0.0,0.0,3.5,7.0,0.505,0.503,2.5,3.9,0.66,1.9,4.0,5.9,1.5,0.9,0.9,1.7,3.0,9.6,12.8,5.800000000000001,18.6
3,23.0,DEN,NBA,PF,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,-2.0,0.0,-2.0
4,24.0,DEN,NBA,C,64.0,42.0,26.8,4.6,8.1,0.57,0.0,0.0,0.0,4.6,8.0,0.5710000000000001,0.57,3.0,4.4,0.6890000000000001,2.3,4.7,7.0,1.2,1.0,0.9,2.0,3.3,12.2,14.899999999999999,6.6000000000000005,21.5
5,25.0,DEN,NBA,PF,16.0,1.0,16.6,1.8,4.4,0.408,0.0,0.1,0.0,1.8,4.4,0.414,0.408,1.7,3.1,0.551,1.9,3.6,5.4,0.9,0.6,0.9,1.3,2.9,5.3,7.7,5.1000000000000005,12.8
6,26.0,DEN,NBA,C,77.0,76.0,32.6,5.6,9.2,0.604,0.0,0.1,0.2,5.5,9.1,0.607,0.604,3.5,4.8,0.723,2.4,5.4,7.8,1.4,1.2,1.3,1.9,3.6,14.6,17.9,7.9,25.799999999999997
7,27.0,DEN,NBA,C,82.0,82.0,33.6,5.1,8.7,0.5870000000000001,0.0,0.0,0.0,5.1,8.7,0.589,0.5870000000000001,3.6,5.1,0.7040000000000001,2.0,5.6,7.6,2.5,1.4,1.0,1.5,3.4,13.8,19.3,8.0,27.3
8,28.0,DEN,NBA,C,75.0,75.0,30.5,5.4,8.7,0.615,0.0,0.1,0.2,5.3,8.7,0.618,0.615,3.8,5.4,0.711,1.9,5.7,7.6,2.0,1.1,1.0,1.8,3.2,14.5,18.599999999999998,7.800000000000001,26.4
9,29.0,TOT,NBA,C,39.0,33.0,28.5,5.4,10.1,0.537,0.0,0.1,0.0,5.4,10.0,0.542,0.537,2.9,4.3,0.6729999999999999,1.6,5.8,7.5,2.1,1.1,1.0,2.5,2.4,13.7,17.0,7.9,24.9
10,29.0,DEN,NBA,C,28.0,27.0,29.5,5.1,10.0,0.509,0.0,0.1,0.0,5.1,10.0,0.513,0.509,3.2,4.8,0.677,1.5,5.9,7.4,2.2,1.3,0.9,2.8,2.5,13.4,16.5,8.1,24.6
11,29.0,WAS,NBA,C,11.0,6.0,25.8,6.2,10.2,0.607,0.0,0.2,0.0,6.2,10.0,0.618,0.607,2.1,3.2,0.657,1.8,5.7,7.5,1.7,0.5,1.2,1.7,2.4,14.5,18.0,7.4,25.4
12,30.0,WAS,NBA,PF,61.0,49.0,27.2,4.7,9.7,0.48,0.0,0.0,0.0,4.7,9.7,0.48100000000000004,0.48,3.2,4.4,0.7290000000000001,1.7,5.0,6.7,2.9,0.9,0.6,2.3,2.8,12.6,17.8,6.5,24.3
13,31.0,WAS,NBA,PF,53.0,37.0,29.4,5.6,11.2,0.503,0.0,0.1,0.2,5.6,11.1,0.506,0.504,2.9,5.0,0.583,1.2,4.3,5.5,2.9,1.2,0.9,2.2,3.1,14.2,19.0,6.4,25.4
14,32.0,WAS,NBA,PF,67.0,58.0,25.3,4.6,9.0,0.511,0.0,0.1,0.2,4.6,8.9,0.513,0.512,1.8,3.0,0.604,1.3,3.9,5.1,1.8,1.0,0.3,1.9,2.7,11.0,14.0,5.2,19.2
15,33.0,WAS,NBA,PF,57.0,11.0,19.2,3.7,6.7,0.544,0.0,0.1,0.0,3.7,6.7,0.5489999999999999,0.544,1.9,3.2,0.578,0.9,3.6,4.5,1.7,0.9,0.5,1.3,2.7,9.2,12.2,5.0,17.2
16,34.0,HOU,NBA,C,67.0,8.0,17.9,3.7,5.9,0.617,0.0,0.1,0.33299999999999996,3.6,5.8,0.624,0.621,1.7,2.9,0.589,1.4,2.8,4.2,1.0,0.8,0.6,1.1,2.4,9.1,11.4,4.199999999999999,15.6
17,,,NBA,,871.0,620.0,27.5,4.6,8.3,0.5479999999999999,0.0,0.1,0.146,4.6,8.3,0.55,0.5479999999999999,2.8,4.3,0.6609999999999999,1.8,4.5,6.3,1.9,1.1,0.8,1.9,3.1,12.0,15.700000000000001,6.3999999999999995,22.1
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,DEN,NBA,,555.0,451.0,29.6,4.6,8.3,0.56,0.0,0.0,0.087,4.6,8.2,0.562,0.56,3.1,4.6,0.6779999999999999,2.1,4.8,7.0,1.8,1.3,0.9,2.0,3.4,12.4,16.1,7.0,23.1
20,,WAS,NBA,,249.0,161.0,25.3,4.7,9.2,0.511,0.0,0.1,0.125,4.7,9.1,0.514,0.512,2.4,3.8,0.63,1.3,4.3,5.6,2.3,1.0,0.6,1.9,2.8,11.8,15.799999999999999,5.8999999999999995,21.7
21,,HOU,NBA,,67.0,8.0,17.9,3.7,5.9,0.617,0.0,0.1,0.33299999999999996,3.6,5.8,0.624,0.621,1.7,2.9,0.589,1.4,2.8,4.2,1.0,0.8,0.6,1.1,2.4,9.1,11.4,4.199999999999999,15.6
