,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,20.0,NJN,NBA,PF,66.0,30.0,19.9,2.4,6.2,0.39299999999999996,1.0,2.9,0.365,1.4,3.3,0.41700000000000004,0.478,1.5,1.8,0.845,1.6,3.1,4.7,0.8,0.7,0.3,1.0,2.4,7.4,9.600000000000001,4.1,13.700000000000001
1,21.0,ORL,NBA,PF,63.0,6.0,14.5,2.7,6.2,0.436,1.2,3.3,0.37,1.4,2.8,0.514,0.536,1.1,1.3,0.866,1.1,2.1,3.2,0.6,0.4,0.2,0.9,1.3,7.7,9.1,2.7,11.8
2,22.0,ORL,NBA,PF,64.0,14.0,22.3,3.5,8.2,0.43,2.1,5.3,0.39299999999999996,1.4,2.9,0.5,0.5579999999999999,1.5,1.8,0.812,2.0,3.5,5.5,0.8,0.5,0.6,0.8,2.1,10.6,13.399999999999999,4.6,18.0
3,23.0,ORL,NBA,PF,61.0,61.0,32.2,5.4,12.4,0.439,2.7,6.9,0.39299999999999996,2.7,5.5,0.496,0.5479999999999999,2.5,2.8,0.877,3.7,4.0,7.7,0.9,0.8,0.4,0.9,2.4,16.1,20.700000000000003,5.2,25.900000000000002
4,24.0,NOH,NBA,PF,81.0,22.0,30.9,5.8,13.8,0.423,2.6,6.9,0.382,3.2,6.9,0.46399999999999997,0.519,1.9,2.2,0.8440000000000001,2.4,4.0,6.4,1.2,0.5,0.4,1.2,2.2,16.2,19.8,4.9,24.700000000000003
5,25.0,NOP,NBA,PF,22.0,14.0,36.1,7.0,16.1,0.43799999999999994,3.0,7.5,0.409,4.0,8.6,0.46299999999999997,0.532,2.7,2.8,0.9520000000000001,3.0,3.5,6.5,0.8,0.5,0.3,0.9,2.1,19.8,23.5,4.3,27.8
6,26.0,NOP,NBA,PF,61.0,5.0,27.5,4.8,12.0,0.39899999999999997,2.0,5.9,0.34,2.8,6.1,0.457,0.483,2.1,2.5,0.8540000000000001,1.8,3.1,4.8,0.9,0.5,0.3,1.0,1.9,13.7,16.3,3.9,20.2
7,27.0,NOP,NBA,PF,66.0,7.0,30.4,6.0,14.1,0.42700000000000005,2.0,5.4,0.366,4.0,8.7,0.466,0.498,3.0,3.5,0.873,2.0,4.0,6.0,1.1,0.6,0.4,1.4,1.7,17.0,19.8,5.0,24.8
8,28.0,HOU,NBA,PF,72.0,72.0,29.4,4.5,10.7,0.418,2.8,7.0,0.40299999999999997,1.7,3.7,0.446,0.55,1.8,2.1,0.86,1.6,3.0,4.6,0.9,0.4,0.2,0.8,2.0,13.6,16.2,3.6,19.8
9,,,NBA,,556.0,231.0,26.5,4.5,10.8,0.42200000000000004,2.1,5.6,0.381,2.4,5.2,0.467,0.521,1.9,2.3,0.861,2.0,3.4,5.4,0.9,0.5,0.4,1.0,2.0,13.2,16.0,4.3,20.3
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,"NOH,NOP",NBA,,230.0,48.0,30.4,5.7,13.6,0.42100000000000004,2.3,6.3,0.371,3.4,7.3,0.46299999999999997,0.506,2.3,2.7,0.868,2.2,3.7,5.9,1.1,0.5,0.4,1.2,1.9,16.1,19.3,4.6000000000000005,23.900000000000002
12,,ORL,NBA,,188.0,81.0,22.9,3.9,8.9,0.435,2.0,5.2,0.38799999999999996,1.9,3.7,0.501,0.5489999999999999,1.7,2.0,0.8540000000000001,2.3,3.2,5.5,0.8,0.6,0.4,0.9,1.9,11.4,14.4,4.2,18.6
13,,HOU,NBA,,72.0,72.0,29.4,4.5,10.7,0.418,2.8,7.0,0.40299999999999997,1.7,3.7,0.446,0.55,1.8,2.1,0.86,1.6,3.0,4.6,0.9,0.4,0.2,0.8,2.0,13.6,16.2,3.6,19.8
14,,NJN,NBA,,66.0,30.0,19.9,2.4,6.2,0.39299999999999996,1.0,2.9,0.365,1.4,3.3,0.41700000000000004,0.478,1.5,1.8,0.845,1.6,3.1,4.7,0.8,0.7,0.3,1.0,2.4,7.4,9.600000000000001,4.1,13.700000000000001
