,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,23.0,,NBA,SF,36.0,7.0,15.7,2.1,5.0,0.414,0.7,1.6,0.414,1.4,3.4,0.415,0.48100000000000004,0.9,1.1,0.805,0.6,1.3,1.9,0.9,0.3,0.1,0.9,1.3,5.8,7.299999999999999,1.7000000000000002,9.0
1,24.0,,NBA,SG,17.0,0.0,15.1,2.2,4.8,0.457,0.3,1.2,0.25,1.9,3.6,0.525,0.488,1.1,1.4,0.826,0.6,1.2,1.9,1.2,0.4,0.0,1.3,1.9,5.8,7.500000000000001,1.6,9.100000000000001
2,,25.0,Did Not Play (other pro league—Italy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,26.0,"Did Not Play (other pro league—Russia, Croatia)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,27.0,Did Not Play (other pro league—Israel),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,28.0,"Did Not Play (other pro league—D-League, Spain)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,29.0,,NBA,SF,17.0,12.0,27.1,3.2,8.4,0.387,1.4,3.6,0.39299999999999996,1.8,4.8,0.38299999999999995,0.47200000000000003,1.7,2.0,0.853,0.5,1.5,2.0,1.5,0.3,0.2,1.5,2.1,9.6,11.6,2.0,13.6
7,30.0,,NBA,SF,65.0,2.0,23.0,3.6,9.5,0.38299999999999995,1.5,4.4,0.33299999999999996,2.2,5.1,0.426,0.46,1.9,2.3,0.857,0.5,1.8,2.3,1.6,0.7,0.1,1.2,2.0,10.7,13.2,2.6,15.799999999999999
8,31.0,,NBA,SF,78.0,26.0,22.7,2.5,6.2,0.4,1.1,3.2,0.33899999999999997,1.4,3.0,0.46399999999999997,0.48700000000000004,1.2,1.5,0.78,0.5,1.7,2.2,1.0,0.6,0.1,0.8,1.9,7.2,8.899999999999999,2.4,11.299999999999999
9,32.0,,NBA,SG,74.0,19.0,23.6,2.6,5.9,0.44299999999999995,1.0,2.8,0.348,1.6,3.1,0.53,0.526,1.1,1.4,0.812,0.4,2.3,2.8,1.1,0.8,0.1,0.8,2.0,7.4,9.2,3.1999999999999997,12.399999999999999
10,33.0,,NBA,SG,13.0,0.0,14.8,1.6,4.5,0.35600000000000004,0.9,2.8,0.324,0.7,1.7,0.409,0.45799999999999996,0.8,1.2,0.733,0.1,2.0,2.1,1.1,0.3,0.1,0.2,1.9,5.0,7.1000000000000005,2.4,9.5
11,34.0,,NBA,SF,30.0,0.0,10.3,1.0,2.7,0.375,0.5,1.5,0.318,0.5,1.2,0.444,0.46299999999999997,0.4,0.5,0.75,0.1,0.7,0.8,0.4,0.1,0.0,0.2,1.2,2.9,3.5999999999999996,0.7999999999999999,4.3999999999999995
12,,,NBA,,330.0,66.0,20.6,2.6,6.3,0.405,1.0,2.9,0.344,1.6,3.4,0.457,0.484,1.2,1.5,0.816,0.5,1.7,2.2,1.1,0.6,0.1,0.9,1.8,7.3,9.1,2.4,11.5
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,NBA,,152.0,45.0,23.1,2.6,6.1,0.42100000000000004,1.0,3.0,0.34299999999999997,1.5,3.1,0.49700000000000005,0.505,1.1,1.4,0.795,0.5,2.0,2.5,1.1,0.7,0.1,0.8,1.9,7.3,9.2,2.8000000000000003,12.0
15,,,NBA,,82.0,14.0,23.9,3.5,9.2,0.384,1.5,4.2,0.344,2.1,5.0,0.41700000000000004,0.462,1.9,2.2,0.856,0.5,1.7,2.2,1.6,0.6,0.1,1.3,2.0,10.4,12.8,2.4,15.200000000000001
16,,,NBA,,53.0,7.0,15.5,2.1,4.9,0.42700000000000005,0.5,1.5,0.37200000000000005,1.6,3.5,0.451,0.483,1.0,1.2,0.813,0.6,1.3,1.9,1.0,0.3,0.1,1.0,1.5,5.8,7.4,1.7000000000000002,9.100000000000001
17,,,NBA,,30.0,0.0,10.3,1.0,2.7,0.375,0.5,1.5,0.318,0.5,1.2,0.444,0.46299999999999997,0.4,0.5,0.75,0.1,0.7,0.8,0.4,0.1,0.0,0.2,1.2,2.9,3.5999999999999996,0.7999999999999999,4.3999999999999995
18,,,NBA,,13.0,0.0,14.8,1.6,4.5,0.35600000000000004,0.9,2.8,0.324,0.7,1.7,0.409,0.45799999999999996,0.8,1.2,0.733,0.1,2.0,2.1,1.1,0.3,0.1,0.2,1.9,5.0,7.1000000000000005,2.4,9.5
