,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,20.0,NOH,NBA,SG,61.0,26.0,23.2,2.4,6.4,0.37200000000000005,0.5,1.4,0.326,1.9,5.0,0.385,0.408,1.0,1.8,0.546,0.3,1.5,1.8,2.1,0.4,0.1,1.2,2.0,6.2,9.5,2.0,11.5
1,21.0,NOP,NBA,PG,69.0,4.0,19.4,2.8,6.9,0.405,0.5,1.4,0.364,2.3,5.4,0.41600000000000004,0.44299999999999995,1.6,2.5,0.636,0.4,1.5,1.9,2.3,0.7,0.1,1.1,1.9,7.7,11.6,2.3000000000000003,13.9
2,22.0,TOT,NBA,PG-SG,76.0,5.0,20.6,2.7,6.5,0.409,0.5,1.7,0.298,2.2,4.8,0.449,0.449,1.1,1.7,0.675,0.4,1.6,2.0,2.0,0.6,0.2,0.9,1.9,7.0,10.5,2.4000000000000004,12.9
3,22.0,NOP,NBA,SG,35.0,3.0,22.1,2.5,6.3,0.387,0.4,1.4,0.28,2.1,4.9,0.419,0.419,1.5,2.0,0.746,0.3,1.6,1.9,2.5,0.5,0.2,0.9,1.9,6.8,11.2,2.3000000000000003,13.5
4,22.0,LAC,NBA,PG,41.0,2.0,19.3,2.9,6.7,0.42700000000000005,0.6,2.0,0.309,2.2,4.7,0.47700000000000004,0.473,0.8,1.3,0.5820000000000001,0.4,1.7,2.0,1.7,0.7,0.2,0.9,2.0,7.1,9.999999999999998,2.6,12.599999999999998
5,23.0,LAC,NBA,SG,67.0,7.0,21.9,3.4,7.7,0.43799999999999994,0.9,2.8,0.335,2.4,4.9,0.495,0.498,1.2,1.7,0.6809999999999999,0.3,1.6,1.9,1.5,0.7,0.1,0.9,2.0,8.9,11.299999999999999,2.4,13.7
6,24.0,LAC,NBA,SG,74.0,29.0,27.8,4.4,9.9,0.442,1.5,4.0,0.371,2.9,5.8,0.491,0.518,1.8,2.6,0.691,0.3,1.9,2.2,2.8,0.6,0.1,1.6,2.5,12.0,16.299999999999997,2.6,18.9
7,,,NBA,,347.0,71.0,22.6,3.1,7.5,0.418,0.8,2.3,0.345,2.3,5.2,0.45,0.47100000000000003,1.3,2.1,0.6509999999999999,0.3,1.6,2.0,2.1,0.6,0.1,1.1,2.1,8.4,11.8,2.3000000000000003,14.100000000000001
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,LAC,NBA,,182.0,38.0,23.7,3.7,8.4,0.43799999999999994,1.1,3.1,0.35,2.6,5.3,0.49,0.503,1.3,2.0,0.6709999999999999,0.3,1.7,2.1,2.0,0.7,0.1,1.2,2.2,9.7,12.8,2.5,15.3
10,,"NOH,NOP",NBA,,165.0,33.0,21.4,2.6,6.6,0.39,0.5,1.4,0.332,2.1,5.2,0.405,0.425,1.3,2.1,0.631,0.3,1.5,1.9,2.3,0.5,0.2,1.1,1.9,6.9,10.700000000000001,2.2,12.900000000000002
