,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,20.0,NOK,NBA,PF,29.0,1.0,9.2,1.0,2.4,0.4,0.0,0.0,,1.0,2.4,0.4,0.4,0.4,0.7,0.632,0.6,1.7,2.3,0.1,0.1,0.2,0.4,0.6,2.3,2.6999999999999997,2.0,4.699999999999999
1,21.0,NOK,NBA,PF,21.0,3.0,7.7,0.7,2.1,0.341,0.0,0.0,0.0,0.7,2.0,0.349,0.341,0.6,0.8,0.75,0.6,1.4,2.0,0.1,0.1,0.1,0.5,0.8,2.0,2.3,1.6,3.9
2,22.0,DAL,NBA,C,79.0,1.0,19.7,3.1,6.2,0.499,0.0,0.1,0.0,3.1,6.2,0.503,0.499,2.1,2.5,0.8220000000000001,1.5,2.9,4.4,0.7,0.3,0.6,1.0,1.9,8.3,10.200000000000001,3.8,14.0
3,23.0,DAL,NBA,C,81.0,0.0,19.4,3.1,6.3,0.496,0.0,0.1,0.0,3.1,6.2,0.502,0.496,2.2,2.6,0.867,1.6,2.9,4.5,0.5,0.3,0.7,1.1,1.7,8.5,10.0,3.8999999999999995,13.899999999999999
4,24.0,ORL,NBA,PF,50.0,3.0,13.0,2.4,4.7,0.511,0.0,0.0,,2.4,4.7,0.511,0.511,1.0,1.3,0.825,1.1,1.5,2.5,0.4,0.2,0.5,0.6,1.4,5.8,7.1000000000000005,2.2,9.3
5,25.0,ORL,NBA,PF,76.0,51.0,26.1,4.4,8.5,0.515,0.0,0.0,0.0,4.4,8.5,0.516,0.515,2.5,3.1,0.815,1.8,3.8,5.6,0.8,0.4,0.7,1.3,2.1,11.2,13.299999999999999,4.9,18.2
6,26.0,BOS,NBA,PF,59.0,39.0,31.7,5.1,10.7,0.479,0.0,0.0,,5.1,10.7,0.479,0.479,2.2,2.8,0.81,1.6,4.6,6.2,0.9,0.6,0.9,1.1,2.3,12.5,14.8,6.1,20.9
7,27.0,BOS,NBA,PF,81.0,69.0,27.6,3.5,7.3,0.486,0.0,0.0,0.0,3.5,7.2,0.48700000000000004,0.486,1.6,1.9,0.86,1.6,3.7,5.2,1.0,0.5,0.8,1.0,2.3,8.7,11.299999999999999,5.0,16.299999999999997
8,28.0,BOS,NBA,PF,82.0,73.0,27.6,4.3,8.8,0.486,0.0,0.1,0.33299999999999996,4.3,8.8,0.48700000000000004,0.48700000000000004,2.5,2.9,0.858,2.0,3.8,5.7,1.1,0.4,0.9,1.2,2.3,11.1,14.100000000000001,5.1000000000000005,19.200000000000003
9,29.0,BOS,NBA,PF,82.0,43.0,23.5,4.2,8.3,0.504,0.1,0.4,0.281,4.1,7.9,0.515,0.51,2.1,2.6,0.79,1.7,3.2,4.9,1.3,0.5,0.4,1.0,1.7,10.6,13.899999999999999,4.1000000000000005,18.0
10,30.0,LAL,NBA,PF,66.0,0.0,20.3,2.6,4.8,0.5489999999999999,0.0,0.0,0.0,2.6,4.8,0.552,0.5489999999999999,1.9,2.2,0.845,1.6,2.7,4.3,1.1,0.5,0.8,0.6,1.9,7.2,10.4,4.0,14.4
11,31.0,LAC,NBA,PF,52.0,0.0,11.1,2.1,3.6,0.575,0.0,0.1,0.33299999999999996,2.0,3.5,0.579,0.578,1.5,1.7,0.875,0.8,1.7,2.5,0.4,0.3,0.2,0.6,0.9,5.6,6.6,2.2,8.8
12,,,NBA,,758.0,283.0,21.6,3.4,6.8,0.499,0.0,0.1,0.207,3.4,6.7,0.502,0.5,1.9,2.3,0.8320000000000001,1.5,3.0,4.5,0.8,0.4,0.6,0.9,1.8,8.7,10.899999999999999,4.0,14.899999999999999
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,BOS,NBA,,304.0,224.0,27.3,4.2,8.6,0.489,0.0,0.1,0.275,4.2,8.5,0.49200000000000005,0.491,2.1,2.5,0.8290000000000001,1.7,3.7,5.5,1.1,0.5,0.7,1.1,2.1,10.6,13.4,4.9,18.3
15,,DAL,NBA,,160.0,1.0,19.6,3.1,6.3,0.498,0.0,0.1,0.0,3.1,6.2,0.503,0.498,2.2,2.5,0.845,1.6,2.9,4.5,0.6,0.3,0.6,1.1,1.8,8.4,10.1,3.8,13.899999999999999
16,,ORL,NBA,,126.0,54.0,20.9,3.6,7.0,0.514,0.0,0.0,0.0,3.6,7.0,0.515,0.514,1.9,2.3,0.818,1.5,2.9,4.4,0.6,0.3,0.6,1.0,1.8,9.1,10.8,3.8,14.600000000000001
17,,LAL,NBA,,66.0,0.0,20.3,2.6,4.8,0.5489999999999999,0.0,0.0,0.0,2.6,4.8,0.552,0.5489999999999999,1.9,2.2,0.845,1.6,2.7,4.3,1.1,0.5,0.8,0.6,1.9,7.2,10.4,4.0,14.4
18,,LAC,NBA,,52.0,0.0,11.1,2.1,3.6,0.575,0.0,0.1,0.33299999999999996,2.0,3.5,0.579,0.578,1.5,1.7,0.875,0.8,1.7,2.5,0.4,0.3,0.2,0.6,0.9,5.6,6.6,2.2,8.8
19,,NOK,NBA,,50.0,4.0,8.6,0.9,2.3,0.377,0.0,0.0,0.0,0.9,2.3,0.381,0.377,0.5,0.7,0.6859999999999999,0.6,1.6,2.2,0.1,0.1,0.2,0.4,0.7,2.2,2.6,1.9000000000000001,4.5
