,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,20.0,LAC,NBA,C,53,13,14.5,1.8,2.8,0.633,0.0,0.0,,1.8,2.8,0.633,0.633,0.8,2.1,0.385,1.4,3.1,4.5,0.2,0.2,1.1,0.8,1.8,4.3,5.3,4.4,9.7
1,21.0,LAC,NBA,C,70,12,16.2,2.1,3.4,0.605,0.0,0.0,0.0,2.1,3.4,0.61,0.605,0.7,1.8,0.375,1.7,3.3,5.0,0.3,0.2,0.9,1.1,2.2,4.8,6.0,4.4,10.4
2,22.0,LAC,NBA,C,80,66,25.6,2.9,4.3,0.6859999999999999,0.0,0.0,0.0,2.9,4.3,0.688,0.6859999999999999,1.2,2.7,0.452,2.6,4.6,7.2,0.5,0.5,1.8,1.3,3.2,7.1,9.399999999999999,6.8999999999999995,16.299999999999997
3,23.0,LAC,NBA,C,66,66,27.2,3.1,4.9,0.632,0.0,0.0,0.0,3.1,4.9,0.634,0.632,1.1,2.1,0.525,3.1,5.2,8.3,0.3,0.5,2.0,1.1,2.9,7.4,10.000000000000002,7.7,17.700000000000003
4,24.0,LAC,NBA,C,82,82,24.5,3.8,6.0,0.643,0.0,0.0,,3.8,6.0,0.643,0.643,1.2,3.0,0.386,2.6,4.7,7.2,0.3,0.6,1.4,1.2,2.3,8.8,10.8,6.699999999999999,17.5
5,25.0,LAC,NBA,C,82,82,35.0,4.2,6.3,0.6759999999999999,0.0,0.0,,4.2,6.3,0.6759999999999999,0.6759999999999999,2.0,4.6,0.428,4.0,9.5,13.6,0.9,1.0,2.5,1.5,3.2,10.4,14.7,13.0,27.7
6,26.0,LAC,NBA,C,82,82,34.4,4.6,6.5,0.71,0.0,0.0,0.25,4.6,6.5,0.713,0.711,2.3,5.7,0.397,4.8,10.1,15.0,0.7,1.0,2.2,1.3,3.0,11.5,16.4,13.3,29.7
7,27.0,LAC,NBA,C,77,77,33.7,4.6,6.6,0.703,0.0,0.0,0.0,4.6,6.6,0.7040000000000001,0.703,3.5,8.0,0.43,3.5,10.3,13.8,1.2,0.7,2.3,1.4,2.7,12.7,17.200000000000003,13.3,30.500000000000004
8,28.0,LAC,NBA,C,81,81,31.7,5.1,7.1,0.7140000000000001,0.0,0.0,0.0,5.1,7.1,0.7170000000000001,0.7140000000000001,2.5,5.2,0.48200000000000004,3.7,10.1,13.8,1.2,0.6,1.7,1.4,2.6,12.7,17.4,12.399999999999999,29.799999999999997
9,,,NBA,,673,561,27.7,3.7,5.5,0.677,0.0,0.0,0.091,3.7,5.4,0.679,0.677,1.7,4.1,0.43,3.1,7.0,10.1,0.7,0.6,1.8,1.3,2.7,9.1,12.299999999999999,9.4,21.7
