,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,21.0,PHI,NBA,C,79.0,2.0,16.0,3.2,6.4,0.502,0.0,0.1,0.25,3.2,6.3,0.506,0.504,1.3,1.7,0.773,1.6,2.2,3.7,0.4,0.3,0.7,0.6,2.3,7.7,9.500000000000002,3.2,12.700000000000003
1,22.0,PHI,NBA,C,62.0,1.0,16.4,3.4,7.2,0.47700000000000004,0.0,0.1,0.0,3.4,7.1,0.483,0.47700000000000004,1.7,2.3,0.745,1.4,2.7,4.1,0.6,0.5,0.5,0.8,2.5,8.6,10.399999999999999,3.7,14.099999999999998
2,23.0,PHI,NBA,C,64.0,1.0,11.5,2.3,4.5,0.495,0.0,0.1,0.25,2.2,4.5,0.498,0.49700000000000005,0.9,1.1,0.753,1.0,2.3,3.3,0.5,0.1,0.3,0.6,1.9,5.4,6.800000000000001,2.6999999999999997,9.5
3,24.0,MEM,NBA,PF,60.0,54.0,22.4,3.7,8.1,0.45299999999999996,0.0,0.1,0.0,3.7,8.1,0.456,0.45299999999999996,1.4,1.8,0.7709999999999999,2.2,4.0,6.2,0.8,0.4,0.5,1.2,2.5,8.8,11.400000000000002,4.9,16.300000000000004
4,25.0,TOT,NBA,C,79.0,3.0,16.5,3.3,7.4,0.445,0.0,0.1,0.3,3.3,7.3,0.44799999999999995,0.44799999999999995,1.7,2.2,0.7709999999999999,1.8,3.0,4.9,0.6,0.3,0.7,1.0,2.2,8.3,10.3,4.0,14.3
5,25.0,MEM,NBA,C,40.0,2.0,14.5,2.7,6.2,0.429,0.1,0.1,0.4,2.6,6.1,0.43,0.433,1.2,1.7,0.716,1.9,2.8,4.7,0.5,0.3,0.7,0.9,2.2,6.6,8.6,3.8,12.399999999999999
6,25.0,CLE,NBA,C,39.0,1.0,18.5,3.9,8.6,0.457,0.0,0.1,0.2,3.9,8.5,0.461,0.45799999999999996,2.2,2.8,0.8059999999999999,1.8,3.3,5.1,0.7,0.4,0.7,1.2,2.3,10.2,12.2,4.3999999999999995,16.599999999999998
7,26.0,GSW,NBA,C,79.0,3.0,12.4,2.5,5.6,0.441,0.1,0.4,0.258,2.4,5.2,0.455,0.45,1.4,1.7,0.821,1.3,2.4,3.7,0.4,0.1,0.4,0.8,1.9,6.4,7.7,2.9,10.6
8,27.0,GSW,NBA,C,76.0,9.0,15.9,4.2,8.5,0.49200000000000005,0.1,0.2,0.278,4.1,8.3,0.498,0.496,2.0,2.3,0.843,1.4,2.8,4.3,0.9,0.3,0.4,1.1,2.5,10.4,12.500000000000002,3.4999999999999996,16.0
9,28.0,GSW,NBA,C,72.0,0.0,11.6,2.7,6.3,0.43200000000000005,0.3,0.9,0.387,2.4,5.5,0.439,0.45799999999999996,1.3,1.6,0.825,1.1,2.3,3.3,0.8,0.3,0.5,0.9,1.6,7.1,8.9,3.0999999999999996,12.0
10,29.0,LAC,NBA,C,82.0,2.0,15.7,3.0,6.7,0.445,1.3,3.4,0.37200000000000005,1.7,3.3,0.52,0.539,1.5,1.7,0.8759999999999999,1.1,3.5,4.5,0.8,0.3,0.5,0.8,2.8,8.7,10.599999999999998,4.3,14.899999999999999
11,,,NBA,,653.0,75.0,15.3,3.1,6.7,0.46399999999999997,0.2,0.6,0.349,2.9,6.1,0.47600000000000003,0.48100000000000004,1.5,1.8,0.8,1.4,2.8,4.2,0.6,0.3,0.5,0.9,2.2,7.9,9.6,3.5999999999999996,13.2
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,GSW,NBA,,227.0,12.0,13.3,3.1,6.8,0.46,0.2,0.5,0.33299999999999996,3.0,6.3,0.47,0.47200000000000003,1.6,1.9,0.831,1.3,2.5,3.8,0.7,0.2,0.4,0.9,2.0,8.0,9.799999999999999,3.1,12.899999999999999
14,,PHI,NBA,,205.0,4.0,14.7,3.0,6.0,0.49200000000000005,0.0,0.1,0.17600000000000002,3.0,6.0,0.496,0.493,1.3,1.7,0.757,1.3,2.4,3.7,0.5,0.3,0.5,0.7,2.2,7.2,8.8,3.1999999999999997,12.0
15,,MEM,NBA,,100.0,56.0,19.2,3.3,7.4,0.445,0.0,0.1,0.25,3.3,7.3,0.447,0.446,1.3,1.8,0.75,2.1,3.5,5.6,0.7,0.3,0.6,1.1,2.3,7.9,10.3,4.3999999999999995,14.7
16,,LAC,NBA,,82.0,2.0,15.7,3.0,6.7,0.445,1.3,3.4,0.37200000000000005,1.7,3.3,0.52,0.539,1.5,1.7,0.8759999999999999,1.1,3.5,4.5,0.8,0.3,0.5,0.8,2.8,8.7,10.599999999999998,4.3,14.899999999999999
17,,CLE,NBA,,39.0,1.0,18.5,3.9,8.6,0.457,0.0,0.1,0.2,3.9,8.5,0.461,0.45799999999999996,2.2,2.8,0.8059999999999999,1.8,3.3,5.1,0.7,0.4,0.7,1.2,2.3,10.2,12.2,4.3999999999999995,16.599999999999998
