,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,21.0,CHA,NBA,PG,80.0,54.0,30.1,4.3,11.0,0.391,1.2,3.4,0.358,3.1,7.7,0.405,0.446,2.0,2.8,0.725,1.0,2.4,3.3,5.6,1.3,0.1,2.3,2.3,11.9,21.8,3.8000000000000003,25.6
1,22.0,CHA,NBA,PG,78.0,75.0,36.3,5.0,13.1,0.384,1.3,4.0,0.33,3.7,9.1,0.40700000000000003,0.434,2.6,3.3,0.797,0.7,2.8,3.4,7.0,1.5,0.1,2.9,2.3,14.0,25.8,4.3999999999999995,30.2
2,23.0,CHA,NBA,PG,79.0,79.0,37.6,5.2,12.6,0.413,0.7,2.5,0.28,4.5,10.1,0.447,0.441,3.3,4.1,0.8,0.5,2.5,3.0,7.4,1.2,0.2,2.7,2.3,14.4,27.000000000000004,3.9000000000000004,30.900000000000006
3,24.0,CHA,NBA,PG,82.0,81.0,37.6,5.4,13.2,0.408,0.7,2.5,0.285,4.7,10.7,0.43700000000000006,0.435,2.7,3.3,0.805,0.7,3.1,3.8,6.7,1.5,0.4,2.8,2.3,14.2,25.499999999999996,5.0,30.499999999999996
4,25.0,CHA,NBA,PG,80.0,80.0,33.0,4.9,10.6,0.45899999999999996,0.8,2.0,0.385,4.1,8.6,0.475,0.494,1.7,2.2,0.763,0.7,2.9,3.6,5.6,1.5,0.3,2.1,2.2,12.1,21.9,4.7,26.599999999999998
5,26.0,TOT,NBA,PG-SG,75.0,54.0,36.5,5.7,13.4,0.425,1.5,4.4,0.353,4.1,9.0,0.46,0.483,2.6,3.2,0.805,0.6,2.9,3.6,8.3,1.7,0.1,2.9,2.0,15.5,29.800000000000004,4.699999999999999,34.5
6,26.0,NYK,NBA,PG,54.0,54.0,38.4,6.3,14.8,0.423,1.6,5.0,0.32799999999999996,4.6,9.9,0.47100000000000003,0.478,2.9,3.4,0.867,0.7,2.9,3.6,9.0,1.8,0.2,3.3,2.1,17.1,32.5,4.9,37.4
7,26.0,DEN,NBA,SG,21.0,0.0,31.6,4.2,9.7,0.431,1.3,2.9,0.45899999999999996,2.9,6.8,0.42,0.5,1.8,2.9,0.617,0.4,3.2,3.6,6.5,1.3,0.0,2.1,1.8,11.5,22.799999999999997,4.5,27.299999999999997
8,27.0,POR,NBA,PG,60.0,56.0,31.8,4.4,10.7,0.40700000000000003,1.0,3.4,0.305,3.3,7.3,0.45299999999999996,0.455,1.7,2.1,0.8059999999999999,0.5,2.0,2.5,6.5,1.3,0.2,2.8,2.0,11.4,22.099999999999998,3.5,25.599999999999998
9,28.0,NYK,NBA,PG,68.0,68.0,34.0,5.5,13.0,0.42700000000000005,1.4,3.8,0.36,4.2,9.2,0.455,0.48,1.5,1.9,0.789,0.8,2.1,2.9,5.5,1.4,0.2,2.3,1.9,13.9,23.400000000000002,3.7,27.1
10,29.0,NYK,NBA,PG,65.0,65.0,31.0,3.7,9.4,0.395,1.0,3.0,0.318,2.7,6.4,0.431,0.446,1.4,1.9,0.721,0.8,2.2,3.0,5.6,1.2,0.4,2.0,2.4,9.7,19.7,3.8000000000000003,23.5
11,30.0,DAL,NBA,PG,29.0,3.0,9.7,1.5,3.7,0.406,0.3,1.2,0.294,1.1,2.5,0.45799999999999996,0.45299999999999996,0.4,0.5,0.8,0.1,0.8,0.9,1.4,0.4,0.1,0.6,0.6,3.7,6.0,1.3000000000000003,7.300000000000001
12,31.0,DAL,NBA,PG,80.0,31.0,27.4,3.5,8.5,0.406,0.8,2.7,0.282,2.7,5.9,0.46299999999999997,0.45,1.9,2.2,0.847,0.5,2.8,3.2,3.6,0.9,0.2,1.5,1.8,9.5,15.7,3.9,19.599999999999998
13,32.0,LAC,NBA,PG,80.0,11.0,21.3,2.8,6.4,0.43,0.6,1.8,0.319,2.2,4.6,0.473,0.475,0.6,0.8,0.7809999999999999,0.4,2.3,2.7,2.4,0.8,0.3,1.0,1.6,6.7,10.9,3.3999999999999995,14.3
14,,,NBA,,856.0,657.0,31.6,4.5,10.8,0.413,1.0,2.9,0.327,3.5,7.9,0.445,0.457,2.0,2.5,0.7879999999999999,0.6,2.5,3.1,5.7,1.3,0.2,2.2,2.0,11.9,21.7,4.0,25.7
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,CHA,NBA,,399.0,369.0,34.9,5.0,12.1,0.41,0.9,2.9,0.327,4.0,9.2,0.435,0.44799999999999995,2.4,3.1,0.782,0.7,2.7,3.4,6.4,1.4,0.2,2.6,2.3,13.3,24.2,4.3,28.5
17,,NYK,NBA,,187.0,187.0,34.2,5.1,12.3,0.41700000000000004,1.3,3.9,0.337,3.8,8.4,0.45399999999999996,0.47,1.9,2.3,0.8029999999999999,0.8,2.4,3.1,6.6,1.4,0.3,2.5,2.1,13.4,24.9,4.1,29.0
18,,DAL,NBA,,109.0,34.0,22.7,2.9,7.2,0.406,0.6,2.3,0.28300000000000003,2.3,5.0,0.462,0.451,1.5,1.8,0.843,0.3,2.3,2.6,3.0,0.7,0.2,1.3,1.4,8.0,13.0,3.2,16.2
19,,LAC,NBA,,80.0,11.0,21.3,2.8,6.4,0.43,0.6,1.8,0.319,2.2,4.6,0.473,0.475,0.6,0.8,0.7809999999999999,0.4,2.3,2.7,2.4,0.8,0.3,1.0,1.6,6.7,10.9,3.3999999999999995,14.3
20,,POR,NBA,,60.0,56.0,31.8,4.4,10.7,0.40700000000000003,1.0,3.4,0.305,3.3,7.3,0.45299999999999996,0.455,1.7,2.1,0.8059999999999999,0.5,2.0,2.5,6.5,1.3,0.2,2.8,2.0,11.4,22.099999999999998,3.5,25.599999999999998
21,,DEN,NBA,,21.0,0.0,31.6,4.2,9.7,0.431,1.3,2.9,0.45899999999999996,2.9,6.8,0.42,0.5,1.8,2.9,0.617,0.4,3.2,3.6,6.5,1.3,0.0,2.1,1.8,11.5,22.799999999999997,4.5,27.299999999999997
