,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,22.0,PHO,NBA,PF,80.0,0.0,14.8,2.8,5.5,0.521,0.0,0.0,0.0,2.8,5.4,0.522,0.521,0.9,1.5,0.6409999999999999,1.2,2.0,3.2,1.0,0.5,0.9,1.3,2.1,6.6,8.5,3.4,11.9
1,23.0,PHO,NBA,PF,82.0,82.0,35.5,7.2,13.0,0.55,0.0,0.0,0.33299999999999996,7.2,13.0,0.551,0.551,2.4,3.5,0.672,2.9,5.7,8.7,2.4,1.2,2.6,2.3,3.1,16.7,22.099999999999998,9.5,31.599999999999998
2,24.0,PHO,NBA,PF,82.0,82.0,35.4,7.3,12.7,0.5760000000000001,0.0,0.1,0.0,7.3,12.6,0.58,0.5760000000000001,3.0,4.3,0.7070000000000001,2.8,5.5,8.3,2.6,1.0,2.1,2.2,3.3,17.7,23.5,8.6,32.1
3,25.0,PHO,NBA,PF,61.0,55.0,36.1,8.4,14.4,0.5870000000000001,0.0,0.0,0.5,8.4,14.3,0.5870000000000001,0.588,3.0,4.2,0.7090000000000001,3.2,5.6,8.8,2.6,1.4,1.7,2.2,3.0,19.9,26.099999999999998,8.7,34.8
4,26.0,PHO,NBA,PF,73.0,69.0,34.0,8.0,13.7,0.581,0.0,0.1,0.0,8.0,13.6,0.586,0.581,4.2,6.1,0.698,2.3,6.2,8.5,3.3,1.0,1.8,2.9,3.4,20.2,26.2,9.0,35.2
5,27.0,PHO,NBA,PF,69.0,67.0,37.2,8.5,15.4,0.551,0.0,0.1,0.2,8.5,15.3,0.5529999999999999,0.551,5.5,7.1,0.773,2.7,6.0,8.7,3.4,1.2,2.1,2.2,3.2,22.5,29.8,9.3,39.1
6,28.0,TOT,NBA,PF,67.0,60.0,35.6,7.3,13.7,0.529,0.0,0.1,0.33299999999999996,7.2,13.6,0.531,0.53,4.5,5.8,0.779,2.9,6.2,9.1,3.1,0.9,2.4,2.3,3.6,19.1,25.900000000000002,9.5,35.400000000000006
7,28.0,PHO,NBA,PF,40.0,34.0,36.9,8.2,15.4,0.531,0.1,0.1,0.4,8.1,15.3,0.532,0.532,4.7,6.2,0.7509999999999999,3.0,6.9,9.9,3.1,1.1,2.4,2.7,3.8,21.1,27.6,10.4,38.0
8,28.0,CLE,NBA,PF,27.0,26.0,33.6,5.9,11.3,0.526,0.0,0.0,0.0,5.9,11.2,0.528,0.526,4.3,5.2,0.83,2.7,5.1,7.9,3.1,0.7,2.3,1.8,3.3,16.2,23.3,8.1,31.4
9,29.0,CLE,NBA,PF,73.0,72.0,34.6,6.8,12.6,0.539,0.0,0.1,0.0,6.8,12.5,0.541,0.539,3.7,4.6,0.799,2.1,5.8,8.0,2.2,0.8,2.8,1.6,2.5,17.2,22.099999999999998,9.399999999999999,31.499999999999996
10,30.0,CLE,NBA,PF,62.0,53.0,33.3,6.6,13.0,0.511,0.0,0.0,1.0,6.6,13.0,0.51,0.511,3.0,3.9,0.778,2.6,5.7,8.3,2.6,0.9,2.0,1.8,3.0,16.3,22.3,8.600000000000001,30.900000000000002
11,31.0,CLE,NBA,PF,80.0,78.0,36.6,7.9,15.1,0.524,0.0,0.1,0.25,7.9,15.0,0.526,0.525,3.3,4.1,0.8029999999999999,2.5,6.1,8.6,3.0,0.8,2.5,1.6,2.7,19.2,26.099999999999998,9.399999999999999,35.5
12,32.0,CLE,NBA,PF,81.0,81.0,35.6,6.9,12.7,0.539,0.0,0.1,0.0,6.9,12.7,0.542,0.539,3.2,4.0,0.8220000000000001,2.6,5.6,8.3,2.9,1.0,3.0,1.1,2.5,17.0,24.299999999999997,9.6,33.9
13,33.0,CLE,NBA,PF,77.0,77.0,35.8,6.9,12.6,0.5489999999999999,0.0,0.1,0.0,6.9,12.6,0.551,0.5489999999999999,2.6,3.2,0.818,2.4,6.3,8.7,2.9,0.7,2.6,1.4,2.9,16.5,23.3,9.6,32.9
14,34.0,CLE,NBA,PF,33.0,19.0,27.5,4.6,9.5,0.48700000000000004,0.0,0.0,,4.6,9.5,0.48700000000000004,0.48700000000000004,1.9,2.6,0.753,2.3,4.5,6.9,1.5,0.8,1.7,1.2,2.9,11.2,15.3,7.0,22.3
15,,,NBA,,920.0,795.0,33.4,6.9,12.7,0.546,0.0,0.1,0.145,6.9,12.6,0.5479999999999999,0.546,3.2,4.2,0.755,2.5,5.5,8.0,2.6,0.9,2.2,1.9,2.9,17.1,22.900000000000002,8.600000000000001,31.500000000000004
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,PHO,NBA,,487.0,389.0,32.3,7.0,12.5,0.561,0.0,0.1,0.161,7.0,12.5,0.563,0.561,3.2,4.5,0.7170000000000001,2.5,5.3,7.8,2.6,1.1,1.9,2.2,3.1,17.3,22.8,8.3,31.1
18,,CLE,NBA,,433.0,406.0,34.6,6.8,12.8,0.53,0.0,0.1,0.125,6.8,12.8,0.532,0.53,3.2,3.9,0.804,2.5,5.8,8.2,2.6,0.8,2.5,1.5,2.8,16.8,23.0,9.1,32.1
