,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,20.0,,NBA,SF,72.0,63.0,31.1,4.3,10.5,0.40700000000000003,0.8,2.7,0.314,3.5,7.9,0.43799999999999994,0.447,2.6,3.9,0.674,0.9,3.4,4.3,2.8,1.7,0.5,2.3,2.2,12.0,16.2,5.6,21.799999999999997
1,21.0,,NBA,SF,76.0,74.0,31.1,4.3,10.7,0.401,0.6,1.9,0.29100000000000004,3.7,8.8,0.426,0.428,2.8,3.7,0.75,0.8,3.1,3.9,3.0,2.0,0.6,2.1,3.3,11.9,16.599999999999998,5.699999999999999,22.299999999999997
2,22.0,,NBA,SF,55.0,50.0,29.9,4.9,11.6,0.423,1.0,3.1,0.312,3.9,8.5,0.46399999999999997,0.465,2.5,3.7,0.667,1.3,3.6,4.9,2.3,2.6,0.7,2.1,3.9,13.2,16.999999999999996,6.9,23.9
3,22.0,,NBA,SF,27.0,26.0,30.5,5.6,13.0,0.433,1.3,3.4,0.396,4.3,9.6,0.446,0.484,3.0,4.8,0.628,1.5,3.4,4.9,2.9,2.8,0.9,2.6,4.0,15.6,20.299999999999997,7.1,27.4
4,22.0,,NBA,SF,28.0,24.0,29.3,4.2,10.2,0.41100000000000003,0.6,2.8,0.215,3.6,7.4,0.485,0.44,2.0,2.7,0.733,1.2,3.8,5.0,1.8,2.4,0.6,1.8,3.9,10.9,13.899999999999999,6.799999999999999,20.699999999999996
5,23.0,,NBA,SF,69.0,67.0,33.6,5.2,12.3,0.428,1.0,3.1,0.336,4.2,9.2,0.45799999999999996,0.47,4.0,5.4,0.736,1.5,3.8,5.2,2.9,2.3,0.7,2.1,3.5,15.5,20.7,6.8,27.5
6,24.0,,NBA,SF,73.0,71.0,37.2,6.4,15.2,0.42100000000000004,1.0,3.3,0.31,5.4,11.9,0.452,0.455,4.4,6.0,0.733,1.4,3.9,5.3,3.7,2.1,0.7,2.8,2.7,18.3,24.3,6.7,31.0
7,25.0,,NBA,SF,7.0,7.0,41.6,8.4,17.0,0.496,1.0,2.4,0.41200000000000003,7.4,14.6,0.51,0.525,6.7,7.3,0.922,1.1,5.3,6.4,3.1,1.7,0.9,2.4,3.9,24.6,29.500000000000004,7.9,37.400000000000006
8,26.0,,NBA,SF,56.0,56.0,39.4,6.3,15.5,0.40399999999999997,1.4,4.5,0.308,4.9,11.0,0.44299999999999995,0.449,3.7,5.4,0.675,1.3,3.8,5.1,3.6,2.2,0.7,2.3,2.9,17.6,23.8,6.7,30.5
9,26.0,,NBA,SF,16.0,16.0,37.7,6.8,14.8,0.46,1.1,3.4,0.33299999999999996,5.7,11.4,0.49700000000000005,0.498,4.6,7.6,0.612,1.6,3.3,4.9,2.2,2.6,0.7,2.7,2.8,19.4,22.7,6.6000000000000005,29.3
10,26.0,,NBA,SF,40.0,40.0,40.1,6.0,15.8,0.38299999999999995,1.5,5.0,0.302,4.5,10.8,0.42,0.43,3.3,4.6,0.7170000000000001,1.2,4.0,5.2,4.2,2.0,0.8,2.2,3.0,16.9,24.3,6.8,31.1
11,27.0,,NBA,SF,70.0,65.0,37.7,6.5,14.9,0.44,1.3,3.7,0.358,5.2,11.1,0.46799999999999997,0.485,4.4,5.9,0.74,1.5,5.0,6.5,3.4,2.1,0.6,2.1,2.9,18.8,25.0,7.699999999999999,32.7
12,28.0,,NBA,SF,57.0,54.0,38.1,7.6,16.9,0.45299999999999996,1.5,3.9,0.38,6.2,13.0,0.475,0.49700000000000005,3.7,5.2,0.7190000000000001,1.8,4.0,5.8,3.5,2.3,0.7,2.6,2.8,20.5,26.7,7.0,33.7
13,29.0,,NBA,SF,69.0,55.0,35.5,6.0,15.0,0.401,2.2,5.6,0.39899999999999997,3.8,9.5,0.402,0.475,2.8,3.8,0.748,0.9,4.3,5.2,3.3,1.5,0.3,2.0,2.2,17.1,22.6,6.1,28.700000000000003
14,30.0,,NBA,SF,77.0,77.0,33.8,4.0,9.6,0.414,1.4,3.8,0.355,2.6,5.8,0.45299999999999996,0.484,1.7,2.4,0.688,1.3,3.0,4.3,3.0,1.4,0.3,1.6,2.1,11.0,16.7,4.7,21.4
15,31.0,,NBA,SF,82.0,82.0,29.4,3.2,8.0,0.397,1.0,2.8,0.35600000000000004,2.2,5.2,0.419,0.46,1.1,1.7,0.6759999999999999,1.2,2.0,3.3,2.1,1.5,0.4,1.1,2.2,8.5,12.8,3.9,16.7
16,32.0,,NBA,SF,64.0,45.0,26.9,2.9,7.3,0.39399999999999996,0.9,3.0,0.29600000000000004,2.0,4.3,0.46,0.45399999999999996,1.1,1.8,0.617,1.1,2.3,3.4,2.2,1.1,0.4,1.1,2.1,7.7,12.1,3.8,15.899999999999999
17,33.0,,NBA,SF,75.0,66.0,33.7,4.4,11.0,0.40299999999999997,1.9,5.5,0.342,2.5,5.5,0.46399999999999997,0.488,1.7,2.3,0.7340000000000001,1.3,3.6,5.0,1.5,1.6,0.6,1.3,2.6,12.4,15.399999999999999,5.8,21.2
18,34.0,,NBA,SF,29.0,1.0,13.4,1.9,4.9,0.397,0.6,1.9,0.315,1.3,3.0,0.44799999999999995,0.457,0.3,0.6,0.625,0.6,1.4,2.0,0.6,0.8,0.3,0.7,1.5,4.8,5.8999999999999995,2.5,8.399999999999999
19,,35.0,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,36.0,,NBA,SF,35.0,5.0,16.9,1.6,5.1,0.311,0.7,2.4,0.31,0.8,2.7,0.312,0.384,1.1,1.6,0.7020000000000001,0.5,2.0,2.5,0.8,0.6,0.3,0.4,1.9,5.0,6.699999999999999,2.9,9.6
21,37.0,,NBA,SF,25.0,2.0,6.4,0.8,2.7,0.27899999999999997,0.4,1.5,0.237,0.4,1.2,0.33299999999999996,0.34600000000000003,0.4,0.6,0.625,0.2,0.6,0.8,0.4,0.4,0.1,0.3,0.7,2.3,3.0,1.1,4.1
22,,,NBA,,991.0,840.0,31.7,4.7,11.4,0.414,1.2,3.4,0.33899999999999997,3.5,7.9,0.447,0.465,2.6,3.6,0.715,1.2,3.3,4.5,2.7,1.7,0.5,1.8,2.6,13.2,18.0,5.5,23.5
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,NBA,,358.0,277.0,28.0,3.2,8.2,0.39399999999999996,1.2,3.5,0.335,2.1,4.7,0.43799999999999994,0.466,1.3,1.9,0.685,1.1,2.5,3.6,2.0,1.3,0.4,1.1,2.1,8.9,12.9,4.2,17.1
25,,,NBA,,193.0,185.0,34.9,5.8,13.5,0.429,1.0,3.1,0.312,4.8,10.3,0.46399999999999997,0.465,4.0,5.5,0.7290000000000001,1.4,3.8,5.2,3.0,2.2,0.7,2.4,3.2,16.5,21.5,6.7,28.2
26,,,NBA,,175.0,163.0,31.0,4.5,11.0,0.409,0.8,2.5,0.32299999999999995,3.7,8.5,0.434,0.445,2.7,3.9,0.696,0.9,3.3,4.2,2.9,2.0,0.6,2.3,3.0,12.5,16.9,5.8999999999999995,22.799999999999997
27,,,NBA,,167.0,159.0,38.4,6.8,15.8,0.431,1.4,4.1,0.349,5.4,11.7,0.46,0.47600000000000003,3.9,5.4,0.728,1.5,4.4,5.9,3.6,2.2,0.7,2.3,2.9,18.9,25.299999999999997,7.300000000000001,32.599999999999994
