,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,22.0,WAS,NBA,SG,75.0,2.0,15.4,2.8,6.4,0.439,0.5,1.3,0.4,2.3,5.0,0.45,0.48100000000000004,1.3,1.7,0.815,0.3,1.2,1.5,0.8,0.5,0.1,1.3,1.7,7.5,8.1,1.8,9.9
1,23.0,WAS,NBA,SG,82.0,5.0,22.4,4.1,9.2,0.444,0.7,2.0,0.341,3.4,7.2,0.473,0.48100000000000004,2.0,2.4,0.85,0.4,1.5,1.8,1.2,0.5,0.2,1.1,1.7,10.9,12.6,2.2,14.8
2,24.0,WAS,NBA,SG,74.0,23.0,19.2,3.1,7.5,0.418,0.9,2.3,0.406,2.2,5.2,0.423,0.479,1.4,1.8,0.8,0.3,1.1,1.4,0.6,0.4,0.1,0.8,2.0,8.6,9.299999999999999,1.6,10.899999999999999
3,25.0,WAS,NBA,SG,64.0,40.0,31.8,6.4,14.6,0.441,1.6,4.2,0.387,4.8,10.4,0.462,0.49700000000000005,2.9,3.6,0.816,0.4,2.3,2.7,1.2,0.7,0.3,1.4,2.3,17.4,18.8,3.3,22.1
4,26.0,TOT,NBA,SG,62.0,35.0,27.9,5.1,12.6,0.40299999999999997,1.7,4.5,0.365,3.4,8.1,0.424,0.469,2.3,2.7,0.852,0.5,1.6,2.1,0.9,0.7,0.3,1.3,2.3,14.2,15.2,2.5999999999999996,17.799999999999997
5,26.0,WAS,NBA,SG,40.0,32.0,30.3,6.0,14.8,0.406,1.8,4.9,0.371,4.2,9.9,0.424,0.46799999999999997,2.8,3.3,0.862,0.5,1.9,2.4,1.2,0.8,0.3,1.5,2.3,16.6,18.0,3.0,21.0
6,26.0,LAC,NBA,SG,22.0,3.0,23.5,3.5,8.8,0.39399999999999996,1.4,3.9,0.353,2.1,4.9,0.426,0.47200000000000003,1.5,1.8,0.821,0.5,1.1,1.6,0.5,0.6,0.3,1.1,2.3,9.7,10.1,2.0,12.1
7,27.0,PHI,NBA,SG,59.0,17.0,23.9,3.8,9.2,0.413,1.3,3.6,0.35700000000000004,2.5,5.6,0.449,0.48200000000000004,1.8,2.2,0.82,0.4,1.8,2.2,1.4,0.6,0.2,0.8,1.4,10.6,12.999999999999998,2.6,15.599999999999998
8,28.0,LAL,NBA,SG,64.0,9.0,28.3,6.0,13.9,0.435,2.1,5.5,0.386,3.9,8.4,0.46799999999999997,0.511,3.7,4.5,0.825,0.5,2.1,2.6,1.5,0.7,0.2,1.5,2.4,17.9,19.9,3.0,22.9
9,29.0,LAL,NBA,SG,42.0,0.0,23.8,4.1,11.3,0.366,2.0,5.4,0.369,2.2,6.0,0.363,0.45299999999999996,3.1,3.5,0.892,0.4,1.9,2.3,1.0,0.5,0.3,1.0,2.0,13.4,14.8,2.6999999999999997,17.5
10,30.0,LAL,NBA,SG,54.0,2.0,19.1,2.3,6.9,0.33899999999999997,1.4,4.4,0.325,0.9,2.5,0.363,0.442,1.2,1.4,0.8290000000000001,0.3,1.5,1.8,0.6,0.4,0.1,0.6,0.9,7.3,8.200000000000001,2.0,10.200000000000001
11,31.0,LAL,NBA,SG,60.0,60.0,25.9,4.5,10.6,0.43,2.8,7.0,0.40399999999999997,1.7,3.5,0.48100000000000004,0.564,1.3,1.5,0.856,0.4,1.9,2.3,1.0,0.6,0.2,0.6,2.3,13.2,15.0,2.7,17.7
12,,,NBA,,636.0,193.0,23.6,4.2,10.1,0.419,1.4,3.8,0.376,2.8,6.3,0.445,0.49,2.1,2.5,0.835,0.4,1.7,2.0,1.0,0.6,0.2,1.1,1.9,12.0,13.3,2.5,15.8
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,WAS,NBA,,335.0,102.0,22.9,4.3,9.9,0.431,1.0,2.7,0.38,3.2,7.2,0.45,0.483,2.0,2.4,0.8290000000000001,0.4,1.5,1.9,1.0,0.5,0.2,1.2,1.9,11.6,12.8,2.2,15.0
15,,LAL,NBA,,220.0,71.0,24.5,4.4,10.8,0.405,2.1,5.6,0.377,2.2,5.2,0.434,0.503,2.3,2.7,0.846,0.4,1.9,2.3,1.0,0.6,0.2,0.9,1.9,13.1,14.6,2.7,17.3
16,,PHI,NBA,,59.0,17.0,23.9,3.8,9.2,0.413,1.3,3.6,0.35700000000000004,2.5,5.6,0.449,0.48200000000000004,1.8,2.2,0.82,0.4,1.8,2.2,1.4,0.6,0.2,0.8,1.4,10.6,12.999999999999998,2.6,15.599999999999998
17,,LAC,NBA,,22.0,3.0,23.5,3.5,8.8,0.39399999999999996,1.4,3.9,0.353,2.1,4.9,0.426,0.47200000000000003,1.5,1.8,0.821,0.5,1.1,1.6,0.5,0.6,0.3,1.1,2.3,9.7,10.1,2.0,12.1
