,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,21.0,TOT,NBA,PF,70.0,0.0,15.1,2.0,4.6,0.43,0.0,0.0,0.0,2.0,4.6,0.431,0.43,0.8,1.6,0.523,1.7,2.8,4.5,0.7,0.6,0.4,1.3,1.8,4.8,6.6,3.8,10.399999999999999
1,21.0,SAC,NBA,PF,51.0,0.0,15.9,2.0,4.8,0.424,0.0,0.0,,2.0,4.8,0.424,0.424,0.8,1.4,0.5770000000000001,1.8,2.9,4.7,0.7,0.5,0.4,1.3,1.9,4.8,6.7,3.8,10.5
2,21.0,HOU,NBA,PF,19.0,0.0,13.0,1.8,4.1,0.449,0.0,0.1,0.0,1.8,4.1,0.455,0.449,0.8,2.0,0.42100000000000004,1.6,2.5,4.1,0.5,0.8,0.3,1.2,1.5,4.5,5.8999999999999995,3.5999999999999996,9.5
3,22.0,POR,NBA,PF,70.0,0.0,12.5,2.0,4.2,0.48100000000000004,0.0,0.0,0.0,2.0,4.2,0.483,0.48100000000000004,0.8,1.4,0.564,1.5,2.9,4.4,0.5,0.3,0.3,0.8,1.9,4.8,6.5,3.4999999999999996,10.0
4,23.0,TOT,NBA,PF,54.0,4.0,14.8,2.3,4.8,0.485,0.0,0.0,0.0,2.3,4.8,0.488,0.485,1.0,2.0,0.528,1.8,3.9,5.6,0.6,0.6,0.4,1.1,1.9,5.7,7.6,4.9,12.5
5,23.0,POR,NBA,PF,32.0,4.0,12.2,1.5,2.8,0.516,0.0,0.0,,1.5,2.8,0.516,0.516,0.7,1.5,0.43799999999999994,1.0,3.1,4.2,0.3,0.5,0.3,1.0,1.7,3.6,4.2,3.9,8.1
6,23.0,PHI,NBA,PF,22.0,0.0,18.5,3.6,7.7,0.467,0.0,0.1,0.0,3.6,7.6,0.473,0.467,1.6,2.6,0.603,2.8,4.9,7.7,1.1,0.7,0.4,1.2,2.3,8.8,12.600000000000001,6.000000000000001,18.6
7,24.0,BRK,NBA,PF,71.0,7.0,12.9,1.8,4.1,0.447,0.0,0.0,0.0,1.8,4.1,0.44799999999999995,0.447,0.7,1.5,0.431,1.9,3.1,5.1,0.6,0.5,0.5,1.0,1.6,4.3,6.3999999999999995,4.1,10.5
8,25.0,LAL,NBA,PF,48.0,1.0,11.7,2.2,4.1,0.536,0.0,0.0,0.0,2.2,4.1,0.5379999999999999,0.536,0.6,1.4,0.47,1.8,2.9,4.6,0.6,0.5,0.2,1.0,1.6,5.0,7.0,3.6,10.6
9,,,NBA,,313.0,12.0,13.4,2.0,4.3,0.47,0.0,0.0,0.0,2.0,4.3,0.47200000000000003,0.47,0.8,1.6,0.505,1.7,3.1,4.8,0.6,0.5,0.4,1.0,1.7,4.9,6.800000000000001,4.0,10.8
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,POR,NBA,,102.0,4.0,12.4,1.8,3.8,0.49,0.0,0.0,0.0,1.8,3.8,0.491,0.49,0.8,1.5,0.523,1.4,3.0,4.3,0.4,0.4,0.3,0.9,1.8,4.5,5.8,3.6999999999999997,9.5
12,,BRK,NBA,,71.0,7.0,12.9,1.8,4.1,0.447,0.0,0.0,0.0,1.8,4.1,0.44799999999999995,0.447,0.7,1.5,0.431,1.9,3.1,5.1,0.6,0.5,0.5,1.0,1.6,4.3,6.3999999999999995,4.1,10.5
13,,SAC,NBA,,51.0,0.0,15.9,2.0,4.8,0.424,0.0,0.0,,2.0,4.8,0.424,0.424,0.8,1.4,0.5770000000000001,1.8,2.9,4.7,0.7,0.5,0.4,1.3,1.9,4.8,6.7,3.8,10.5
14,,LAL,NBA,,48.0,1.0,11.7,2.2,4.1,0.536,0.0,0.0,0.0,2.2,4.1,0.5379999999999999,0.536,0.6,1.4,0.47,1.8,2.9,4.6,0.6,0.5,0.2,1.0,1.6,5.0,7.0,3.6,10.6
15,,PHI,NBA,,22.0,0.0,18.5,3.6,7.7,0.467,0.0,0.1,0.0,3.6,7.6,0.473,0.467,1.6,2.6,0.603,2.8,4.9,7.7,1.1,0.7,0.4,1.2,2.3,8.8,12.600000000000001,6.000000000000001,18.6
16,,HOU,NBA,,19.0,0.0,13.0,1.8,4.1,0.449,0.0,0.1,0.0,1.8,4.1,0.455,0.449,0.8,2.0,0.42100000000000004,1.6,2.5,4.1,0.5,0.8,0.3,1.2,1.5,4.5,5.8999999999999995,3.5999999999999996,9.5
