,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,24.0,MIA,NBA,SF,62.0,3.0,17.0,1.6,4.0,0.409,0.5,1.5,0.326,1.1,2.5,0.461,0.47200000000000003,1.3,1.5,0.84,0.8,2.0,2.8,0.8,0.4,0.3,0.6,1.4,5.0,6.800000000000001,2.6999999999999997,9.5
1,25.0,TOT,NBA,SF,22.0,5.0,15.0,2.5,5.1,0.478,1.2,2.6,0.44799999999999995,1.3,2.5,0.509,0.593,1.1,1.5,0.735,1.0,1.0,1.9,1.0,0.7,0.2,0.9,1.3,7.2,9.299999999999999,1.9,11.2
2,25.0,MIA,NBA,SF,3.0,0.0,2.3,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.3,0.0,0.6,0.0,0.6
3,25.0,MEM,NBA,SF,10.0,0.0,4.0,0.4,1.3,0.308,0.2,0.8,0.25,0.2,0.5,0.4,0.385,0.6,1.0,0.6,0.4,0.3,0.7,0.2,0.4,0.2,0.2,0.1,1.6,2.2,0.8999999999999999,3.1
4,25.0,NOP,NBA,SF,9.0,5.0,31.3,5.6,11.1,0.5,2.7,5.6,0.48,2.9,5.6,0.52,0.62,2.1,2.7,0.792,1.9,2.0,3.9,2.0,1.3,0.3,1.9,2.9,15.9,19.900000000000002,3.5999999999999996,23.5
5,26.0,MEM,NBA,SF,64.0,28.0,23.5,2.3,5.0,0.455,0.8,2.1,0.37200000000000005,1.5,2.9,0.516,0.534,1.3,1.7,0.782,1.1,3.0,4.0,1.0,0.7,0.3,0.9,2.6,6.7,8.9,4.0,12.9
6,,,NBA,,148.0,36.0,19.5,2.0,4.6,0.442,0.7,2.0,0.37200000000000005,1.3,2.6,0.494,0.521,1.3,1.6,0.7979999999999999,1.0,2.3,3.2,0.9,0.6,0.3,0.8,1.9,6.1,8.099999999999998,3.1999999999999997,11.299999999999997
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,MEM,NBA,,74.0,28.0,20.8,2.0,4.5,0.449,0.7,2.0,0.366,1.3,2.6,0.513,0.528,1.2,1.6,0.767,1.0,2.6,3.6,0.9,0.7,0.3,0.8,2.2,6.0,8.0,3.5999999999999996,11.6
9,,MIA,NBA,,65.0,3.0,16.3,1.6,3.8,0.409,0.5,1.5,0.326,1.1,2.3,0.461,0.47200000000000003,1.2,1.4,0.84,0.8,1.9,2.7,0.8,0.4,0.3,0.6,1.4,4.8,6.6000000000000005,2.5999999999999996,9.2
10,,NOP,NBA,,9.0,5.0,31.3,5.6,11.1,0.5,2.7,5.6,0.48,2.9,5.6,0.52,0.62,2.1,2.7,0.792,1.9,2.0,3.9,2.0,1.3,0.3,1.9,2.9,15.9,19.900000000000002,3.5999999999999996,23.5
